kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,51800,6241,44053,5943,4517,2795,659023,220324,"189767,342","1,161","0,024",N
II Q 2023,PLN,49549,6298,40826,10959,7551,2288,498248,102211,"189767,342","0,539","0,040",N
III Q 2023,PLN,61773,6157,57415,-2995,-7232,2360,587452,103347,"189767,342","0,545","-0,038",N
IV Q 2023,PLN,69814,5784,60595,56430,22470,2481,616628,107054,"189767,342","0,564","0,118",N
I Q 2022,PLN,86326,11264,71408,-216985,-218335,3538,1095428,442028,"7590693,680","0,058","-0,029",N
II Q 2022,PLN,76247,4893,77634,595,-5720,3211,1009468,234751,"189767,342","1,237","-0,030",N
III Q 2022,PLN,51013,6120,47677,14681,23195,2342,917697,217852,"189767,342","1,148","0,122",N
IV Q 2022,PLN,40558,4964,30341,-28084,-17881,2369,691288,215808,"189767,342","1,137","-0,094",N
I Q 2021,PLN,63138,15208,61182,23739,13901,8499,4315717,652827,"7590693,680","0,086","0,002",N
II Q 2021,PLN,69652,17169,70437,19845,-167049,6376,3807297,628939,"7590693,680","0,083","-0,022",N
III Q 2021,PLN,83562,19490,83990,31588,32239,6730,3989122,691218,"7590693,680","0,091","0,004",N
IV Q 2021,PLN,96123,19097,82392,22641,-10836,4624,1455497,662274,"7590693,680","0,087","-0,001",N
I Q 2020,PLN,110865,33540,116368,30191,-200599,25890,21110688,805368,"7590693,680","0,106","-0,026",N
II Q 2020,PLN,73311,11824,64468,2235,6111,20867,19918558,810731,"7590693,680","0,107","0,001",N
III Q 2020,PLN,61827,16329,52306,4631,8853,18780,19200832,786817,"7590693,680","0,104","0,001",N
IV Q 2020,PLN,-218268,-51435,-201452,-51763,-161617,13515,4323797,625112,"7590693,680","0,082","-0,021",N
I Q 2019,PLN,355934,83561,233801,-43116,-23741,24549,25687533,816715,"7590693,680","0,108","-0,003",N
II Q 2019,PLN,414288,63731,291350,11428,35446,27582,25662216,800872,"7590693,680","0,106","0,005",N
III Q 2019,PLN,391231,66506,270731,74847,46936,26474,24101561,871334,"7590693,680","0,115","0,006",N
IV Q 2019,PLN,-744119,-61796,-348769,80811,42678,26536,22927195,886427,"7590693,680","0,117","0,006",N
I Q 2018,PLN,382838,117366,327034,46992,24522,14583,27777844,1906229,"7590693,680","0,251","0,003",N
II Q 2018,PLN,393677,118064,99852,-377594,-184032,15950,28226395,1718068,"7590693,680","0,226","-0,024",N
III Q 2018,PLN,416319,109344,278815,26434,15204,14918,28089939,1676443,"7590693,680","0,221","0,002",N
IV Q 2018,PLN,335617,51699,118971,-1019963,-814198,10714,25143684,750728,"7590693,680","0,099","-0,107",N
I Q 2017,PLN,402001,158757,367019,56820,17176,15734,26486420,2121742,"7312893,680","0,290","0,002",N
II Q 2017,PLN,426061,146766,390082,104151,46838,15337,27091147,2109101,"7312893,680","0,288","0,006",N
III Q 2017,PLN,391470,190986,367204,192184,88240,15179,27562314,2233874,"7590693,680","0,294","0,012",N
IV Q 2017,PLN,408168,88653,319386,77881,35499,12529,27941154,2120271,"7590693,680","0,279","0,005",N
