kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,191264,-94365,-128906,-116166,854,-93511,12521479,5219432,"574255,122","-0,202","9,089",N
I Q 2023,PLN,201180,102375,67354,52610,692,103067,12489397,5250086,"574255,122","0,092","9,142",N
II Q 2023,PLN,216000,-98000,-132000,-108000,0,-98000,11732000,4814000,"574255,122","-0,188","8,383",N
III Q 2023,PLN,204100,90300,49000,20600,0,90300,12160100,5044900,"574255,122","0,036","8,785",N
IV Q 2021,PLN,219307,89582,49489,43175,754,90336,13079538,5061943,"485555,122","0,089","10,425",N
I Q 2022,PLN,193176,134661,92149,68981,560,135221,12632026,5219882,"574255,122","0,120","9,090",N
II Q 2022,PLN,198000,189000,149000,117000,0,189000,12724128,5391068,"574255,122","0,204","9,388",N
III Q 2022,PLN,198600,104400,62700,39400,0,104400,13335061,5537016,"574255,122","0,069","9,642",N
IV Q 2020,PLN,173863,-249157,-288329,-249220,792,-248365,11448198,4419179,"485555,122","-0,513","9,101",N
I Q 2021,PLN,169357,97371,57074,38303,823,98194,11562959,4462251,"485555,122","0,079","9,190",N
II Q 2021,PLN,188676,132146,74302,56624,707,132853,12513393,4401781,"485555,122","0,117","9,065",N
III Q 2021,PLN,208029,133724,76559,51600,699,134423,12502260,4549990,"485555,122","0,106","9,371",N
IV Q 2019,PLN,193496,101057,60802,52655,703,101760,10743097,4448523,"485555,122","0,108","9,162",N
I Q 2020,PLN,177335,94064,33660,10717,700,94764,11581060,4751176,"485555,122","0,022","9,785",N
II Q 2020,PLN,170050,-164062,-192449,-162954,748,-163314,10907494,4493091,"485555,122","-0,336","9,254",N
III Q 2020,PLN,190458,135540,95204,75834,667,136207,11089130,4596929,"485555,122","0,156","9,467",N
IV Q 2018,PLN,166175,139256,103806,98108,662,139918,10134775,4367729,"483536,996","0,203","9,033",N
I Q 2019,PLN,169804,134552,100200,84259,564,135116,10662565,4449570,"483536,996","0,174","9,202",N
II Q 2019,PLN,179164,156153,119734,98696,733,156886,10597587,4328000,"483536,996","0,204","8,951",N
III Q 2019,PLN,187173,153750,115674,86146,837,154587,11072336,4495445,"485555,122","0,177","9,258",N
IV Q 2017,PLN,172366,271807,228940,187361,943,272750,9103445,3908283,"470303,504","0,398","8,310",N
I Q 2018,PLN,165028,154744,125551,100865,584,155328,9438577,4038948,"470303,504","0,214","8,588",N
II Q 2018,PLN,160603,144112,114802,92683,538,144650,10161140,4231834,"470303,504","0,197","8,998",N
III Q 2018,PLN,164234,142363,108243,97743,599,142962,10010579,4244311,"483536,996","0,202","8,778",N
IV Q 2016,PLN,130577,274396,238612,230381,626,275022,8137904,3483600,"460216,478","0,501","7,569",N
I Q 2017,PLN,130717,183942,140451,136671,722,184664,8056689,3458176,"460216,478","0,297","7,514",N
II Q 2017,PLN,118796,176557,147910,115894,200,176757,8227614,3550193,"470303,504","0,246","7,549",N
III Q 2017,PLN,126232,310250,283336,223269,387,310637,8771176,3841735,"470303,504","0,475","8,169",N
IV Q 2015,PLN,125138,186833,143092,120865,696,187529,6646024,2738192,"460216,478","0,263","5,950",N
I Q 2016,PLN,134338,108807,80592,71080,515,109322,6769226,2807668,"460216,478","0,154","6,101",N
II Q 2016,PLN,122526,151051,120785,83152,428,151479,7359775,2995228,"460216,478","0,181","6,508",N
III Q 2016,PLN,137373,143516,105963,310255,473,143989,7439622,3166280,"460216,478","0,674","6,880",N
IV Q 2014,PLN,125448,-468276,-625023,-532784,601,-467675,6466183,2085166,"351310,288","-1,517","5,935",N
I Q 2015,PLN,123865,71671,15933,34622,494,72165,6139345,2045934,"351310,288","0,099","5,824",N
II Q 2015,PLN,124783,62562,30530,-8230,550,63112,5806064,1935638,"351310,288","-0,023","5,510",N
III Q 2015,PLN,117249,64609,44977,43455,390,64999,5839909,1996264,"351310,288","0,124","5,682",N
IV Q 2013,PLN,129863,-347501,-391475,-332993,460,-347041,7143633,2578525,"319372,990","-1,043","8,074",N
I Q 2014,PLN,129555,62214,10833,-4657,368,62582,7782829,2777745,"351310,288","-0,013","7,907",N
II Q 2014,PLN,136602,-198726,-247276,-260991,542,-198184,6986605,2523632,"351310,288","-0,743","7,183",N
III Q 2014,PLN,128548,76345,39230,21423,577,76922,7001399,2559766,"351310,288","0,061","7,286",N
IV Q 2012,PLN,139354,-259701,-339805,-294260,-12,-259713,8801337,3096656,"319372,990","-0,921","9,696",N
I Q 2013,PLN,128831,-33044,-87651,-95252,0,-33044,8378877,3081231,"319372,990","-0,298","9,648",N
II Q 2013,PLN,127176,-138308,-185023,-187351,0,-138308,8005591,3024033,"319372,990","-0,587","9,469",N
III Q 2013,PLN,129839,5690,-33935,-4003,532,6222,7724848,2955026,"319372,990","-0,013","9,253",N
IV Q 2011,PLN,162041,-453213,-540815,-495360,225,-452988,10201519,3287196,"219372,990","-2,258","14,985",N
I Q 2012,PLN,154435,78611,10000,26179,635,79246,9619306,3142878,"219372,990","0,119","14,327",N
II Q 2012,PLN,159623,18172,-47621,-60930,855,19027,0,0,"219372,990","-0,278","0,000",N
III Q 2012,PLN,164256,-40611,-93654,-64379,577,-40034,9669166,3394691,"319372,990","-0,202","10,629",N
IV Q 2010,PLN,216239,159121,93412,99592,632,159753,10805393,3995124,"219372,990","0,454","18,212",N
I Q 2011,PLN,137153,117004,63004,41214,967,117971,11025875,4154863,"219372,990","0,188","18,940",N
II Q 2011,PLN,161754,-151652,-232510,-145677,737,-150915,10740087,3985990,"219372,990","-0,664","18,170",N
III Q 2011,PLN,172162,-535772,-659277,-574041,366,-535406,0,0,"219372,990","-2,617","0,000",N
IV Q 2009,PLN,164374,-440013,-489269,-350533,306,-439707,10774077,3961205,"219372,990","-1,598","18,057",N
I Q 2010,PLN,148221,74038,17571,24840,623,74661,10361429,3704207,"219372,990","0,113","16,885",N
II Q 2010,PLN,163508,125929,38466,10969,405,126334,0,0,"219372,990","0,050","0,000",N
III Q 2010,PLN,147151,81225,13159,30758,525,81750,0,0,"219372,990","0,140","0,000",N
IV Q 2008,PLN,159567,436050,415455,152285,-87,435963,10674685,4585186,"219372,990","0,694","20,901",N
I Q 2009,PLN,203228,152349,99530,9650,566,152915,12217449,5212507,"219372,990","0,044","23,761",N
II Q 2009,PLN,170210,-78648,-109891,-46705,377,-78271,11677562,4838422,"219372,990","-0,213","22,056",N
III Q 2009,PLN,138813,-124191,-175532,-137968,612,-123579,0,0,"219372,990","-0,629","0,000",N
IV Q 2007,PLN,57146,138793,88248,88212,309,139102,0,0,"219372,990","0,402","0,000",N
I Q 2008,PLN,57122,211626,166061,122366,433,212059,6968186,3466477,"219372,990","0,558","15,802",N
II Q 2008,PLN,65553,119182,165487,147789,601,119783,0,0,"219372,990","0,674","0,000",N
III Q 2008,PLN,120546,280058,247449,188667,674,280732,0,0,"219372,990","0,860","0,000",N
IV Q 2006,PLN,75718,33486,48971,58176,370,33856,4638789,2800839,"218031,540","0,267","12,846",N
I Q 2007,PLN,58093,63983,62245,43523,299,64282,4845617,2874940,"219372,990","0,198","13,105",N
II Q 2007,PLN,49730,362324,359139,211163,328,362652,0,0,"219372,990","0,963","0,000",N
III Q 2007,PLN,113541,504563,451396,403174,192,504755,0,0,"219372,990","1,838","0,000",N
IV Q 2005,PLN,91697,246928,241119,194968,-160,246768,3451966,1779361,"199648,410","0,977","8,912",N
I Q 2006,PLN,85473,347876,342808,274039,213,348089,4369215,2540816,"199648,410","1,373","12,726",N
II Q 2006,PLN,81199,175315,182020,146958,247,175562,0,0,"216768,410","0,678","0,000",N
III Q 2006,PLN,72634,376955,362822,304230,172,377127,0,0,"218031,540","1,395","0,000",N
IV Q 2004,PLN,55259,18421,12635,36891,10,18431,0,0,"198681,200","0,186","0,000",N
I Q 2005,PLN,65667,151137,134511,112994,178,151315,2795832,1410314,"199648,410","0,566","7,064",N
II Q 2005,PLN,78851,50892,26419,16664,355,51247,0,0,"199648,410","0,083","0,000",N
III Q 2005,PLN,73064,180282,168966,124691,406,180688,0,0,"199648,410","0,625","0,000",N
IV Q 2003,PLN,50977,-38710,-22419,-2845,86,-38624,1711453,963743,"149056,540","-0,019","6,466",N
I Q 2004,PLN,47295,28558,20234,16747,497,29055,2026325,1052659,"149056,540","0,112","7,062",N
II Q 2004,PLN,55605,26788,10976,12719,202,26990,0,0,"198681,200","0,064","0,000",N
III Q 2004,PLN,47862,106543,99133,64534,174,106717,0,0,"198681,200","0,325","0,000",N
IV Q 2002,PLN,64028,40947,86704,86194,1541,42488,2256881,984218,"149056,540","0,578","6,603",N
I Q 2003,PLN,64609,44666,-26754,-25823,100,44766,2407473,1068554,"149056,540","-0,173","7,169",N
II Q 2003,PLN,67722,40643,153684,136520,47,40690,1875434,1026444,"149056,540","0,916","6,886",N
III Q 2003,PLN,40346,19307,8028,4757,74,19381,1879615,1020333,"149056,540","0,032","6,845",N
IV Q 2001,PLN,78195,35725,79550,74172,8449,44174,1350376,157091,"149056,540","0,498","1,054",N
I Q 2002,PLN,71833,40625,-17500,-1891,10,40635,2187144,912278,"149056,540","-0,013","6,120",N
II Q 2002,PLN,71992,41117,47127,20312,1622,42739,2169021,894355,"149056,540","0,136","6,000",N
III Q 2002,PLN,65737,40499,2828,6987,1038,41537,2317379,977999,"149056,540","0,047","6,561",N
IV Q 2000,PLN,77665,37448,72375,78868,8382,45830,1364386,60974,"0,000",,,N
I Q 2001,PLN,85905,50236,43134,40831,8867,59103,2311457,162888,"149056,540","0,274","1,093",N
II Q 2001,PLN,62686,23133,-21436,-30614,7668,30801,1342695,132259,"149056,540","-0,205","0,887",N
III Q 2001,PLN,65535,34596,-55609,-49340,7720,42316,1361957,82919,"149056,540","-0,331","0,556",N
IV Q 1999,PLN,0,0,0,0,0,0,1028978,31703,"0,000",,,N
I Q 2000,PLN,52281,23695,6539,4984,0,23695,1054891,36687,"0,000",,,N
II Q 2000,PLN,55765,25119,-20129,-24810,10185,35304,1133699,11877,"0,000",,,N
III Q 2000,PLN,63155,29283,-25371,-29771,5985,35268,1287128,-17894,"0,000",,,N
 Q 0000,PLN,43582,13116,69321,76298,9071,22187,2418708,1219617,"19868,120","3,840","61,386",N
IV Q 1998,,0,0,0,0,0,0,559134,46147,"0,000",,,N
