kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,81078,12548,5652,1316,567,13115,316800,42338,"2336,312","0,563","18,122",N
I Q 2023,PLN,84896,9879,8757,18727,18,9897,244538,60958,"2336,312","8,015","26,092",N
II Q 2023,PLN,101994,10691,6768,4504,18,10709,138503,65416,"2336,312","1,928","27,999",N
III Q 2023,PLN,25584,10998,9546,10487,19,11017,147736,75958,"2336,312","4,489","32,512",N
IV Q 2021,PLN,26719,3431,3087,2417,545,3976,203300,45673,"2336,312","1,035","19,549",N
I Q 2022,PLN,10945,131,-1626,-2468,558,689,232613,3209,"2336,312","-1,056","1,373",N
II Q 2022,PLN,-3457,-2164,-3039,-1450,539,-1625,297535,41745,"2336,312","-0,621","17,868",N
III Q 2022,PLN,3983,-1531,-2235,-728,564,-967,317417,41002,"2336,312","-0,312","17,550",N
IV Q 2020,PLN,63892,7007,6209,5475,621,7628,198320,25312,"2336,312","2,343","10,834",N
I Q 2021,PLN,83258,16122,15375,13489,660,16782,164691,38801,"2336,312","5,774","16,608",N
II Q 2021,PLN,52474,7203,6989,4209,660,7863,152389,41471,"2336,312","1,802","17,751",N
III Q 2021,PLN,23973,2944,2232,1773,543,3487,188761,43245,"2336,312","0,759","18,510",N
IV Q 2019,PLN,63494,18145,16523,13975,617,18762,172051,29325,"2336,312","5,982","12,552",N
I Q 2020,PLN,13697,148,-373,-560,492,640,200608,28765,"2336,312","-0,240","12,312",N
II Q 2020,PLN,15946,333,-1941,-1735,779,1112,213359,27031,"2336,312","-0,743","11,570",N
III Q 2020,PLN,13046,483,-288,-178,625,1108,220240,26853,"2336,312","-0,076","11,494",N
IV Q 2018,PLN,24325,2384,906,322,135,2519,104590,25786,"2336,312","0,138","11,037",N
I Q 2019,PLN,5696,-2283,-3051,-3356,534,-1749,116934,21822,"2336,312","-1,437","9,340",N
II Q 2019,PLN,11200,-996,-1779,-1125,638,-358,141761,21305,"2336,312","-0,482","9,119",N
III Q 2019,PLN,13430,-2243,-2683,-3122,608,-1635,179290,16649,"2336,312","-1,336","7,126",N
IV Q 2017,PLN,15469,2201,1891,1450,125,2326,77811,25165,"2336,312","0,620","10,771",N
I Q 2018,PLN,3664,-196,-857,-822,125,-71,99279,24343,"2336,312","-0,352","10,419",N
II Q 2018,PLN,15350,2363,2179,1835,124,2487,98513,26177,"2336,312","0,785","11,205",N
III Q 2018,PLN,4490,-241,-1043,-1092,124,-117,111119,25086,"2336,312","-0,467","10,737",N
IV Q 2016,PLN,40922,7900,7323,5955,0,7900,133903,22214,"2336,312","2,549","9,508",N
I Q 2017,PLN,12059,1594,1375,1086,130,1724,76463,23300,"2336,312","0,465","9,973",N
II Q 2017,PLN,21855,3212,2990,2534,131,3343,78205,25834,"2336,312","1,085","11,058",N
III Q 2017,PLN,1615,-1357,-2356,-2119,127,-1230,86706,23715,"2336,312","-0,907","10,151",N
III Q 2016,PLN,900,-374,-405,-331,0,-374,76086,16259,"2336,312","-0,142","6,959",N
