kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,38179,853,411,391,3115,3968,204163,120113,"2398,300","0,163","50,083",N
II Q 2023,PLN,32869,773,1231,1045,3200,3973,196429,116373,"2398,300","0,436","48,523",N
III Q 2023,PLN,29403,-977,-2152,-2370,3227,2250,189085,114009,"2398,300","-0,988","47,537",N
IV Q 2023,PLN,25290,-3457,-2701,-1681,3244,-213,182770,115482,"2398,300","-0,701","48,152",N
I Q 2022,PLN,40280,4493,4356,3373,2600,7093,193140,118845,"2398,300","1,406","49,554",N
II Q 2022,PLN,45153,4571,4350,3620,2595,7166,194098,117668,"2398,300","1,509","49,063",N
III Q 2022,PLN,44140,3103,2616,2056,2706,5809,199417,119725,"2398,300","0,857","49,921",N
IV Q 2022,PLN,36402,-385,-416,-1,2752,2367,199142,119723,"2398,300","0,000","49,920",N
I Q 2021,PLN,31316,2445,2301,1863,2177,4622,147487,105648,"2398,300","0,777","44,051",N
II Q 2021,PLN,31000,3001,3714,3001,2171,5172,166019,113578,"2398,300","1,251","47,358",N
III Q 2021,PLN,33759,2030,1768,1480,2400,4430,166946,115058,"2398,300","0,617","47,975",N
IV Q 2021,PLN,34699,1176,1138,740,2429,3605,177918,115472,"2398,300","0,309","48,147",N
I Q 2020,PLN,28285,2462,-6,-251,2033,4495,134235,91720,"2398,300","-0,105","38,244",N
II Q 2020,PLN,23094,1658,2802,2569,2028,3686,132318,91878,"2398,300","1,071","38,310",N
III Q 2020,PLN,25295,3306,2887,2415,2039,5345,128542,94296,"2398,300","1,007","39,318",N
IV Q 2020,PLN,24651,1319,711,488,2105,3424,141830,103785,"2398,300","0,203","43,274",N
I Q 2019,PLN,30398,2951,2879,2377,1710,4661,134954,92942,"2398,300","0,991","38,753",N
II Q 2019,PLN,29374,2565,3070,2426,1815,4380,136172,90324,"2398,300","1,012","37,662",N
III Q 2019,PLN,29240,2452,1362,1198,2004,4456,136825,91526,"2398,300","0,500","38,163",N
IV Q 2019,PLN,20647,141,1617,1286,2043,2184,133359,91967,"2398,300","0,536","38,347",N
I Q 2018,PLN,28840,3020,3002,2405,1429,4449,129483,91029,"2398,300","1,003","37,956",N
II Q 2018,PLN,29669,2669,2663,2032,1545,4214,130562,88269,"2398,300","0,847","36,805",N
III Q 2018,PLN,30088,2464,2467,1929,1530,3994,128240,90203,"2398,300","0,804","37,611",N
IV Q 2018,PLN,25356,529,470,359,1680,2209,126020,90560,"2398,300","0,150","37,760",N
I Q 2017,PLN,24825,2515,2685,2131,1516,4031,127546,88021,"2398,300","0,889","36,701",N
II Q 2017,PLN,24925,2332,2220,1850,1492,3824,129127,85115,"2398,300","0,771","35,490",N
III Q 2017,PLN,25725,2859,2730,2182,1540,4399,130293,87301,"2398,300","0,910","36,401",N
IV Q 2017,PLN,23314,2689,1683,1328,1512,4201,127682,88634,"2398,300","0,554","36,957",N
I Q 2016,PLN,22901,2624,2508,1999,1490,4114,122792,85495,"2398,300","0,834","35,648",N
II Q 2016,PLN,24675,3312,3032,2401,1549,4861,125217,83105,"2398,300","1,001","34,652",N
III Q 2016,PLN,22938,2303,2547,1997,1550,3853,124578,85104,"2398,300","0,833","35,485",N
IV Q 2016,PLN,18299,946,842,782,1535,2481,123258,85886,"2398,300","0,326","35,811",N
I Q 2015,PLN,23064,2442,2655,2204,1333,3775,116083,82520,"2398,300","0,919","34,408",N
II Q 2015,PLN,24347,3066,2902,2222,1344,4410,121278,79949,"2398,300","0,926","33,336",N
III Q 2015,PLN,23357,3194,3118,2539,1422,4616,118263,82488,"2398,300","1,059","34,394",N
IV Q 2015,PLN,19210,1151,1037,1030,1437,2588,119589,83492,"2398,300","0,429","34,813",N
I Q 2014,PLN,23248,2355,2323,1816,1224,3579,113358,79558,"2398,300","0,757","33,173",N
II Q 2014,PLN,24032,2712,2695,2245,1268,3980,115540,76940,"2398,300","0,936","32,081",N
III Q 2014,PLN,23339,2746,2713,2216,1316,4062,115321,79155,"2398,300","0,924","33,005",N
IV Q 2014,PLN,18327,1326,1062,828,1361,2687,110931,80314,"2398,300","0,345","33,488",N
I Q 2013,PLN,21963,2188,2141,1885,1191,3379,117257,77660,"0,000",,,N
II Q 2013,PLN,23020,2551,3227,1905,1186,3737,114818,74715,"2398,300","0,794","31,153",N
III Q 2013,PLN,22506,2263,2600,2095,1181,3444,110679,77276,"2398,300","0,874","32,221",N
IV Q 2013,PLN,18610,828,1177,824,1172,2000,109237,77742,"2398,300","0,344","32,415",N
I Q 2012,PLN,24142,2697,2684,2174,824,3521,106336,76012,"2398,300","0,906","31,694",N
II Q 2012,PLN,24801,3269,3291,2602,795,4064,115595,75496,"0,000",,,N
III Q 2012,PLN,22189,1982,2013,1558,1003,2985,116652,76973,"0,000",,,N
IV Q 2012,PLN,16963,-333,-287,-149,1307,974,114805,76042,"0,000",,,N
I Q 2011,PLN,21550,2347,2382,1930,810,3157,92984,69464,"2398,300","0,805","28,964",N
II Q 2011,PLN,22843,2367,2354,1920,782,3149,94243,71399,"2398,300","0,801","29,771",N
III Q 2011,PLN,22984,3725,3465,2583,828,4553,0,0,"2398,300","1,077","0,000",N
IV Q 2011,PLN,20250,1227,1247,1171,756,1983,105486,73846,"2398,300","0,488","30,791",N
I Q 2010,PLN,17168,1076,1039,892,685,1761,86106,66580,"0,000",,,N
II Q 2010,PLN,18061,1765,1953,1618,690,2455,89316,65257,"0,000",,,N
III Q 2010,PLN,20833,1584,1558,1216,829,2413,0,0,"0,000",,,N
IV Q 2010,PLN,15992,1161,707,624,857,2018,90484,67538,"2398,300","0,260","28,161",N
I Q 2009,PLN,19184,3011,2879,2421,941,3952,92149,70144,"0,000",,,N
II Q 2009,PLN,16592,1250,1666,1470,867,2117,87962,65564,"0,000",,,N
III Q 2009,PLN,16638,1021,1014,922,814,1835,0,0,"0,000",,,N
IV Q 2009,PLN,11992,-942,-587,-451,808,-134,82746,65683,"0,000",,,N
I Q 2008,PLN,24857,4243,4278,3535,935,5178,87887,63541,"2398,300","1,474","26,494",N
II Q 2008,PLN,24469,3935,3794,3251,979,4914,90945,62151,"2398,300","1,356","25,915",N
III Q 2008,PLN,22702,3084,3215,2756,851,3935,0,0,"0,000",,,N
IV Q 2008,PLN,15696,238,602,496,941,1179,85315,65601,"0,000",,,N
I Q 2007,PLN,21751,3627,3793,3106,811,4438,69131,51519,"2398,300","1,295","21,481",N
II Q 2007,PLN,21437,3615,3658,3099,813,4428,71370,54808,"2398,300","1,292","22,853",N
III Q 2007,PLN,24033,3332,3451,2848,1007,4339,0,0,"2398,300","1,188","0,000",N
IV Q 2007,PLN,18652,1680,1612,1384,934,2614,84399,60303,"2398,300","0,577","25,144",N
I Q 2006,PLN,18344,2767,2399,1959,898,3665,65665,44732,"2398,300","0,817","18,652",N
II Q 2006,PLN,20843,3684,3905,3331,921,4605,66692,47112,"2398,300","1,389","19,644",N
III Q 2006,PLN,19808,2440,2280,1849,853,3293,0,0,"2398,300","0,771","0,000",N
IV Q 2006,PLN,16931,959,723,515,851,1810,64559,48401,"2398,300","0,215","20,181",N
I Q 2005,PLN,14707,1510,1533,1290,684,2194,51193,40540,"2398,300","0,538","16,904",N
II Q 2005,PLN,16085,1929,2121,1652,641,2570,64289,40621,"2398,300","0,689","16,937",N
III Q 2005,PLN,19171,2183,2100,1674,829,3012,0,0,"2398,300","0,698","0,000",N
IV Q 2005,PLN,15245,899,886,620,948,1847,62987,42675,"2398,300","0,259","17,794",N
I Q 2004,PLN,13269,1363,1457,1185,467,1830,47294,38370,"2504,300","0,473","15,322",N
II Q 2004,PLN,15255,1607,1436,1145,665,2272,48594,38555,"2504,300","0,457","15,396",N
III Q 2004,PLN,15912,1724,1710,1366,741,2465,49948,39880,"2398,300","0,570","16,628",N
IV Q 2004,PLN,11255,563,151,65,585,1148,49406,39259,"2398,300","0,027","16,370",N
I Q 2003,PLN,9508,536,464,319,602,1138,38495,29879,"2504,300","0,127","11,931",N
