kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,143629,24100,25424,19337,1422,25522,464681,312770,"7285,500","2,654","42,930",N
I Q 2023,PLN,99160,6939,7237,5430,1470,8409,473529,318177,"7285,500","0,745","43,673",N
II Q 2023,PLN,84715,1544,2112,1399,1437,2981,495947,308329,"7285,500","0,192","42,321",N
III Q 2023,PLN,104318,8210,7707,5946,1429,9639,544639,314561,"7285,500","0,816","43,176",N
IV Q 2021,PLN,92120,7672,7025,5110,1624,9296,438395,294290,"7285,500","0,701","40,394",N
I Q 2022,PLN,74044,1213,1441,977,1586,2799,455485,295184,"7285,500","0,134","40,517",N
II Q 2022,PLN,91338,3366,3745,2591,1499,4865,444081,283160,"7285,500","0,356","38,866",N
III Q 2022,PLN,88550,7541,8150,6077,1476,9017,458615,288991,"7285,500","0,834","39,667",N
IV Q 2020,PLN,111525,14000,13528,10711,1463,15463,404118,269862,"7285,500","1,470","37,041",N
I Q 2021,PLN,81967,6873,6851,5186,1566,8439,408741,274965,"7285,500","0,712","37,741",N
II Q 2021,PLN,111262,15922,15261,11715,1618,17540,422668,272295,"7285,500","1,608","37,375",N
III Q 2021,PLN,95117,6290,6197,4894,1545,7835,432526,286725,"7285,500","0,672","39,356",N
IV Q 2019,PLN,123396,12017,11482,8965,1292,13309,409564,261280,"7285,500","1,231","35,863",N
I Q 2020,PLN,101624,7260,7984,6122,1622,8882,415671,267572,"7285,500","0,840","36,727",N
II Q 2020,PLN,96482,7293,7219,5690,1576,8869,409184,273207,"7285,500","0,781","37,500",N
III Q 2020,PLN,101800,2430,2553,664,1662,4092,400690,259155,"7285,500","0,091","35,571",N
IV Q 2018,PLN,132299,10453,10513,8128,230,10683,395939,249735,"7285,500","1,116","34,278",N
I Q 2019,PLN,76140,1311,1328,676,1133,2444,415334,250414,"7285,500","0,093","34,372",N
II Q 2019,PLN,97606,4645,4590,3194,1294,5939,462154,241140,"7285,500","0,438","33,099",N
III Q 2019,PLN,144401,15279,15697,11114,1205,16484,416967,252381,"7285,500","1,525","34,642",N
IV Q 2017,PLN,129425,2587,1463,2503,697,3284,394376,221344,"7285,500","0,344","30,381",N
I Q 2018,PLN,132072,15654,16846,13137,619,16273,380202,233881,"7285,500","1,803","32,102",N
II Q 2018,PLN,119347,8350,8810,7421,988,9338,387346,239268,"7285,500","1,019","32,842",N
III Q 2018,PLN,102835,4172,4105,2475,1898,6070,395939,249735,"7285,500","0,340","34,278",N
IV Q 2016,PLN,116686,2787,2619,1119,1131,3918,359433,211678,"7285,500","0,154","29,055",N
I Q 2017,PLN,88813,4889,4174,3081,630,5519,338419,214429,"7285,500","0,423","29,432",N
II Q 2017,PLN,89552,1972,1731,978,650,2622,351788,213411,"7285,500","0,134","29,293",N
III Q 2017,PLN,100575,6413,6622,5575,753,7166,373417,219116,"7285,500","0,765","30,076",N
IV Q 2015,PLN,121749,2089,1808,2342,703,2792,329307,204393,"7285,500","0,321","28,055",N
I Q 2016,PLN,69954,4306,4345,2902,644,4950,314470,207287,"7285,500","0,398","28,452",N
II Q 2016,PLN,80625,3869,4172,1057,688,4557,331423,206197,"7285,500","0,145","28,302",N
III Q 2016,PLN,90588,2966,2696,4393,729,3695,342720,210341,"7285,500","0,603","28,871",N
IV Q 2014,PLN,170718,-1708,-1714,-3028,1004,-704,400492,196394,"7285,500","-0,416","26,957",N
I Q 2015,PLN,115866,6094,6287,4114,690,6784,337157,200006,"7285,500","0,565","27,453",N
II Q 2015,PLN,114736,-2232,-2289,-1725,827,-1405,363091,198232,"7285,500","-0,237","27,209",N
III Q 2015,PLN,138733,5132,5228,3672,807,5939,361552,201263,"7285,500","0,504","27,625",N
IV Q 2013,PLN,128619,3582,2784,972,829,4411,329861,188609,"7285,500","0,133","25,888",N
I Q 2014,PLN,93625,3619,4151,3386,638,4257,321655,192013,"7285,500","0,465","26,356",N
II Q 2014,PLN,125686,4267,4283,3126,653,4920,356897,193156,"7285,500","0,429","26,512",N
III Q 2014,PLN,175975,8807,8788,6299,665,9472,394485,199445,"7285,500","0,865","27,376",N
IV Q 2012,PLN,124462,10964,10951,8653,749,11713,287456,177331,"7285,500","1,188","24,340",N
