kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,190690,9453,6520,2694,4107,13560,468569,143710,"25704,018","0,105","5,591",N
I Q 2023,PLN,155648,9930,8155,5764,4135,14065,459166,147125,"25704,018","0,224","5,724",N
II Q 2023,PLN,171430,13011,11202,8403,4299,17310,489525,161524,"25704,018","0,327","6,284",N
III Q 2023,PLN,173625,15794,12851,9163,4547,20341,476652,158518,"25704,018","0,356","6,167",N
IV Q 2021,PLN,147291,12473,11424,9267,3502,15975,374326,128432,"25704,018","0,361","4,997",N
I Q 2022,PLN,118644,6264,5371,3970,3575,9839,380777,125127,"25704,018","0,154","4,868",N
II Q 2022,PLN,137992,9560,7293,3890,3780,13340,401014,122641,"25704,018","0,151","4,771",N
III Q 2022,PLN,149957,16974,14869,12063,3902,20876,445927,131943,"25704,018","0,469","5,133",N
IV Q 2020,PLN,139129,3209,2087,493,3437,6646,362966,125222,"25704,018","0,019","4,872",N
I Q 2021,PLN,112857,8473,7974,6440,3408,11881,344946,131022,"25704,018","0,251","5,097",N
II Q 2021,PLN,106603,3898,2424,-5940,3371,7269,341666,117118,"25704,018","-0,231","4,556",N
III Q 2021,PLN,117980,9789,9237,6691,3396,13185,350777,120732,"25704,018","0,260","4,697",N
IV Q 2019,PLN,134757,9063,7802,4299,4749,13812,400939,127816,"26138,800","0,164","4,890",N
I Q 2020,PLN,101468,4378,4625,4018,3479,7857,353456,125058,"26138,800","0,154","4,784",N
II Q 2020,PLN,99932,5688,3304,2472,3466,9154,355033,130745,"26138,800","0,095","5,002",N
III Q 2020,PLN,117800,9616,8779,7949,3475,13091,362868,137394,"26138,800","0,304","5,256",N
IV Q 2018,PLN,139730,-2476,-3503,-4171,2638,162,366340,122082,"26638,800","-0,157","4,583",N
I Q 2019,PLN,100369,1743,1688,1254,2861,4604,335551,120364,"26138,800","0,048","4,605",N
II Q 2019,PLN,99332,-80,-521,-807,2961,2881,328465,118383,"26138,800","-0,031","4,529",N
III Q 2019,PLN,105286,4609,3917,4017,2939,7548,327526,118540,"26138,800","0,154","4,535",N
IV Q 2017,PLN,129230,5783,4590,-7710,2380,8163,347211,125163,"26638,800","-0,289","4,699",N
I Q 2018,PLN,95138,3048,2583,2326,2418,5466,313212,126541,"26638,800","0,087","4,750",N
II Q 2018,PLN,106860,3538,3507,1670,2445,5983,329957,121702,"26638,800","0,063","4,569",N
III Q 2018,PLN,113982,4299,874,406,2491,6790,362120,125718,"26638,800","0,015","4,719",N
IV Q 2016,PLN,95396,-2183,-3002,-2966,1964,-219,298488,127672,"26638,800","-0,111","4,793",N
I Q 2017,PLN,83321,4624,4778,3441,2085,6709,291882,136754,"26638,800","0,129","5,134",N
II Q 2017,PLN,88116,2093,1405,2370,2196,4289,297853,128656,"26638,800","0,089","4,830",N
III Q 2017,PLN,98608,2657,2182,2399,2318,4975,308440,129292,"26638,800","0,090","4,854",N
IV Q 2015,PLN,112206,4638,4246,1925,1901,6539,290708,140445,"26638,800","0,072","5,272",N
I Q 2016,PLN,91355,4996,4494,3910,1794,6790,271674,144700,"26638,800","0,147","5,432",N
II Q 2016,PLN,97673,4320,4113,2541,1835,6155,286560,131626,"26638,800","0,095","4,941",N
III Q 2016,PLN,102788,7857,6543,6044,1770,9627,292290,140828,"26638,800","0,227","5,287",N
IV Q 2014,PLN,113843,1246,-2683,9629,1612,2858,306124,138018,"26638,800","0,361","5,181",N
I Q 2015,PLN,83823,6449,6034,6311,1729,8178,300336,145823,"26638,800","0,237","5,474",N
II Q 2015,PLN,117058,7322,7146,5052,1804,9126,304278,143399,"26638,800","0,190","5,383",N
III Q 2015,PLN,101519,4686,4338,2618,1758,6444,296334,144956,"26638,800","0,098","5,442",N
IV Q 2013,PLN,117170,10805,10625,8975,1599,12404,259440,122664,"26638,800","0,337","4,605",N
I Q 2014,PLN,117044,6351,6043,4252,1567,7918,292332,128328,"26638,800","0,160","4,817",N
II Q 2014,PLN,114860,8055,7680,6354,1652,9707,287971,124477,"26638,800","0,239","4,673",N
III Q 2014,PLN,111136,5528,6021,4208,1639,7167,279667,129261,"26638,800","0,158","4,852",N
IV Q 2012,PLN,111541,10307,9598,7508,1494,11801,236215,117309,"26638,800","0,282","4,404",N
I Q 2013,PLN,86809,2608,2367,1725,1521,4129,235849,119096,"26638,800","0,065","4,471",N
II Q 2013,PLN,77980,2220,2289,2126,1522,3742,230599,110430,"26638,800","0,080","4,145",N
III Q 2013,PLN,85084,5828,5207,3700,1571,7399,242853,114053,"26638,800","0,139","4,281",N
IV Q 2011,PLN,79827,251,-785,-696,1426,1677,209396,109592,"26638,800","-0,026","4,114",N
I Q 2012,PLN,66240,1703,439,256,1395,3098,205985,110327,"26638,800","0,010","4,142",N
II Q 2012,PLN,99297,4578,3212,2202,1307,5885,216823,105576,"26638,800","0,083","3,963",N
III Q 2012,PLN,88335,6649,5542,4380,1514,8163,214874,109839,"26638,800","0,164","4,123",N
IV Q 2010,PLN,68883,4248,3527,3056,1102,5350,184519,113264,"26638,800","0,115","4,252",N
I Q 2011,PLN,48101,1138,1257,780,1256,2394,173109,113614,"26638,800","0,029","4,265",N
II Q 2011,PLN,84107,5034,5132,4683,1266,6300,191917,109180,"26638,800","0,176","4,099",N
III Q 2011,PLN,68145,2948,2562,2713,1463,4411,0,0,"26638,800","0,102","0,000",N
IV Q 2009,PLN,44057,3201,2623,1485,1144,4345,162321,106912,"26638,800","0,056","4,013",N
I Q 2010,PLN,41850,1385,1615,1584,1059,2444,164886,108496,"26638,800","0,059","4,073",N
II Q 2010,PLN,69045,5294,4743,3921,1090,6384,173721,104240,"26638,800","0,147","3,913",N
III Q 2010,PLN,58858,5266,5118,4599,1125,6391,0,0,"26638,800","0,173","0,000",N
IV Q 2008,PLN,58766,2799,2089,1425,1195,3994,154995,110812,"26638,800","0,053","4,160",N
I Q 2009,PLN,38495,4288,5362,4176,1129,5417,144072,110206,"26638,800","0,157","4,137",N
II Q 2009,PLN,41223,1061,2473,2000,1114,2175,151319,111621,"26638,800","0,075","4,190",N
III Q 2009,PLN,42355,2846,2621,2150,1141,3987,0,0,"26638,800","0,081","0,000",N
IV Q 2007,PLN,40951,225,-2637,-2152,1089,1314,136375,98815,"22638,800","-0,095","4,365",N
I Q 2008,PLN,37295,3123,4051,3157,1109,4232,135859,102306,"26638,800","0,119","3,840",N
II Q 2008,PLN,49644,4302,2409,1359,1395,5697,150642,102991,"26638,800","0,051","3,866",N
III Q 2008,PLN,57780,8090,7763,6421,1346,9436,0,0,"26638,800","0,241","0,000",N
IV Q 2006,PLN,32165,3575,5351,4882,1260,4835,70285,34188,"0,000",,,N
I Q 2007,PLN,27413,2319,3712,2691,666,2985,0,0,"0,000",,,N
II Q 2007,PLN,37489,7203,16952,13884,914,8117,0,0,"0,000",,,N
III Q 2007,PLN,42822,3730,-87,7,1941,5671,0,0,"0,000",,,N
IV Q 2004,PLN,0,0,0,0,0,0,56443,26494,"0,000",,,N
IV Q 2005,PLN,0,0,0,0,0,0,66138,28632,"0,000",,,N
III Q 2006,PLN,33679,3110,3178,2636,0,3110,0,0,"0,000",,,N
