kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,20639,746,667,686,328,1074,46586,30997,"11000,000","0,062","2,818",N
I Q 2023,PLN,17534,648,633,437,337,985,51407,31434,"11000,000","0,040","2,858",N
II Q 2023,PLN,26930,-55,-94,-137,439,384,65362,30307,"11000,000","-0,012","2,755",N
III Q 2023,PLN,44192,6446,6403,6326,546,6992,82645,36633,"11000,000","0,575","3,330",N
IV Q 2021,PLN,21690,-782,-859,-740,255,-527,42793,28135,"11000,000","-0,067","2,558",N
I Q 2022,PLN,12167,415,362,280,250,665,44521,28415,"11000,000","0,025","2,583",N
II Q 2022,PLN,24968,1525,1496,1252,230,1755,49845,29007,"11000,000","0,114","2,637",N
III Q 2022,PLN,26933,2810,2802,1324,300,3110,51972,30331,"11000,000","0,120","2,757",N
IV Q 2020,PLN,12157,-2022,-2081,-1776,266,-1756,38913,26029,"11000,000","-0,161","2,366",N
I Q 2021,PLN,12080,105,63,138,254,359,41668,26167,"11000,000","0,013","2,379",N
II Q 2021,PLN,19747,476,433,663,262,738,44335,26830,"11000,000","0,060","2,439",N
III Q 2021,PLN,23139,2449,2397,1860,265,2714,46905,28690,"11000,000","0,169","2,608",N
IV Q 2019,PLN,35025,2957,2883,2145,256,3213,35804,24963,"11000,000","0,195","2,269",N
I Q 2020,PLN,8300,-450,-470,-466,268,-182,35322,24497,"11000,000","-0,042","2,227",N
II Q 2020,PLN,11606,400,371,348,255,655,37044,24845,"11000,000","0,032","2,259",N
III Q 2020,PLN,18650,3651,3622,2795,231,3882,41700,27640,"11000,000","0,254","2,513",N
IV Q 2018,PLN,19590,2916,2862,2280,260,3176,44881,19665,"11000,000","0,207","1,788",N
I Q 2019,PLN,13318,1220,1184,893,278,1498,36157,20558,"11000,000","0,081","1,869",N
II Q 2019,PLN,20276,2772,2727,2213,273,3045,40769,22771,"11000,000","0,201","2,070",N
III Q 2019,PLN,20877,1961,1921,1550,255,2216,45658,24325,"11000,000","0,141","2,211",N
IV Q 2017,PLN,22647,2361,2313,1731,348,2709,45568,17895,"11000,000","0,157","1,627",N
I Q 2018,PLN,15126,779,691,400,343,1122,34829,18295,"11000,000","0,036","1,663",N
II Q 2018,PLN,16753,-3721,-3790,-2592,334,-3387,29732,15703,"11000,000","-0,236","1,428",N
III Q 2018,PLN,19659,2243,2222,1696,638,2881,35924,17399,"11000,000","0,154","1,582",N
IV Q 2016,PLN,6052,-38,-41,-26,173,135,23732,18495,"11000,000","-0,002","1,681",N
I Q 2017,PLN,7582,-934,-980,-906,174,-760,30125,17589,"11000,000","-0,082","1,599",N
II Q 2017,PLN,12373,126,86,78,301,427,32205,17667,"11000,000","0,007","1,606",N
III Q 2017,PLN,15070,-1661,-1701,-1457,336,-1325,36080,16210,"11000,000","-0,132","1,474",N
IV Q 2015,PLN,23762,6228,6206,4971,139,6367,36021,19204,"11000,000","0,452","1,746",N
I Q 2016,PLN,11259,607,583,400,170,777,35254,19604,"11000,000","0,036","1,782",N
II Q 2016,PLN,27624,363,335,-133,170,533,37771,19471,"11000,000","-0,012","1,770",N
III Q 2016,PLN,8069,-1311,-1304,-1027,170,-1141,25656,18444,"11000,000","-0,093","1,677",N
IV Q 2014,PLN,9282,1358,1381,1165,123,1481,17276,13100,"11000,000","0,106","1,191",N
I Q 2015,PLN,3566,-2872,-2863,-2227,97,-2775,15114,10873,"11000,000","-0,202","0,988",N
II Q 2015,PLN,21770,2782,2789,2141,85,2867,31066,13014,"11000,000","0,195","1,183",N
III Q 2015,PLN,20198,1722,1680,1210,102,1824,33345,14224,"11000,000","0,110","1,293",N
IV Q 2013,PLN,4249,-1508,-1376,-1096,-59,-1567,9575,6721,"11000,000","-0,100","0,611",N
I Q 2014,PLN,8898,677,634,207,119,796,17204,6929,"11000,000","0,019","0,630",N
II Q 2014,PLN,12818,2199,2144,1857,112,2311,22723,8786,"11000,000","0,169","0,799",N
III Q 2014,PLN,22848,3717,3822,3148,127,3844,27328,11934,"11000,000","0,286","1,085",N
IV Q 2012,PLN,0,0,0,0,0,0,16451,5107,"11000,000","0,000","0,464",N
I Q 2013,PLN,3568,-483,-480,-64,28,-455,14618,8471,"11000,000","-0,006","0,770",N
II Q 2013,PLN,5033,-916,-831,-600,62,-854,13170,7871,"11000,000","-0,055","0,716",N
III Q 2013,PLN,7492,-24,-104,-202,145,121,12756,7669,"11000,000","-0,018","0,697",N
