kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,8151000,-799000,-376000,-494000,634000,-165000,53444000,32089000,"200000,000","-2,470","160,445",N
I Q 2023,PLN,9585000,439000,513000,163000,666000,1105000,53335000,32114000,"200000,000","0,815","160,570",N
II Q 2023,PLN,8172000,281000,390000,231000,645000,926000,54201000,32725000,"200000,000","1,155","163,625",N
III Q 2023,PLN,7891000,1056000,789000,434000,380000,1436000,55497000,33041000,"200000,000","2,170","165,205",N
IV Q 2021,PLN,8068000,1816000,1719000,1394000,525000,2341000,48027000,27046000,"200000,000","6,970","135,230",N
I Q 2022,PLN,8993000,2615000,2508000,1900000,493000,3108000,50041000,28606000,"200000,000","9,500","143,030",N
II Q 2022,PLN,8933000,3057000,2806000,2280000,551000,3608000,53106000,31587000,"200000,000","11,400","157,935",N
III Q 2022,PLN,7770000,1888000,1551000,1086000,561000,2449000,54839000,32206000,"200000,000","5,430","161,030",N
IV Q 2020,PLN,7052000,829000,877000,626000,572000,1401000,42780000,20992000,"200000,000","3,130","104,960",N
I Q 2021,PLN,6745000,2164000,1862000,1366000,495000,2659000,43812000,21403000,"200000,000","6,830","107,015",N
II Q 2021,PLN,7761000,2674000,2767000,2359000,525000,3199000,45055000,23780000,"200000,000","11,795","118,900",N
III Q 2021,PLN,7229000,1641000,1476000,1037000,578000,2219000,46146000,25503000,"200000,000","5,185","127,515",N
IV Q 2019,PLN,5854000,-414000,-302000,-243000,562000,148000,39409000,20110000,"200000,000","-1,215","100,550",N
I Q 2020,PLN,5299000,1431000,929000,692000,483000,1914000,42596000,20373000,"200000,000","3,460","101,865",N
II Q 2020,PLN,5649000,-148000,178000,10000,470000,322000,41584000,20315000,"200000,000","0,050","101,575",N
III Q 2020,PLN,5632000,672000,772000,472000,438000,1110000,41716000,20939000,"200000,000","2,360","104,695",N
IV Q 2018,PLN,5739000,1115000,874000,684000,480000,1595000,37237000,19133000,"200000,000","3,420","95,665",N
I Q 2019,PLN,5488000,1018000,838000,552000,453000,1471000,38518000,19348000,"200000,000","2,760","96,740",N
II Q 2019,PLN,5740000,520000,614000,417000,468000,988000,39045000,19871000,"200000,000","2,085","99,355",N
III Q 2019,PLN,5641000,1526000,972000,695000,437000,1963000,40099000,20215000,"200000,000","3,475","101,075",N
IV Q 2017,PLN,5871000,-425000,-137000,-87000,454000,29000,34122000,17694000,"200000,000","-0,435","88,470",N
I Q 2018,PLN,4266000,549000,661000,439000,350000,899000,34904000,18111000,"200000,000","2,195","90,555",N
II Q 2018,PLN,5157000,1038000,323000,171000,514000,1552000,36071000,17983000,"200000,000","0,855","89,915",N
III Q 2018,PLN,5364000,525000,608000,363000,452000,977000,36221000,18524000,"200000,000","1,815","92,620",N
IV Q 2016,PLN,6015000,-4400000,-5015000,-4996000,457000,-3943000,33442000,15772000,"200000,000","-24,980","78,860",N
I Q 2017,PLN,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,"200000,000","3,550","83,175",N
II Q 2017,PLN,4802000,235000,618000,341000,401000,636000,33501000,16963000,"200000,000","1,705","84,815",N
III Q 2017,PLN,4774000,739000,787000,604000,383000,1122000,34306000,17706000,"200000,000","3,020","88,530",N
IV Q 2015,PLN,5148000,-6880000,-6962000,-6237000,469000,-6411000,36764000,20211000,"200000,000","-31,185","101,055",N
I Q 2016,PLN,3912000,113000,343000,161000,397000,510000,37098000,20321000,"200000,000","0,805","101,605",N
II Q 2016,PLN,4544000,729000,340000,135000,413000,1142000,38411000,20258000,"200000,000","0,675","101,290",N
III Q 2016,PLN,4685000,339000,531000,329000,431000,770000,37891000,20529000,"200000,000","1,645","102,645",N
IV Q 2014,PLN,5776000,711000,612000,672000,439000,1150000,40374000,25302000,"200000,000","3,360","126,510",N
I Q 2015,PLN,4731000,713000,577000,397000,564000,1277000,42781000,26178000,"200000,000","1,985","130,890",N
II Q 2015,PLN,5329000,1151000,1116000,795000,380000,1531000,42426000,26346000,"200000,000","3,975","131,730",N
