kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,420964,329368,268510,234401,14144,343512,8060980,3505590,"19318,790","12,133","181,460",N
II Q 2023,PLN,429899,378344,316583,293641,14256,392600,8405241,3449271,"19318,790","15,200","178,545",N
III Q 2023,PLN,460565,320713,247677,228791,14539,335252,9196300,3725592,"19318,790","11,843","192,848",N
IV Q 2023,PLN,477041,298733,204704,255655,15358,314091,9928505,3819947,"19318,790","13,233","197,732",N
I Q 2022,PLN,334792,305706,265378,243933,11574,317280,6232395,2881518,"18740,045","13,017","153,763",N
II Q 2022,PLN,350821,292667,254174,244905,11976,304643,6465531,2882675,"19127,730","12,804","150,707",N
III Q 2022,PLN,385150,239640,191109,188020,13248,252888,7042739,3131987,"19127,730","9,830","163,741",N
IV Q 2022,PLN,403804,204828,153048,128124,14390,219218,7681082,3254017,"19318,790","6,632","168,438",N
I Q 2021,PLN,284124,181194,151316,127355,11330,192524,4671532,2187182,"18971,811","6,713","115,286",N
II Q 2021,PLN,282086,302804,306184,268428,14210,317014,5373320,2206632,"19011,045","14,120","116,071",N
III Q 2021,PLN,303814,223346,192990,169692,11485,234831,5283100,2426138,"19011,045","8,926","127,617",N
IV Q 2021,PLN,322639,152271,123465,129283,11330,163601,5909400,2600817,"18740,045","6,899","138,784",N
I Q 2020,PLN,308946,-7036,-53840,-62156,11652,4616,4850167,1953365,"18971,811","-3,276","102,961",N
II Q 2020,PLN,291659,59470,36309,42863,11530,71000,4635275,1987047,"18971,811","2,259","104,737",N
III Q 2020,PLN,278739,154789,126553,53844,11487,166276,4540202,2063587,"18971,811","2,838","108,771",N
IV Q 2020,PLN,273713,125041,95418,46805,11874,136915,4643031,2043771,"18971,811","2,467","107,727",N
I Q 2019,PLN,305711,126286,94099,97832,10110,136396,4626616,1827412,"18886,861","5,180","96,756",N
II Q 2019,PLN,315924,105716,81956,68987,11141,116857,4890688,1828017,"18930,655","3,644","96,564",N
III Q 2019,PLN,326489,129286,82866,77777,11533,140819,4721783,1964876,"18930,655","4,109","103,793",N
IV Q 2019,PLN,192742,79051,55289,31794,11259,90310,4839914,1958426,"18930,655","1,679","103,453",N
I Q 2018,PLN,285331,119955,89494,90669,5046,125001,3665293,1589348,"18807,900","4,821","84,504",N
