kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,50088,3807,3376,2717,1617,5424,143043,107835,"24875,050","0,109","4,335",N
I Q 2023,PLN,41218,2512,2499,2028,1653,4165,140295,109863,"24875,050","0,082","4,417",N
II Q 2023,PLN,38971,1515,1790,1346,1621,3136,138681,106234,"24875,050","0,054","4,271",N
III Q 2023,PLN,40623,3114,3066,2257,1627,4741,137597,108491,"24875,050","0,091","4,361",N
IV Q 2021,PLN,47455,4715,4426,3942,1481,6196,140328,100774,"24875,050","0,158","4,051",N
I Q 2022,PLN,40595,4288,4116,3188,1602,5890,144677,103962,"24875,050","0,128","4,179",N
II Q 2022,PLN,40744,2081,2034,1640,1597,3678,137972,103115,"24875,050","0,066","4,145",N
III Q 2022,PLN,41328,2720,2603,2003,1593,4313,140502,105118,"24875,050","0,081","4,226",N
IV Q 2020,PLN,0,0,0,0,0,0,128636,99129,"24875,050","0,000","3,985",N
I Q 2021,PLN,36228,4043,4079,3319,1428,5471,124866,102448,"24875,050","0,133","4,119",N
II Q 2021,PLN,30961,965,610,454,1475,2440,114630,95439,"24875,050","0,018","3,837",N
III Q 2021,PLN,33781,1548,1837,1393,1481,3029,126323,96832,"24875,050","0,056","3,893",N
I Q 2011,PLN,21755,1445,1258,979,969,2414,100159,77579,"24875,050","0,039","3,119",N
II Q 2011,PLN,20008,811,787,487,1109,1920,99344,75579,"24875,050","0,020","3,038",N
III Q 2011,PLN,25891,3331,3082,2435,987,4318,0,0,"24875,050","0,098","0,000",N
IV Q 2011,PLN,33921,4194,3944,3330,960,5154,106310,81199,"24875,050","0,134","3,264",N
I Q 2010,PLN,22252,539,1225,504,1031,1570,106799,72417,"24875,050","0,020","2,911",N
II Q 2010,PLN,20090,-748,-1595,-1019,1029,281,107564,71878,"24875,050","-0,041","2,890",N
III Q 2010,PLN,25468,1556,1944,1664,1046,2602,0,0,"24875,050","0,067","0,000",N
IV Q 2010,PLN,29612,3564,3363,2790,1059,4623,107458,76600,"24875,050","0,112","3,079",N
I Q 2009,PLN,28426,1395,-4912,-4196,1102,2497,113187,57836,"24875,050","-0,169","2,325",N
II Q 2009,PLN,21349,-1726,-2892,-2732,1074,-652,102452,57776,"24875,050","-0,110","2,323",N
III Q 2009,PLN,26038,1922,1467,1182,1140,3062,0,0,"24875,050","0,048","0,000",N
IV Q 2009,PLN,28697,1319,7373,6987,1072,2391,111596,70693,"24875,050","0,281","2,842",N
I Q 2008,PLN,32126,2707,2258,1937,1081,3788,119628,73120,"24700,894","0,078","2,960",N
II Q 2008,PLN,30675,1850,1822,1511,1199,3049,117965,73645,"24875,050","0,061","2,961",N
III Q 2008,PLN,30081,2259,1476,1206,1115,3374,0,0,"24875,050","0,048","0,000",N
IV Q 2008,PLN,29960,-1518,-6062,-4634,1278,-240,120115,63512,"24875,050","-0,186","2,553",N
I Q 2007,PLN,34245,3538,3487,2763,928,4466,94044,66835,"24700,894","0,112","2,706",N
II Q 2007,PLN,31401,917,403,536,902,1819,103195,67789,"24700,894","0,022","2,744",N
III Q 2007,PLN,34957,2881,2529,2059,979,3860,0,0,"24700,894","0,083","0,000",N
IV Q 2007,PLN,38337,2144,1489,1272,1061,3205,121506,71215,"24700,894","0,051","2,883",N
I Q 2006,PLN,21552,3716,3487,2681,502,4218,67526,57147,"24573,200","0,109","2,326",N
II Q 2006,PLN,20612,1430,1478,1284,547,1977,68679,58891,"24573,200","0,052","2,397",N
III Q 2006,PLN,32165,4978,5246,4030,859,5837,0,0,"24573,200","0,164","0,000",N
IV Q 2006,PLN,34398,411,-51,211,862,1273,88025,63795,"24573,200","0,009","2,596",N
IV Q 2003,PLN,0,0,0,0,0,0,28940,22892,"23323,200","0,000","0,982",N
IV Q 2004,PLN,0,0,0,0,0,0,49618,33734,"23323,200","0,000","1,446",N
III Q 2005,PLN,22147,4006,3813,3161,849,4855,0,0,"24573,200","0,129","0,000",N
IV Q 2005,PLN,27336,4571,4601,3791,907,5478,63778,54004,"24573,200","0,154","2,198",N
IV Q 2002,PLN,0,0,0,0,0,0,17628,14175,"23323,200","0,000","0,608",N
