kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,100033,2048,-417,19581,4016,6064,468524,259998,"43000,000","0,455","6,046",N
I Q 2023,PLN,86307,15151,14303,11784,3799,18950,466482,239211,"40000,000","0,295","5,980",N
II Q 2023,PLN,94678,8258,6472,4202,3728,11986,482260,246962,"40000,000","0,105","6,174",N
III Q 2023,PLN,89987,8794,9825,5716,3732,12526,460981,252201,"40000,000","0,143","6,305",N
IV Q 2021,PLN,83398,7080,5979,4805,4576,11656,555612,286561,"46415,440","0,104","6,174",N
I Q 2022,PLN,92124,8728,8160,5570,4308,13036,549852,253859,"46415,440","0,120","5,469",N
II Q 2022,PLN,106864,9196,7971,4665,4554,13750,564803,260348,"46415,440","0,101","5,609",N
III Q 2022,PLN,106901,6673,5502,3861,4730,11403,560934,264269,"43000,000","0,090","6,146",N
IV Q 2020,PLN,90951,11512,11428,9235,4374,15886,486570,279830,"46415,440","0,199","6,029",N
I Q 2021,PLN,98229,15208,15158,11677,4258,19466,513218,291440,"46415,440","0,252","6,279",N
II Q 2021,PLN,83052,11404,10040,8833,4328,15732,525430,286421,"46415,440","0,190","6,171",N
III Q 2021,PLN,85240,14353,13894,9089,4482,18835,534870,297916,"46415,440","0,196","6,418",N
IV Q 2019,PLN,76006,6085,5460,-8248,5182,11267,500183,289065,"48858,358","-0,169","5,916",N
I Q 2020,PLN,80289,8412,10762,7941,4245,12657,509197,298661,"48858,358","0,163","6,113",N
II Q 2020,PLN,93965,13990,13666,9076,4249,18239,495889,270741,"48858,358","0,186","5,541",N
III Q 2020,PLN,107149,18602,18511,13187,4352,22954,483929,270263,"46415,440","0,284","5,823",N
IV Q 2018,PLN,-40966,-4211,-3767,4079,4040,-171,594975,340372,"48858,358","0,083","6,967",N
I Q 2019,PLN,74847,5484,5381,7950,5240,10724,609423,348331,"48858,358","0,163","7,129",N
II Q 2019,PLN,82265,7355,7783,5471,5680,13035,605077,327819,"48858,358","0,112","6,710",N
III Q 2019,PLN,87722,9568,9780,7958,5341,14909,607342,336204,"48858,358","0,163","6,881",N
IV Q 2017,PLN,108546,8193,7190,3655,5008,13201,623457,337919,"48858,358","0,075","6,916",N
I Q 2018,PLN,118631,9916,9254,6317,5328,15244,624992,344537,"48858,358","0,129","7,052",N
II Q 2018,PLN,130570,13739,13635,9408,6083,19822,624599,327767,"48858,358","0,193","6,709",N
III Q 2018,PLN,127988,14238,13742,8730,5892,20130,608128,336040,"48858,358","0,179","6,878",N
IV Q 2016,PLN,100724,6197,6376,7513,4628,10825,631948,344901,"48858,358","0,154","7,059",N
I Q 2017,PLN,117081,13468,16885,12880,5249,18717,627760,354508,"48858,358","0,264","7,256",N
II Q 2017,PLN,123134,11520,7300,8516,4691,16211,637746,320756,"48858,358","0,174","6,565",N
III Q 2017,PLN,128322,14291,13468,9287,5111,19402,634685,334907,"48858,358","0,190","6,855",N
IV Q 2015,PLN,71529,1852,48040,42155,6016,7868,662723,364264,"54287,065","0,777","6,710",N
I Q 2016,PLN,118946,15625,14582,13954,6544,22169,680393,380269,"54287,065","0,257","7,005",N
II Q 2016,PLN,115165,16791,17261,14910,6681,23472,704269,362853,"54287,065","0,275","6,684",N
III Q 2016,PLN,131365,17225,16986,31691,4967,22192,656625,396190,"54287,065","0,584","7,298",N
IV Q 2014,PLN,91633,-2644,11314,5673,5662,3018,551036,310431,"59937,065","0,095","5,179",N
I Q 2015,PLN,91998,9815,12459,8746,6162,15977,555903,318288,"59937,065","0,146","5,310",N
II Q 2015,PLN,72416,13338,12235,12681,5626,18964,568581,302525,"59937,065","0,212","5,047",N
III Q 2015,PLN,90078,14444,14850,13425,5508,19952,563498,320948,"59937,065","0,224","5,355",N
IV Q 2013,PLN,76185,7827,7302,7347,4218,12045,514625,323939,"63098,100","0,116","5,134",N
I Q 2014,PLN,77057,8538,8205,7136,3540,12078,515900,330115,"63098,100","0,113","5,232",N
II Q 2014,PLN,87412,9360,9314,36576,3517,12877,544485,344717,"59937,065","0,610","5,751",N
III Q 2014,PLN,114759,23840,19758,17451,5541,29381,597086,363413,"59937,065","0,291","6,063",N
IV Q 2012,PLN,116912,8511,6286,4476,4512,13023,622172,293998,"63013,100","0,071","4,666",N
I Q 2013,PLN,111226,7081,9616,7493,5015,12096,685915,300393,"63013,100","0,119","4,767",N
II Q 2013,PLN,46448,8519,4348,7518,2817,11336,538947,294880,"63013,100","0,119","4,680",N
III Q 2013,PLN,96355,15761,15668,14448,4278,20039,528804,311716,"63098,100","0,229","4,940",N
IV Q 2011,PLN,96603,6428,6664,5418,5356,11784,477237,272945,"0,000",,,N
I Q 2012,PLN,87504,4818,3756,2796,4783,9601,495660,275891,"63013,100","0,044","4,378",N
II Q 2012,PLN,136535,14880,18107,9645,3358,18238,659735,287350,"63013,100","0,153","4,560",N
III Q 2012,PLN,146365,15790,13600,9323,4948,20738,638584,293499,"63013,100","0,148","4,658",N
IV Q 2010,PLN,43796,-3322,-3555,-2955,2526,-796,213211,182368,"54460,600","-0,054","3,349",N
I Q 2011,PLN,35732,-1830,-1767,-1786,2538,708,219317,189005,"54460,600","-0,033","3,470",N
II Q 2011,PLN,68252,25449,21949,22462,3316,28765,471287,239667,"54460,600","0,412","4,401",N
III Q 2011,PLN,124747,14781,14866,11175,4693,19474,0,0,"54460,600","0,205","0,000",N
IV Q 2009,PLN,38179,558,-55,-90,2547,3105,206843,169227,"54460,600","-0,002","3,107",N
I Q 2010,PLN,36060,729,532,363,2487,3216,204774,171731,"54460,600","0,007","3,153",N
II Q 2010,PLN,41499,2410,4634,4066,2490,4900,201277,170389,"54460,600","0,075","3,129",N
III Q 2010,PLN,51782,2733,2286,1766,2534,5267,0,0,"54460,600","0,032","0,000",N
IV Q 2008,PLN,58718,-270,-424,433,4886,4616,339315,185936,"54460,600","0,008","3,414",N
I Q 2009,PLN,54460,3955,2922,1377,4294,8249,298228,185197,"54460,600","0,025","3,401",N
II Q 2009,PLN,64181,3530,3991,2214,4172,7702,308725,175085,"54460,600","0,041","3,215",N
III Q 2009,PLN,49321,1644,2998,2589,2600,4244,0,0,"54460,600","0,048","0,000",N
IV Q 2007,PLN,36064,-1622,-2999,3783,2603,981,235281,191049,"54460,600","0,069","3,508",N
I Q 2008,PLN,58468,3394,2709,1205,4209,7603,305335,181884,"54460,600","0,022","3,340",N
II Q 2008,PLN,58603,6482,4779,2761,4150,10632,313818,184273,"54460,600","0,051","3,384",N
III Q 2008,PLN,67060,5502,4494,2374,4641,10143,0,0,"54460,600","0,044","0,000",N
IV Q 2005,PLN,45310,-6738,-6250,-5166,3200,-3538,202604,159630,"27125,300","-0,190","5,885",N
I Q 2007,PLN,42736,2481,3066,1906,3278,5759,277925,225107,"54460,600","0,035","4,133",N
II Q 2007,PLN,42711,1496,762,946,3228,4724,260278,207543,"54460,600","0,017","3,811",N
III Q 2007,PLN,47332,4611,4776,0,3176,7787,0,0,"54460,600","0,000","0,000",N
IV Q 2004,PLN,50210,-2659,-2122,-2069,2989,330,212518,169207,"31025,000","-0,067","5,454",N
I Q 2005,PLN,37489,-877,-416,-644,3328,2451,221476,172533,"30125,300","-0,021","5,727",N
II Q 2005,PLN,48805,-1425,-1964,-1744,3127,1702,214674,164096,"30125,300","-0,058","5,447",N
III Q 2005,PLN,53244,237,630,646,3306,3543,0,0,"27125,300","0,024","0,000",N
IV Q 2003,PLN,52105,1129,732,382,2817,3946,195853,163381,"31025,000","0,012","5,266",N
I Q 2004,PLN,48647,2357,2647,2012,3984,6341,225898,189825,"31025,000","0,065","6,118",N
II Q 2004,PLN,54112,1131,1679,1200,3706,4837,224382,180962,"31025,000","0,039","5,833",N
III Q 2004,PLN,59594,4522,4751,3978,2187,6709,0,0,"31025,000","0,128","0,000",N
IV Q 2002,PLN,41922,-215,582,793,2400,2185,187756,163031,"31025,000","0,026","5,255",N
I Q 2003,PLN,37696,-409,664,375,3556,3147,187380,163406,"31025,000","0,012","5,267",N
II Q 2003,PLN,46831,390,889,212,3052,3442,183337,158629,"31025,000","0,007","5,113",N
III Q 2003,PLN,56494,6432,7060,5507,2631,9063,196503,162999,"31025,000","0,178","5,254",N
IV Q 2001,PLN,42255,777,528,796,3951,4728,189388,163297,"31500,000","0,025","5,184",N
I Q 2002,PLN,35193,86,1290,695,3956,4042,188339,163396,"31500,000","0,022","5,187",N
II Q 2002,PLN,42017,227,1109,847,3974,4201,195381,160402,"31500,000","0,027","5,092",N
III Q 2002,PLN,54791,5530,5640,4105,3270,8800,196380,164507,"31025,000","0,132","5,302",N
IV Q 2000,PLN,46340,2829,2986,2848,3526,6355,191179,161189,"31500,000","0,090","5,117",N
I Q 2001,PLN,40715,2367,3438,2635,3591,5958,192644,163824,"31500,000","0,084","5,201",N
II Q 2001,PLN,41578,1227,1799,1051,3409,4636,194111,159960,"31500,000","0,033","5,078",N
III Q 2001,PLN,50108,3199,4896,3520,3528,6727,191895,163479,"31500,000","0,112","5,190",N
IV Q 1999,PLN,0,0,0,0,0,0,184390,146243,"0,000",,,N
I Q 2000,PLN,41393,2898,3569,2589,3574,6472,186792,148832,"0,000",,,N
II Q 2000,PLN,48290,4139,4445,3007,3518,7657,188487,148439,"0,000",,,N
III Q 2000,PLN,51501,4767,6227,4214,3520,8287,193316,152653,"0,000",,,N
 Q 0000,PLN,52105,1129,732,382,141,1270,195853,163381,"6205,000","0,062","26,331",N
 Q 0000,PLN,0,0,0,0,0,0,0,0,,,,N
IV Q 1998,,0,0,0,0,0,0,182210,133818,"0,000",,,N
II Q 1999,,0,0,0,0,0,0,184381,139468,"0,000",,,N
