kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,53587,-31611,-32992,-34175,9049,-22562,244586,117301,"50000,000","-0,684","2,346",N
I Q 2023,PLN,25430,-7660,-9101,-9123,4466,-3194,237033,108178,"50000,000","-0,182","2,164",N
II Q 2023,PLN,47859,13577,12616,11352,4944,18521,216382,119530,"50000,000","0,227","2,391",N
III Q 2023,PLN,50027,4007,3797,3775,2872,6879,194456,123306,"50000,000","0,076","2,466",N
IV Q 2021,PLN,77613,-10101,-11272,-8460,5317,-4784,323755,127291,"50000,000","-0,169","2,546",N
I Q 2022,PLN,47882,4016,2307,2671,5382,9398,324917,129962,"50000,000","0,053","2,599",N
II Q 2022,PLN,85762,1273,-1017,-929,3884,5157,324196,125927,"50000,000","-0,019","2,519",N
III Q 2022,PLN,70342,26469,24933,25549,3583,30052,291827,151476,"50000,000","0,511","3,030",N
IV Q 2020,PLN,65885,-5960,-7682,-6661,5035,-925,332544,140715,"50000,000","-0,133","2,814",N
I Q 2021,PLN,37137,2283,979,1189,4543,6826,340966,141904,"50000,000","0,024","2,838",N
II Q 2021,PLN,85900,-1263,-2744,-3604,5802,4539,345911,138300,"50000,000","-0,072","2,766",N
III Q 2021,PLN,83825,-1470,-2720,-2549,6754,5284,344407,135752,"50000,000","-0,051","2,715",N
IV Q 2019,PLN,53270,-820,-3317,-1988,3514,2694,327891,142352,"50000,000","-0,040","2,847",N
I Q 2020,PLN,39560,2988,1320,1789,4108,7096,332964,144140,"50000,000","0,036","2,883",N
II Q 2020,PLN,75436,5812,4235,2308,4924,10736,343288,146449,"50000,000","0,046","2,929",N
III Q 2020,PLN,69296,2530,863,926,5141,7671,337714,147375,"50000,000","0,019","2,948",N
IV Q 2018,PLN,39659,-25640,-27137,-28548,3964,-21676,297823,124223,"50000,000","-0,571","2,484",N
I Q 2019,PLN,19149,14004,12107,13637,2779,16783,312943,137859,"50000,000","0,273","2,757",N
