kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,4184904,435498,231485,185496,319791,755289,12921040,3986014,"1854,241","100,039","2149,674",N
II Q 2023,PLN,3639400,230700,145200,109500,320200,550900,13333600,4075000,"1854,241","59,054","2197,665",N
III Q 2023,PLN,4575400,607000,566200,438800,336500,943500,13075500,3674600,"1855,190","236,526","1980,714",N
IV Q 2023,PLN,4350500,802600,718100,575600,356000,1158600,13721400,4263100,"1855,190","310,265","2297,932",N
I Q 2022,PLN,3399261,429682,305581,453765,262158,691840,14743715,3880579,"1839,291","246,706","2109,823",N
II Q 2022,PLN,3034200,117000,74600,268000,251500,368500,15637400,3625000,"1839,291","145,708","1970,868",N
III Q 2022,PLN,4340600,120100,322900,-362300,271800,391900,14939200,3398900,"1854,241","-195,390","1833,041",N
IV Q 2022,PLN,4366800,511800,458500,395500,286100,797900,13521800,3778500,"1854,241","213,295","2037,761",N
I Q 2021,PLN,2094418,80061,-3991,-44371,257321,337382,10353768,3068391,"1839,291","-24,124","1668,247",N
II Q 2021,PLN,1815296,-62439,-91191,21548,216035,153596,10735866,3103131,"1839,291","11,715","1687,134",N
III Q 2021,PLN,2990231,415711,399042,459095,223805,639516,11470531,2785238,"1839,291","249,604","1514,300",N
IV Q 2021,PLN,3134000,620416,599614,627581,241429,861845,13000042,3477344,"1839,291","341,208","1890,589",N
I Q 2020,PLN,0,0,0,0,0,0,9605862,3247491,"1839,291","0,000","1765,621",N
II Q 2020,PLN,1178647,-260522,-419037,-361990,278106,17584,10026100,2876921,"1839,291","-196,810","1564,147",N
III Q 2020,PLN,2129297,32301,66012,-30639,275825,308126,9408014,2757857,"1839,291","-16,658","1499,413",N
IV Q 2020,PLN,2445717,301184,240502,246870,261793,562977,10006161,3021856,"1839,291","134,220","1642,946",N
IV Q 2018,PLN,2372724,433325,420586,312259,90861,524186,5380808,2860553,"1839,291","169,771","1555,248",N
I Q 2019,PLN,1827680,-100224,-116853,-114589,232376,132152,8070683,2786018,"1839,291","-62,301","1514,724",N
II Q 2019,PLN,2214142,352535,341774,205477,242377,594912,8590744,2878618,"1839,291","111,715","1565,069",N
III Q 2019,PLN,2348161,140514,43443,19631,255451,395965,8994325,2939144,"1839,291","10,673","1597,977",N
IV Q 2017,PLN,2148905,376722,351861,299488,73532,450254,4330828,2443446,"1839,291","162,828","1328,472",N
I Q 2018,PLN,1580352,-117732,-103187,-104769,84449,-33283,4207663,2340417,"1839,291","-56,962","1272,456",N
II Q 2018,PLN,2049736,311755,296280,206129,85649,397404,4759468,2504408,"1839,291","112,070","1361,616",N
