kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,99666,5112,4639,3204,2346,7458,239332,122914,"11040,071","0,290","11,133",N
I Q 2023,PLN,89111,10056,9410,7288,2492,12548,244849,130231,"11040,071","0,660","11,796",N
II Q 2023,PLN,93154,11316,11032,9196,4546,15862,242758,132870,"11040,071","0,833","12,035",N
III Q 2023,PLN,84754,15455,14943,11987,3526,18981,236554,144857,"11040,071","1,086","13,121",N
IV Q 2021,PLN,48863,1558,1354,993,1982,3540,205044,101654,"9250,071","0,107","10,990",N
I Q 2022,PLN,68922,8238,7829,7087,2211,10449,234811,108761,"11040,071","0,642","9,851",N
II Q 2022,PLN,79248,9627,8831,7052,2215,11842,242458,112519,"11040,071","0,639","10,192",N
III Q 2022,PLN,81086,10222,9045,7115,2398,12620,247723,119680,"11040,071","0,644","10,841",N
IV Q 2020,PLN,47234,3343,3070,2326,1982,5325,180537,85203,"9250,071","0,251","9,211",N
I Q 2021,PLN,44423,3089,2958,2374,2011,5100,181496,87577,"9250,071","0,257","9,468",N
II Q 2021,PLN,37645,1480,1276,978,2003,3483,178602,88555,"9250,071","0,106","9,573",N
III Q 2021,PLN,38720,2418,2213,2045,2001,4419,178212,87825,"9250,071","0,221","9,495",N
IV Q 2019,PLN,45038,-419,-694,-1172,1780,1361,173627,79988,"9250,071","-0,127","8,647",N
I Q 2020,PLN,57244,4050,3380,2713,1835,5885,185943,82701,"9250,071","0,293","8,941",N
II Q 2020,PLN,43261,1935,1664,1260,1903,3838,182154,83961,"9250,071","0,136","9,077",N
III Q 2020,PLN,39437,1856,1495,1229,1932,3788,184274,82877,"9250,071","0,133","8,960",N
IV Q 2018,PLN,41868,1787,1484,1190,1430,3217,145460,78498,"9250,071","0,129","8,486",N
I Q 2019,PLN,40209,3260,2939,2410,1488,4748,160830,80908,"9250,071","0,261","8,747",N
II Q 2019,PLN,39887,1807,1450,1085,1628,3435,162323,79680,"9250,071","0,117","8,614",N
III Q 2019,PLN,40454,2263,1835,1480,1729,3992,164311,81160,"9250,071","0,160","8,774",N
IV Q 2017,PLN,43329,1610,1140,781,1214,2824,137208,75305,"9250,071","0,084","8,141",N
I Q 2018,PLN,42445,3135,2868,2253,1441,4576,141629,77558,"9250,071","0,244","8,385",N
II Q 2018,PLN,33567,1401,1158,929,1447,2848,134122,75875,"9250,071","0,100","8,203",N
III Q 2018,PLN,36137,1997,1798,1433,1446,3443,137441,77308,"9250,071","0,155","8,358",N
IV Q 2016,PLN,34079,2135,1832,1320,1156,3291,128386,72816,"9250,071","0,143","7,872",N
I Q 2017,PLN,34395,2431,2338,1852,1253,3684,131508,74668,"9250,071","0,200","8,072",N
II Q 2017,PLN,31652,1442,1235,1199,1258,2700,129686,73554,"9250,071","0,130","7,952",N
III Q 2017,PLN,35496,1699,1393,970,1198,2897,135370,74524,"9250,071","0,105","8,057",N
IV Q 2015,PLN,35858,1645,1466,1113,1064,2709,127000,70896,"9250,071","0,120","7,664",N
I Q 2016,PLN,31667,2106,1830,1409,1126,3232,124502,72327,"9250,071","0,152","7,819",N
II Q 2016,PLN,27401,1494,1182,953,1120,2614,125170,70063,"9250,071","0,103","7,574",N
III Q 2016,PLN,31033,1868,1723,1410,1152,3020,127683,71491,"9250,071","0,152","7,729",N
IV Q 2014,PLN,37196,2015,1470,1136,1075,3090,126579,67460,"9250,071","0,123","7,293",N
I Q 2015,PLN,30697,2017,1717,1226,1095,3112,129306,68702,"9250,071","0,133","7,427",N
II Q 2015,PLN,32981,1923,1436,1150,1098,3021,126715,68321,"9250,071","0,124","7,386",N
III Q 2015,PLN,33240,2176,1933,1425,1077,3253,127342,69760,"9250,071","0,154","7,542",N
IV Q 2013,PLN,34979,1681,946,1203,1001,2682,123897,63401,"9250,071","0,130","6,854",N
I Q 2014,PLN,30100,2228,1680,1057,1012,3240,120898,64464,"9250,071","0,114","6,969",N
II Q 2014,PLN,28058,1496,1090,756,1025,2521,117407,65160,"9250,071","0,082","7,044",N
III Q 2014,PLN,28447,1890,1538,1194,1044,2934,121430,66317,"9250,071","0,129","7,169",N
IV Q 2012,PLN,36320,343,573,374,1140,1483,128249,60577,"9250,071","0,040","6,549",N
I Q 2013,PLN,37807,1413,800,719,1072,2485,126081,61296,"9250,071","0,078","6,627",N
II Q 2013,PLN,28327,684,71,180,1057,1741,124841,61475,"9250,071","0,019","6,646",N
III Q 2013,PLN,30552,1313,918,798,1016,2329,123980,62273,"9250,071","0,086","6,732",N
IV Q 2011,PLN,44446,-1408,-2136,-1338,1722,314,142157,59407,"9250,071","-0,145","6,422",N
I Q 2012,PLN,32960,620,291,82,1404,2024,141048,59489,"9250,071","0,009","6,431",N
II Q 2012,PLN,29173,-642,-1213,177,1391,749,132351,59666,"9250,071","0,019","6,450",N
III Q 2012,PLN,33380,1130,598,537,763,1893,128807,60203,"9250,071","0,058","6,508",N
IV Q 2010,PLN,38142,-567,-713,-77,1421,854,132206,62689,"9250,071","-0,008","6,777",N
I Q 2011,PLN,50985,829,-82,-1032,1556,2385,162233,61657,"9250,071","-0,112","6,666",N
II Q 2011,PLN,64772,1283,835,707,1539,2822,151729,62429,"9250,071","0,076","6,749",N
III Q 2011,PLN,50468,-918,-1308,-1683,1734,816,0,0,"9250,071","-0,182","0,000",N
IV Q 2009,PLN,30995,868,632,431,1424,2292,117963,61242,"9250,071","0,047","6,621",N
I Q 2010,PLN,41159,1757,1017,941,1348,3105,134324,62287,"9250,071","0,102","6,734",N
II Q 2010,PLN,32921,1418,1193,1150,1357,2775,129964,62502,"9250,071","0,124","6,757",N
III Q 2010,PLN,37747,402,135,160,1405,1807,0,0,"9250,071","0,017","0,000",N
IV Q 2008,PLN,22471,-277,-608,-585,991,714,114345,59044,"9250,071","-0,063","6,383",N
I Q 2009,PLN,24952,1429,595,520,1189,2618,121918,59564,"9250,071","0,056","6,439",N
II Q 2009,PLN,30927,1140,776,630,1458,2598,124255,60194,"9250,071","0,068","6,507",N
III Q 2009,PLN,30677,977,790,646,1427,2404,0,0,"9250,071","0,070","0,000",N
IV Q 2007,PLN,23583,-51,-226,329,1086,1035,95874,61850,"8918,818","0,037","6,935",N
I Q 2008,PLN,19186,-1365,-1670,-1732,947,-418,96120,59932,"9250,071","-0,187","6,479",N
