kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,70826,7022,6494,5663,2303,9325,1388042,660774,"41652,852","0,136","15,864",N
II Q 2023,PLN,197227,57545,49693,39609,2390,59935,1323490,700383,"41652,852","0,951","16,815",N
III Q 2023,PLN,86988,22282,30803,24342,2460,24742,1385438,724725,"41652,852","0,584","17,399",N
IV Q 2023,PLN,22470,-5797,-18431,-14337,2422,-3375,1461237,710388,"41652,852","-0,344","17,055",N
I Q 2022,PLN,121600,32857,34542,29101,842,33699,1629843,641793,"41652,852","0,699","15,408",N
II Q 2022,PLN,205104,34437,27839,24900,2048,36485,1508614,619209,"41652,852","0,598","14,866",N
III Q 2022,PLN,85284,18264,22675,18907,2272,20536,1493370,638116,"41652,852","0,454","15,320",N
IV Q 2022,PLN,176597,36066,25935,16995,2372,38438,1377356,655111,"41652,852","0,408","15,728",N
I Q 2021,PLN,50688,7816,8480,8128,715,8531,1390905,564717,"41652,852","0,195","13,558",N
II Q 2021,PLN,24600,26904,23374,21017,843,27747,1577153,546164,"41652,852","0,505","13,112",N
III Q 2021,PLN,188627,40647,42333,35083,731,41378,1491096,581247,"41652,852","0,842","13,955",N
IV Q 2021,PLN,129820,41110,39585,31445,724,41834,1549791,612692,"41652,852","0,755","14,709",N
I Q 2020,PLN,40143,4431,12898,11783,666,5097,1331555,495008,"41652,852","0,283","11,884",N
II Q 2020,PLN,13189,6913,6780,5569,981,7894,1408182,500577,"41652,852","0,134","12,018",N
III Q 2020,PLN,115173,30577,31701,25759,777,31354,1456880,519255,"41652,852","0,618","12,466",N
IV Q 2020,PLN,262880,47651,48384,37334,797,48448,1313891,556589,"41652,852","0,896","13,363",N
I Q 2019,PLN,53549,12113,12663,7787,663,12776,1044518,421125,"41652,852","0,187","10,110",N
II Q 2019,PLN,10418,12441,11239,8873,753,13194,1164953,429998,"41652,852","0,213","10,323",N
III Q 2019,PLN,55510,27606,31550,28723,904,28510,1224651,458721,"41652,852","0,690","11,013",N
IV Q 2019,PLN,171307,38364,34200,24504,826,39190,1274909,483225,"41652,852","0,588","11,601",N
I Q 2018,PLN,20530,2991,5779,5571,241,3232,927511,371600,"41652,852","0,134","8,921",N
II Q 2018,PLN,50295,11326,19435,16328,439,11765,996962,387928,"41652,852","0,392","9,313",N
III Q 2018,PLN,108112,20663,18142,15075,305,20968,965295,403003,"41652,852","0,362","9,675",N
IV Q 2018,PLN,87192,10065,12551,10335,270,10335,971566,413338,"41652,852","0,248","9,923",N
I Q 2017,PLN,14968,-2043,-7534,3908,286,-1757,740823,351108,"101,000","38,693","3476,317",N
II Q 2017,PLN,10232,3652,380,7979,313,3965,788151,339087,"101,000","79,000","3357,297",N
III Q 2017,PLN,34060,967,2355,2426,309,1276,875377,341508,"101,000","24,020","3381,267",N
IV Q 2017,PLN,126464,33843,26700,23897,431,34274,893433,366029,"41652,852","0,574","8,788",N
IV Q 2015,PLN,166456,19854,17072,17183,546,20400,710816,285564,"101,000","170,129","2827,366",N
II Q 2016,PLN,0,0,0,0,0,0,730597,300576,"101,000","0,000","2976,000",N
IV Q 2016,PLN,0,0,0,0,0,0,692942,347200,"101,000","0,000","3437,624",N
