kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,27452,-1102,-1774,-1394,132,-970,92993,58655,"2700,000","-0,516","21,724",N
I Q 2023,PLN,34250,487,-382,-331,277,764,90702,58310,"2700,000","-0,123","21,596",N
II Q 2023,PLN,34142,1231,154,-4,291,1522,91845,58278,"2700,000","-0,001","21,584",N
III Q 2023,PLN,34507,2918,2240,1984,257,3175,89836,60313,"2700,000","0,735","22,338",N
IV Q 2021,PLN,53781,2319,1476,859,196,2515,105732,65430,"2700,000","0,318","24,233",N
I Q 2022,PLN,33982,-98,-516,-497,294,196,112939,64951,"2700,000","-0,184","24,056",N
II Q 2022,PLN,38211,-1306,-2252,-1851,338,-968,109396,60438,"2700,000","-0,686","22,384",N
III Q 2022,PLN,41741,105,-260,-352,337,442,112694,60120,"2700,000","-0,130","22,267",N
IV Q 2020,PLN,41846,1517,1703,927,543,2060,91037,64898,"2700,000","0,343","24,036",N
I Q 2021,PLN,29304,772,94,74,257,1029,104119,64989,"2700,000","0,027","24,070",N
II Q 2021,PLN,31652,1233,675,430,215,1448,108734,62706,"2700,000","0,159","23,224",N
III Q 2021,PLN,36816,2512,2042,1833,203,2715,108214,64559,"2700,000","0,679","23,911",N
IV Q 2019,PLN,31972,1553,829,626,405,1958,81564,67350,"2700,000","0,232","24,944",N
I Q 2020,PLN,22807,231,135,208,286,517,82305,67570,"2700,000","0,077","25,026",N
II Q 2020,PLN,30757,1280,1162,569,312,1592,91922,62730,"2700,000","0,211","23,233",N
III Q 2020,PLN,34532,1874,1791,1256,114,1988,92646,63982,"2700,000","0,465","23,697",N
IV Q 2018,PLN,46819,5775,5650,4452,138,5913,87752,70124,"2700,000","1,649","25,972",N
I Q 2019,PLN,30382,1445,1108,845,239,1684,84885,70969,"2700,000","0,313","26,285",N
II Q 2019,PLN,28095,857,519,307,230,1087,78322,65876,"2700,000","0,114","24,399",N
III Q 2019,PLN,28234,877,1173,849,236,1113,79094,66722,"2700,000","0,314","24,712",N
IV Q 2017,PLN,37014,5190,4311,3427,96,5286,69681,61327,"2700,000","1,269","22,714",N
I Q 2018,PLN,19262,1686,1598,1274,100,1786,66986,62602,"2700,000","0,472","23,186",N
II Q 2018,PLN,26621,2825,3628,2954,115,2940,75122,62964,"2700,000","1,094","23,320",N
III Q 2018,PLN,31624,3815,3431,2710,126,3941,78936,65673,"2700,000","1,004","24,323",N
IV Q 2016,PLN,41448,7053,6329,4817,78,7131,51931,17593,"20400,000","0,236","0,862",N
I Q 2017,PLN,26803,2747,2526,2121,83,2830,53283,19713,"20400,000","0,104","0,966",N
II Q 2017,PLN,21559,990,1379,1498,90,1080,90467,55791,"2700,000","0,555","20,663",N
III Q 2017,PLN,26172,2707,2656,2109,89,2796,66435,57900,"2700,000","0,781","21,444",N
IV Q 2015,PLN,0,0,0,0,0,0,22925,7973,"20400,000","0,000","0,391",N
I Q 2016,PLN,16879,2092,1912,1530,59,2151,25768,8875,"20400,000","0,075","0,435",N
II Q 2016,PLN,22312,3137,2906,2322,65,3202,28873,11195,"20400,000","0,114","0,549",N
III Q 2016,PLN,28582,4635,4475,3579,77,4712,35967,14776,"20400,000","0,175","0,724",N
IV Q 2014,PLN,0,0,0,0,0,0,16719,5086,"20400,000","0,000","0,249",N
