kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
II Q 2021,PLN,62131,1638,1383,939,390,2028,141537,32542,"46108,506","0,020","0,706",N
III Q 2021,PLN,69053,1920,1418,1013,288,2208,152239,33555,"46108,506","0,022","0,728",N
IV Q 2021,PLN,59954,-3585,-4441,-3770,288,-3297,137249,29785,"46108,506","-0,082","0,646",N
I Q 2022,PLN,46373,-295,-255,-364,286,-9,127045,29421,"46108,506","-0,008","0,638",N
II Q 2020,PLN,75379,1849,1632,1246,196,2045,128755,29207,"46108,506","0,027","0,633",N
III Q 2020,PLN,64407,-133,-352,-212,195,62,132507,28995,"46108,506","-0,005","0,629",N
IV Q 2020,PLN,67324,4620,4394,3369,197,4817,127879,32364,"46108,506","0,073","0,702",N
I Q 2021,PLN,61721,1826,1664,1344,190,2016,136277,33708,"46108,506","0,029","0,731",N
III Q 2015,PLN,0,-944,543,543,3,-941,957,-3496,"4195,731","0,129","-0,833",N
IV Q 2015,PLN,208767,12653,-7210,1546,-387,12266,137113,26351,"46108,506","0,034","0,571",N
IV Q 2019,PLN,0,0,0,0,0,0,128428,27565,"46108,506","0,000","0,598",N
I Q 2020,PLN,51951,1099,508,396,99,1198,131641,27961,"46108,506","0,009","0,606",N
III Q 2014,PLN,-64,-2161,1365,1366,273,-1888,15316,2306,"4195,731","0,326","0,550",N
IV Q 2014,PLN,335,-472,-582,-518,269,-203,82830,18492,"4195,731","-0,123","4,407",N
I Q 2015,PLN,7,-394,-447,-447,268,-126,13784,416,"4195,731","-0,107","0,099",N
II Q 2015,PLN,-1,-3306,-3355,-3355,260,-3046,9499,-4039,"4195,731","-0,800","-0,963",N
III Q 2013,PLN,8281,-3699,-5987,-5940,2759,-940,207666,22542,"4195,733","-1,416","5,373",N
IV Q 2013,PLN,8212,-10380,-15177,-15429,2733,-7647,193285,7110,"4195,733","-3,677","1,695",N
I Q 2014,PLN,3571,-4375,-6124,-5709,2735,-1640,189641,1401,"4195,733","-1,361","0,334",N
II Q 2014,PLN,11678,-3451,-488,-203,2775,-676,39469,940,"4195,731","-0,048","0,224",N
III Q 2012,PLN,4534,-5338,-7790,-7783,2768,-2570,221337,47903,"3985,428","-1,953","12,020",N
IV Q 2012,PLN,2977,-9767,-12625,-12674,2754,-7013,214010,35229,"3985,428","-3,180","8,839",N
I Q 2013,PLN,6003,-3689,-5868,-5923,2787,-902,220887,29306,"3985,428","-1,486","7,353",N
II Q 2013,PLN,14305,-653,-3340,-3732,2712,2059,211251,28482,"4195,733","-0,889","6,788",N
