kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,21147,1473,1232,1165,2025,3498,64516,12631,"7665,436","0,152","1,648",N
I Q 2023,PLN,20108,702,289,414,2077,2779,63042,13046,"7665,436","0,054","1,702",N
II Q 2023,PLN,24489,1723,1441,1079,2125,3848,65918,13053,"7665,436","0,141","1,703",N
III Q 2023,PLN,28764,3279,2812,2197,2476,5755,64696,15227,"7665,436","0,287","1,986",N
IV Q 2021,PLN,16312,771,442,760,1998,2769,66002,7955,"7665,436","0,099","1,038",N
I Q 2022,PLN,15127,-254,-792,-621,2004,1750,65236,6555,"7665,436","-0,081","0,855",N
II Q 2022,PLN,19912,1998,1538,1347,1997,3995,63030,7573,"7665,436","0,176","0,988",N
III Q 2022,PLN,25654,6645,5879,3908,2050,8695,65776,11467,"7665,436","0,510","1,496",N
IV Q 2020,PLN,2840,-7563,-9634,-8041,1232,-6331,53954,1711,"7665,436","-1,049","0,223",N
I Q 2021,PLN,879,-4256,-4596,-2429,1698,-2558,52597,955,"7665,436","-0,317","0,125",N
II Q 2021,PLN,8894,4684,4511,2499,1705,6389,57451,3179,"7665,436","0,326","0,415",N
III Q 2021,PLN,21109,7396,6924,5345,1783,9179,57614,8523,"7665,436","0,697","1,112",N
IV Q 2019,PLN,18949,-747,-1008,-1461,2037,1290,68009,13698,"7665,436","-0,191","1,787",N
I Q 2020,PLN,14819,-937,-1802,-1433,2242,1305,68947,12393,"7665,436","-0,187","1,617",N
II Q 2020,PLN,5992,-3864,-4299,-3323,1796,-2068,67962,9046,"7665,436","-0,434","1,180",N
III Q 2020,PLN,17863,1693,1358,625,1988,3681,67551,9301,"7665,436","0,082","1,213",N
IV Q 2018,PLN,17138,910,441,-63,1904,2814,59539,12640,"7665,436","-0,008","1,649",N
I Q 2019,PLN,16165,1051,652,596,2058,3109,65387,13645,"7665,436","0,078","1,780",N
II Q 2019,PLN,18525,1336,987,665,2133,3469,65315,13145,"7665,436","0,087","1,715",N
III Q 2019,PLN,21664,2499,1873,1593,2232,4731,67917,14510,"7665,436","0,208","1,893",N
IV Q 2017,PLN,16086,1558,1738,1317,-90,1468,29219,16191,"7665,436","0,172","2,112",N
I Q 2018,PLN,13722,429,478,521,339,768,29307,16700,"7665,436","0,068","2,179",N
II Q 2018,PLN,16650,1620,669,214,3240,4860,62351,12047,"7665,436","0,028","1,572",N
III Q 2018,PLN,19020,2572,2347,1951,1904,4476,62231,13709,"7665,436","0,255","1,788",N
IV Q 2016,PLN,15172,700,923,845,438,1138,29328,14771,"7665,436","0,110","1,927",N
I Q 2017,PLN,14488,823,775,768,416,1239,29185,15616,"7665,436","0,100","2,037",N
II Q 2017,PLN,16371,817,665,464,427,1244,30441,13603,"7665,436","0,061","1,775",N
III Q 2017,PLN,17480,1569,1468,1288,424,1993,28925,14891,"7665,436","0,168","1,943",N
IV Q 2015,PLN,13488,769,671,1026,366,1135,27945,13683,"7665,436","0,134","1,785",N
I Q 2016,PLN,12553,808,717,748,385,1193,28133,14313,"7665,436","0,098","1,867",N
II Q 2016,PLN,14918,1421,1313,904,362,1783,29664,12688,"7665,436","0,118","1,655",N
III Q 2016,PLN,16248,1513,1395,1202,410,1923,28600,13827,"7665,436","0,157","1,804",N
IV Q 2014,PLN,11555,-1625,-1719,-2624,442,-1183,20381,6738,"6354,080","-0,413","1,060",N
I Q 2015,PLN,11630,950,1520,1234,366,1316,18542,8425,"6354,080","0,194","1,326",N
II Q 2015,PLN,12597,945,846,664,410,1355,19180,8949,"6354,080","0,105","1,408",N
III Q 2015,PLN,14594,1442,1345,1295,360,1802,26385,13514,"7665,436","0,169","1,763",N
IV Q 2013,PLN,13687,-175,-2,456,471,296,22739,10133,"6354,080","0,072","1,595",N
I Q 2014,PLN,10302,-200,-361,122,460,260,22760,10222,"6354,080","0,019","1,609",N
II Q 2014,PLN,12628,544,395,297,441,985,22739,10481,"6354,080","0,047","1,650",N
III Q 2014,PLN,13069,846,711,650,444,1290,22741,11043,"6354,080","0,102","1,738",N
IV Q 2012,PLN,8907,-8607,-10137,-8010,556,-8051,25830,8356,"6354,080","-1,261","1,315",N
I Q 2013,PLN,8159,583,345,244,408,991,25037,8591,"6354,080","0,038","1,352",N
II Q 2013,PLN,10058,195,-21,446,454,649,24004,9045,"6354,080","0,070","1,423",N
III Q 2013,PLN,10647,1196,1018,630,448,1644,22615,9647,"6354,080","0,099","1,518",N
IV Q 2011,PLN,9134,-521,-439,-222,300,-221,37981,17530,"0,000",,,N
I Q 2012,PLN,9075,56,-215,-203,562,618,36163,17306,"0,000",,,N
II Q 2012,PLN,11258,108,-246,-363,585,693,36735,17939,"6354,080","-0,057","2,823",N
III Q 2012,PLN,11119,-944,-1384,-929,586,-358,34437,16367,"6354,080","-0,146","2,576",N
IV Q 2010,PLN,0,0,0,0,0,0,24952,7847,"5204,080","0,000","1,508",N
I Q 2011,PLN,7346,861,604,441,446,1307,26227,8448,"5204,080","0,085","1,623",N
II Q 2011,PLN,9027,983,678,571,491,1474,28042,9020,"5204,080","0,110","1,733",N
III Q 2011,PLN,10143,481,92,-20,559,1040,0,0,"0,000",,,N
I Q 2010,PLN,6040,1224,1176,927,102,1326,15472,4478,"5204,080","0,178","0,860",N
