kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,2071433,260648,2010619,533601,252146,52521,113827975,6072502,"1213116,777","5,006","0,208",N
II Q 2023,PLN,2087525,263951,1523305,241825,105772,52925,114823623,6357203,"1213116,777","5,240","0,087",N
III Q 2023,PLN,2157147,255782,1534600,280755,102700,53238,123909376,6646374,"1213116,777","5,479","0,085",N
IV Q 2023,PLN,2119668,256754,1495674,256306,115099,52833,125520004,6894895,"1213116,777","5,684","0,095",N
I Q 2022,PLN,1059315,267907,1123715,9431,-122340,51602,109755965,6197675,"1213116,777","5,109","-0,101",N
II Q 2022,PLN,1491924,260498,1315523,-12980,-140261,52625,108858216,5778736,"1213116,777","4,764","-0,116",N
III Q 2022,PLN,407424,239857,-21318,-1140658,-1000902,52219,110193773,4865780,"1213116,777","4,011","-0,825",N
IV Q 2022,PLN,2041234,259483,1543576,413452,248937,52476,110941969,5494406,"1213116,777","4,529","0,205",N
I Q 2021,PLN,654932,245994,856423,-245030,-311338,51448,103366182,8687335,"1213116,777","7,161","-0,257",N
II Q 2021,PLN,684964,253855,863263,-103911,-200310,49227,104107030,8376310,"1213116,777","6,905","-0,165",N
III Q 2021,PLN,696410,251897,823734,-244941,-311308,50195,103791480,7978764,"1213116,777","6,577","-0,257",N
IV Q 2021,PLN,805787,260504,976823,-407061,-508910,50725,103913908,6697246,"1213116,777","5,521","-0,420",N
I Q 2020,PLN,927731,247669,921515,77798,18129,53340,101930807,9015496,"1213116,777","7,432","0,015",N
II Q 2020,PLN,822114,224034,884235,108138,53595,53873,102410398,9199843,"1213116,777","7,584","0,044",N
III Q 2020,PLN,697622,235165,878708,127360,60146,51743,102078161,9222082,"1213116,777","7,602","0,050",N
IV Q 2020,PLN,665243,240546,938692,-102361,-109053,51455,97322785,9090976,"1213116,777","7,494","-0,090",N
I Q 2019,PLN,694559,201530,712495,232674,159966,33412,82306793,8517192,"1213116,777","7,021","0,132",N
II Q 2019,PLN,792938,221297,825099,234516,173657,39627,93670305,8704197,"1213116,777","7,175","0,143",N
III Q 2019,PLN,940169,238271,972023,268664,200140,53622,97914135,8921436,"1213116,777","7,354","0,165",N
IV Q 2019,PLN,963892,238789,955413,99489,26969,54211,97916394,8941519,"1213116,777","7,371","0,022",N
I Q 2018,PLN,609595,209202,650544,218894,155276,13409,73009283,7731937,"1213116,777","6,374","0,128",N
II Q 2018,PLN,624448,205359,665727,260158,192669,13206,72665838,7907700,"1213116,777","6,518","0,159",N
III Q 2018,PLN,647382,205347,685021,264918,200189,13254,73408314,8111400,"1213116,777","6,686","0,165",N
IV Q 2018,PLN,698658,204337,712345,280635,212517,14358,80458914,8384386,"1213116,777","6,911","0,175",N
I Q 2017,PLN,576350,196098,612873,201454,140498,13119,68305919,7143530,"1213116,777","5,889","0,116",N
II Q 2017,PLN,593422,196164,636976,232276,173598,13740,69488847,7339768,"1213116,777","6,050","0,143",N
III Q 2017,PLN,613252,201064,656792,251035,187484,12995,70467877,7594054,"1213116,777","6,260","0,155",N
IV Q 2017,PLN,615914,205962,673001,240458,179647,13117,71141415,7772599,"1213116,777","6,407","0,148",N
I Q 2016,PLN,556667,161382,546800,190687,137185,13467,65315929,6649700,"1213116,777","5,482","0,113",N
II Q 2016,PLN,574633,168941,847282,389932,293764,14878,66695698,6722650,"1213116,777","5,542","0,242",N
III Q 2016,PLN,571269,179239,578716,192229,138812,13049,67138056,6851894,"1213116,777","5,648","0,114",N
IV Q 2016,PLN,574785,188445,604636,180408,131491,13460,68792787,6941205,"1213116,777","5,722","0,108",N
I Q 2015,PLN,582940,177814,551459,201845,162569,11912,64054225,5842410,"1213116,777","4,816","0,134",N
II Q 2015,PLN,567015,173169,539707,213125,165238,12525,68876823,6023308,"1213116,777","4,965","0,136",N
III Q 2015,PLN,586479,176385,546999,205865,165675,12603,65106135,6146690,"1213116,777","5,067","0,137",N
IV Q 2015,PLN,576771,168912,542762,66672,53043,13395,66235256,6443165,"1213116,777","5,311","0,044",N
I Q 2014,PLN,630950,174839,565196,203397,156448,13600,57886614,5514347,"1213116,777","4,546","0,129",N
II Q 2014,PLN,658396,184587,582191,213890,163616,13136,59230923,5434958,"1213116,777","4,480","0,135",N
III Q 2014,PLN,673494,171809,573873,223690,173184,13082,60658262,5655999,"1213116,777","4,662","0,143",N
IV Q 2014,PLN,620379,164086,547666,197482,157672,15508,60740482,5765479,"1213116,777","4,753","0,130",N
I Q 2013,PLN,712141,166995,476690,150719,120024,14398,56604429,4953572,"1213116,777","4,083","0,099",N
II Q 2013,PLN,680582,185879,505404,168086,134203,14495,57136929,5000129,"1213116,777","4,122","0,111",N
III Q 2013,PLN,634396,169452,501830,175899,138535,12882,58101526,5197274,"1213116,777","4,284","0,114",N
IV Q 2013,PLN,645051,175274,531640,185859,143033,12557,57016715,5363133,"1213116,777","4,421","0,118",N
I Q 2012,PLN,762603,156518,459185,140297,110107,14063,50732215,4537476,"1213116,777","3,740","0,091",N
II Q 2012,PLN,761759,173334,490478,139151,111071,14043,51506506,4655653,"1213116,777","3,838","0,092",N
III Q 2012,PLN,794814,163500,488393,154543,125138,13562,52256672,4674708,"1213116,777","3,853","0,103",N
IV Q 2012,PLN,801209,162314,513000,161963,125865,13720,52742499,4824170,"1213116,777","3,977","0,104",N
I Q 2011,PLN,612440,165191,441213,129410,101172,17305,45962862,4008597,"1213116,777","3,304","0,083",N
II Q 2011,PLN,659527,166402,480826,147315,115250,16858,48339959,4134739,"1213116,777","3,408","0,095",N
III Q 2011,PLN,707980,161052,492819,157134,124973,15698,50012340,4434489,"1213116,777","3,655","0,103",N
IV Q 2011,PLN,739973,154285,486890,157197,125069,14972,50838099,4586245,"1213116,777","3,781","0,103",N
I Q 2010,PLN,575840,161899,421743,85485,68100,19428,45278461,3912699,"1213116,777","3,225","0,056",N
II Q 2010,PLN,590530,153016,403710,87659,69518,18976,46317048,3970486,"1213116,777","3,273","0,057",N
III Q 2010,PLN,588187,149983,418738,93260,76273,18272,44796929,4022001,"1213116,777","3,315","0,063",N
IV Q 2010,PLN,605412,160384,470197,141398,112106,17945,46984418,4090972,"1213116,777","3,372","0,092",N
