kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,70561,28667,29670,24072,1380,30047,271395,188269,"3512,885","6,853","53,594",N
I Q 2023,PLN,55133,23942,24414,19606,1810,25752,258806,207876,"3512,885","5,581","59,175",N
II Q 2023,PLN,56977,24815,26018,21043,3092,27907,287029,182654,"3512,885","5,990","51,996",N
III Q 2023,PLN,57457,25134,25794,20894,3971,29105,252397,203548,"3512,885","5,948","57,943",N
IV Q 2021,PLN,68548,35192,35161,28469,1341,36533,259564,206771,"3512,885","8,104","58,861",N
I Q 2022,PLN,49579,23327,23385,18916,1319,24646,274927,225687,"3512,885","5,385","64,246",N
II Q 2022,PLN,62034,32669,32984,26685,1337,34006,189714,141716,"3512,885","7,596","40,342",N
III Q 2022,PLN,61214,27283,27778,22481,1335,28618,212708,164197,"3512,885","6,400","46,741",N
IV Q 2020,PLN,55874,31916,31903,25778,1428,33344,209068,162569,"3512,885","7,338","46,278",N
I Q 2021,PLN,60411,35824,35664,28000,1335,37159,239109,190569,"3512,885","7,971","54,249",N
II Q 2021,PLN,71102,35581,33649,27763,1321,36902,209718,147547,"3512,885","7,903","42,002",N
III Q 2021,PLN,67154,39351,39326,30754,1355,40706,237530,178302,"3512,885","8,755","50,756",N
IV Q 2019,PLN,43518,20240,20120,16258,-303,19937,189791,132185,"3572,885","4,550","36,997",N
I Q 2020,PLN,38361,19411,19465,15759,1498,20909,188326,135613,"3572,885","4,411","37,956",N
II Q 2020,PLN,33325,13198,13154,10699,1499,14697,160216,110304,"3572,885","2,994","30,873",N
III Q 2020,PLN,50897,32657,32595,26490,1500,34157,185192,136795,"3572,885","7,414","38,287",N
IV Q 2018,PLN,31022,11777,11531,9345,2068,13845,170999,109318,"3611,385","2,588","30,270",N
I Q 2019,PLN,26995,8876,8663,7018,2131,11007,181336,116335,"3611,385","1,943","32,213",N
II Q 2019,PLN,27787,8343,8175,6570,2136,10479,182504,113222,"3611,385","1,819","31,352",N
