kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,143,-6489,-5908,-5908,171,-6318,138061,126448,"14030,000","-0,421","9,013",N
I Q 2023,PLN,977,-4246,-3237,-3237,431,-3815,132317,123210,"14060,000","-0,230","8,763",N
II Q 2023,PLN,19,-5630,-4123,-4123,446,-5184,127292,119084,"14060,000","-0,293","8,470",N
III Q 2023,PLN,237,-5141,-4145,-4145,457,-4684,175449,164043,"16836,000","-0,246","9,744",N
IV Q 2021,PLN,510,-6812,-6809,-6809,123,-6689,151591,141144,"13951,571","-0,488","10,117",N
I Q 2022,PLN,984,-3263,-3261,-3261,359,-2904,147645,138004,"14021,571","-0,233","9,842",N
II Q 2022,PLN,259,-4148,-3799,-3799,390,-3758,142306,134210,"14021,571","-0,271","9,572",N
III Q 2022,PLN,227,-3087,-2296,-2296,394,-2693,140795,131916,"14030,000","-0,164","9,402",N
IV Q 2020,PLN,123572,75919,75741,70049,59,75978,157187,147093,"13600,000","5,151","10,816",N
I Q 2021,PLN,203,-2359,-2140,-2140,51,-2308,154368,145608,"13915,001","-0,154","10,464",N
II Q 2021,PLN,258,-2669,-2809,-2809,54,-2615,152533,142797,"13915,001","-0,202","10,262",N
III Q 2021,PLN,197,-1924,-1878,-1878,71,-1853,149397,141424,"13951,571","-0,135","10,137",N
IV Q 2019,PLN,2012,-1447,-1293,-1293,56,-1391,85687,79130,"13670,000","-0,095","5,789",N
I Q 2020,PLN,376,-937,-872,-872,55,-882,83703,78278,"13670,000","-0,064","5,726",N
II Q 2020,PLN,555,-513,-464,-464,55,-458,84108,77801,"13670,000","-0,034","5,691",N
III Q 2020,PLN,406,-765,-751,-751,48,-717,81912,77042,"13670,000","-0,055","5,636",N
IV Q 2018,PLN,-2,-2021,-1811,-1811,21,-2000,86016,81892,"13670,000","-0,132","5,991",N
I Q 2019,PLN,1,-1445,-1246,-1246,64,-1381,86929,81001,"13670,000","-0,091","5,925",N
II Q 2019,PLN,0,-938,-764,-764,54,-884,85972,80583,"13670,000","-0,056","5,895",N
III Q 2019,PLN,1,-996,-863,-863,62,-934,85127,80081,"13670,000","-0,063","5,858",N
IV Q 2017,PLN,2,-1615,-1576,-1576,21,-1594,34569,29722,"11670,000","-0,135","2,547",N
I Q 2018,PLN,1,-588,-560,-560,8,-580,32159,29504,"11670,000","-0,048","2,528",N
II Q 2018,PLN,2,-1557,-1387,-1387,24,-1533,87167,83702,"13670,000","-0,101","6,123",N
III Q 2018,PLN,2,-955,-691,-691,14,-941,84310,83358,"13670,000","-0,051","6,098",N
IV Q 2016,PLN,1,-1765,-1762,-1762,11,-1754,15515,13007,"11670,000","-0,151","1,115",N
I Q 2017,PLN,2,-476,-473,-473,22,-454,32051,30473,"11670,000","-0,041","2,611",N
II Q 2017,PLN,0,-370,-288,-288,16,-354,32098,30182,"11670,000","-0,025","2,586",N
III Q 2017,PLN,3,-116,-63,-63,9,-107,32538,30130,"11670,000","-0,005","2,582",N
IV Q 2015,PLN,0,0,0,0,0,0,16521,15428,"11670,000","0,000","1,322",N
II Q 2016,PLN,0,0,0,0,0,0,16292,14819,"11670,000","0,000","1,270",N
III Q 2016,PLN,1,-58,-52,-52,12,-46,16952,14765,"11670,000","-0,004","1,265",N
