kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,12843,2539,2430,1832,1003,3542,50110,29806,"3130,749","0,585","9,520",N
I Q 2023,PLN,16401,3140,3107,2481,1034,4174,57658,32286,"3130,749","0,792","10,313",N
II Q 2023,PLN,23151,6638,6604,5287,1089,7727,68747,37573,"3130,749","1,689","12,001",N
III Q 2023,PLN,13743,2732,2712,2175,1088,3820,64490,40147,"3130,749","0,695","12,823",N
IV Q 2021,PLN,10446,1921,1816,1588,850,2771,42035,25625,"3130,749","0,507","8,185",N
I Q 2022,PLN,7093,-189,-255,-357,902,713,41617,25269,"3130,749","-0,114","8,071",N
II Q 2022,PLN,9780,951,885,808,917,1868,44733,26096,"3130,749","0,258","8,335",N
III Q 2022,PLN,10735,1510,1330,997,964,2474,47328,27164,"3130,749","0,318","8,677",N
IV Q 2020,PLN,10465,-605,-709,-109,771,166,42150,23440,"2800,598","-0,039","8,370",N
I Q 2021,PLN,6694,115,80,-61,820,935,42102,23378,"2800,598","-0,022","8,348",N
II Q 2021,PLN,8981,918,936,56,826,1744,43195,22597,"2800,598","0,020","8,069",N
III Q 2021,PLN,9551,1119,1243,894,834,1953,42823,24042,"2800,598","0,319","8,585",N
IV Q 2019,PLN,10242,2466,2402,2896,756,3222,39296,23045,"2800,598","1,034","8,229",N
I Q 2020,PLN,4625,-524,-587,-1088,753,229,38110,21944,"2800,598","-0,388","7,835",N
II Q 2020,PLN,6768,1307,1288,1319,763,2070,39997,23276,"2800,598","0,471","8,311",N
III Q 2020,PLN,6394,447,386,281,755,1202,40516,23555,"2800,598","0,100","8,411",N
IV Q 2018,PLN,9360,-292,-263,-82,708,416,39927,23167,"2800,598","-0,029","8,272",N
I Q 2019,PLN,5466,-194,-261,-369,736,542,42576,22780,"2800,598","-0,132","8,134",N
II Q 2019,PLN,5902,-725,-783,-868,733,8,41320,21906,"2800,598","-0,310","7,822",N
III Q 2019,PLN,4960,-797,-902,-964,744,-53,40460,20931,"2800,598","-0,344","7,474",N
IV Q 2017,PLN,10988,1543,1524,1544,742,2285,42899,23897,"2800,598","0,551","8,533",N
I Q 2018,PLN,5184,-933,-966,-969,776,-157,41438,22901,"2800,598","-0,346","8,177",N
II Q 2018,PLN,8703,317,199,389,764,1081,42828,23281,"2800,598","0,139","8,313",N
III Q 2018,PLN,6573,233,231,-29,759,992,40983,23246,"2800,598","-0,010","8,300",N
IV Q 2016,PLN,14164,1690,1755,1677,740,2430,43349,23852,"2800,598","0,599","8,517",N
I Q 2017,PLN,5513,-536,-516,-594,773,237,41319,23206,"2800,598","-0,212","8,286",N
II Q 2017,PLN,7012,-234,-262,-393,753,519,39131,22812,"2800,598","-0,140","8,145",N
III Q 2017,PLN,6679,126,84,63,747,873,39665,22870,"2800,598","0,022","8,166",N
IV Q 2015,PLN,11701,880,802,563,702,1582,42211,22936,"2913,489","0,193","7,872",N
I Q 2016,PLN,5442,-345,-384,-426,710,365,39495,22510,"2913,489","-0,146","7,726",N
II Q 2016,PLN,6440,92,5,-63,724,816,39291,22282,"2913,489","-0,022","7,648",N
III Q 2016,PLN,5894,-26,-33,-61,748,722,39353,22193,"2800,598","-0,022","7,924",N
IV Q 2014,PLN,8878,520,438,659,897,1417,40608,22182,"2913,489","0,226","7,614",N
I Q 2015,PLN,4659,-733,-788,-761,695,-38,39702,21421,"2913,489","-0,261","7,352",N
II Q 2015,PLN,7476,961,907,737,688,1649,39801,22158,"2913,489","0,253","7,605",N
III Q 2015,PLN,6318,374,323,213,689,1063,39511,22371,"2913,489","0,073","7,678",N
IV Q 2013,PLN,8463,-214,-247,444,838,624,41024,21416,"2913,489","0,152","7,351",N
I Q 2014,PLN,5364,-48,-116,-37,883,835,38651,21402,"2913,489","-0,013","7,346",N
II Q 2014,PLN,7079,542,481,213,893,1435,39558,21394,"2913,489","0,073","7,343",N
III Q 2014,PLN,5483,457,355,173,903,1360,38493,21859,"2913,489","0,059","7,503",N
IV Q 2012,PLN,9720,170,53,-46,2234,2404,37027,23085,"2913,489","-0,016","7,923",N
I Q 2013,PLN,3935,-1710,-1822,-1708,830,-880,34704,21277,"2913,489","-0,586","7,303",N
II Q 2013,PLN,5665,-279,-381,-449,825,546,33266,21340,"2913,489","-0,154","7,325",N
III Q 2013,PLN,4129,-1153,-1165,-1210,816,-337,33814,20130,"2913,489","-0,415","6,909",N
IV Q 2011,PLN,9304,1342,1324,1340,283,1625,38085,24907,"2913,489","0,460","8,549",N
I Q 2012,PLN,3224,-1055,-932,-884,334,-721,36365,23811,"2913,489","-0,303","8,173",N
II Q 2012,PLN,7381,622,522,521,322,944,37702,24046,"2913,489","0,179","8,253",N
III Q 2012,PLN,4017,-726,-779,-771,323,-403,35625,23162,"2913,489","-0,265","7,950",N
IV Q 2010,PLN,18918,4085,3910,3465,378,4463,54384,25647,"2913,489","1,189","8,803",N
I Q 2011,PLN,6745,-783,-883,-765,347,-436,52404,24989,"2913,489","-0,263","8,577",N
II Q 2011,PLN,7078,-1261,-1363,-1298,372,-889,48811,23690,"2913,489","-0,446","8,131",N
III Q 2011,PLN,5179,-1468,-99,340,355,-1113,0,0,"2913,489","0,117","0,000",N
IV Q 2009,PLN,19666,2028,2165,2374,422,2450,56628,26294,"2913,489","0,815","9,025",N
I Q 2010,PLN,7312,-1948,-1967,-1836,390,-1558,50607,24301,"2913,489","-0,630","8,341",N
II Q 2010,PLN,6864,-606,-861,-871,442,-164,49875,23562,"2913,489","-0,299","8,087",N
III Q 2010,PLN,7800,224,221,253,403,627,0,0,"2913,489","0,087","0,000",N
IV Q 2008,PLN,19614,3999,3192,2877,336,4335,53165,22409,"2913,489","0,987","7,691",N
I Q 2009,PLN,8189,336,-100,118,361,697,54952,26811,"2913,489","0,041","9,202",N
II Q 2009,PLN,6982,-1885,-1951,-1736,369,-1516,51249,24035,"2913,489","-0,596","8,250",N
III Q 2009,PLN,7761,-569,-446,-270,266,-303,0,0,"2913,489","-0,093","0,000",N
IV Q 2007,PLN,16390,1397,1656,1308,391,1788,45216,20251,"2913,489","0,449","6,951",N
I Q 2008,PLN,8794,141,203,111,333,474,45073,20364,"2913,489","0,038","6,990",N
II Q 2008,PLN,9960,612,731,603,358,970,44827,20964,"2913,489","0,207","7,195",N
III Q 2008,PLN,8435,-159,-248,-367,354,195,46352,20597,"2913,489","-0,126","7,070",N
IV Q 2006,PLN,8807,-3716,-3439,-3471,424,-3292,43310,18966,"2913,489","-1,191","6,510",N
I Q 2007,PLN,9033,2397,2356,1466,441,2838,43316,20449,"2913,489","0,503","7,019",N
II Q 2007,PLN,8122,-1760,-1714,-1840,363,-1397,41939,18592,"2913,489","-0,632","6,381",N
III Q 2007,PLN,7918,416,379,374,365,781,42519,18967,"2913,489","0,128","6,510",N
IV Q 2005,PLN,7192,560,532,557,1480,2040,42316,26369,"2913,489","0,191","9,051",N
I Q 2006,PLN,4039,-941,-806,-796,345,-596,42888,25358,"2913,489","-0,273","8,704",N
II Q 2006,PLN,4142,-362,-373,-379,479,117,41973,25194,"2913,489","-0,130","8,647",N
III Q 2006,PLN,3896,-397,-382,-338,379,-18,0,0,"2913,489","-0,116","0,000",N
IV Q 2004,PLN,7933,595,609,504,64,659,42816,26347,"2913,489","0,173","9,043",N
I Q 2005,PLN,3146,34,29,-3,52,86,43398,26334,"2913,489","-0,001","9,039",N
II Q 2005,PLN,4627,375,352,283,53,428,44795,26606,"2913,489","0,097","9,132",N
III Q 2005,PLN,2570,-520,-509,-443,53,-467,45998,26163,"2913,489","-0,152","8,980",N
IV Q 2003,PLN,10531,1878,1848,1632,45,1923,42556,26094,"2934,808","0,556","8,891",N
I Q 2004,PLN,4081,33,30,26,34,67,42657,25798,"2934,808","0,009","8,790",N
II Q 2004,PLN,4033,60,354,315,56,116,42570,26583,"2934,808","0,107","9,058",N
III Q 2004,PLN,3564,251,347,324,91,342,42680,26898,"2934,808","0,110","9,165",N
IV Q 2002,PLN,8977,-1484,-3010,-2433,52,-1432,43125,26396,"3123,333","-0,779","8,451",N
I Q 2003,PLN,3837,-77,89,31,49,-28,41273,25793,"3123,333","0,010","8,258",N
II Q 2003,PLN,3882,-1196,-1057,-985,56,-1140,38983,23302,"3123,333","-0,315","7,461",N
III Q 2003,PLN,4321,789,1097,1083,48,837,39102,23939,"2934,808","0,369","8,157",N
IV Q 2001,PLN,28270,-9418,-11127,-6147,321,-9097,99716,25896,"0,000",,,N
I Q 2002,PLN,6868,1591,2011,1859,59,1650,48988,29120,"3163,246","0,588","9,206",N
II Q 2002,PLN,5770,-181,93,89,45,-136,48495,29582,"3163,246","0,028","9,352",N
III Q 2002,PLN,4021,-402,-26,31,52,-350,45866,29044,"3123,333","0,010","9,299",N
IV Q 2000,PLN,28866,-4668,-5433,-2408,451,-4217,128447,31825,"0,000",,,N
I Q 2001,PLN,20732,-2366,-3157,-457,451,-1915,127680,31582,"0,000",,,N
II Q 2001,PLN,32234,-1113,-1681,-692,166,-947,123614,30189,"0,000",,,N
III Q 2001,PLN,70978,2567,2725,886,360,2927,113205,30225,"0,000",,,N
IV Q 1999,PLN,20595,1253,1551,931,280,1533,57635,35318,"0,000",,,N
I Q 2000,PLN,9762,410,985,736,240,650,65431,35651,"0,000",,,N
II Q 2000,PLN,56176,-4546,-5941,-1805,696,-3850,165060,33787,"0,000",,,N
III Q 2000,PLN,83103,4749,3358,946,334,5083,154210,34709,"0,000",,,N
 Q 0000,PLN,7933,595,609,504,141,736,43592,27260,"2851,896","0,177","9,559",N
I Q 1999,PLN,5753,1603,2031,1362,116,1719,45738,32087,"0,000",,,N
II Q 1999,PLN,7660,1225,1602,1079,129,1354,48590,33167,"0,000",,,N
III Q 1999,,6311,1438,1746,1181,126,1564,49542,34345,"0,000",,,N
