kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,-32,3115,3184,3053,-3,3112,19199,7084,"16747,883","0,182","0,423",N
I Q 2023,PLN,29,-1845,-1845,-1825,-9,-1854,21745,9072,"20097,459","-0,091","0,451",N
II Q 2023,PLN,-26,-1648,-1649,-1590,-9,-1657,19841,7482,"20097,459","-0,079","0,372",N
III Q 2023,PLN,6,-1487,-1488,-1455,-9,-1496,19678,7345,"20097,459","-0,072","0,365",N
IV Q 2021,PLN,414,-6724,-6812,-6303,17,-6707,20302,7734,"16747,883","-0,376","0,462",N
I Q 2022,PLN,44,-1679,-1689,-1648,28,-1651,18458,6087,"16747,883","-0,098","0,363",N
II Q 2022,PLN,17,-867,-946,-915,19,-848,17675,5099,"16747,883","-0,055","0,304",N
III Q 2022,PLN,111,-1354,-1333,-1329,18,-1336,16473,3843,"16747,883","-0,079","0,229",N
IV Q 2020,PLN,346,-4323,-4332,-4220,43,-4280,30037,17651,"16747,883","-0,252","1,054",N
I Q 2021,PLN,5,-1072,-1080,-1082,13,-1059,28628,16575,"16747,883","-0,065","0,990",N
II Q 2021,PLN,78,-1645,-1653,-1497,20,-1625,27537,15116,"16747,883","-0,089","0,903",N
III Q 2021,PLN,-4,-1146,-1150,-1124,13,-1133,26379,13992,"16747,883","-0,067","0,835",N
IV Q 2019,PLN,14,-845,-833,-837,181,-664,26376,12264,"13956,570","-0,060","0,879",N
I Q 2020,PLN,2,-446,-431,-431,10,-436,26452,11836,"13956,570","-0,031","0,848",N
II Q 2020,PLN,136,-354,-351,-401,94,-260,26168,11476,"13956,570","-0,029","0,822",N
III Q 2020,PLN,204,-129,-130,-138,10,-119,26585,11315,"13956,570","-0,010","0,811",N
IV Q 2018,PLN,106,-1880,-1894,-1797,13,-1867,21416,12559,"12970,020","-0,139","0,968",N
I Q 2019,PLN,212,-129,-133,-133,13,-116,27076,14087,"13956,570","-0,009","1,009",N
II Q 2019,PLN,6,-626,-629,-610,11,-615,25552,12891,"13956,570","-0,044","0,924",N
III Q 2019,PLN,120,-108,57,43,10,-98,26972,13525,"13956,570","0,003","0,969",N
IV Q 2017,PLN,1,-774,-781,-763,28,-746,22605,12790,"12970,020","-0,059","0,986",N
I Q 2018,PLN,4,-819,-823,-823,11,-808,23042,11975,"12970,020","-0,063","0,923",N
II Q 2018,PLN,47,-872,-879,-831,18,-854,21421,11136,"12970,020","-0,064","0,859",N
III Q 2018,PLN,-47,872,879,831,13,885,22228,10606,"12970,020","0,064","0,818",N
IV Q 2016,PLN,0,0,0,0,0,0,19453,11356,"12100,020","0,000","0,939",N
I Q 2017,PLN,40,-464,-469,-469,10,-454,16665,11289,"12100,020","-0,039","0,933",N
II Q 2017,PLN,0,-422,-425,-373,5,-417,15222,10643,"12100,020","-0,031","0,880",N
III Q 2017,PLN,0,-300,-306,-306,12,-288,16861,10562,"12100,020","-0,025","0,873",N
IV Q 2015,PLN,0,0,0,0,0,0,5783,5278,"12100,020","0,000","0,436",N
IV Q 2015,,0,0,0,0,0,0,5783,5278,"12100,020","0,000","0,436",N
