kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,2952194,29070,21005,13130,27491,56561,4839620,880239,"4444,974","2,954","198,030",N
I Q 2023,PLN,3001951,69948,65048,47339,27763,97711,4903747,951896,"4496,549","10,528","211,695",N
II Q 2023,PLN,2891214,57709,32752,20980,27589,85298,4963913,905572,"4405,849","4,762","205,539",N
III Q 2023,PLN,2967623,82457,58790,45085,28462,110919,5285973,952365,"4407,849","10,228","216,061",N
IV Q 2021,PLN,2681460,38011,38118,24949,22050,60061,4117168,842458,"4431,987","5,629","190,086",N
I Q 2022,PLN,2816480,84866,79980,60435,22393,107259,4230242,916200,"4469,912","13,520","204,970",N
II Q 2022,PLN,2654844,75343,65019,37942,22984,98327,4297418,835184,"4404,649","8,614","189,614",N
III Q 2022,PLN,2809022,52049,35947,24848,25049,77098,4557263,867787,"4419,949","5,622","196,334",N
IV Q 2020,PLN,2392574,43058,34339,18113,17387,60445,3641707,766357,"0,000",,,N
I Q 2021,PLN,2299404,64653,63663,49868,18609,83262,3614562,834558,"4453,999","11,196","187,373",N
II Q 2021,PLN,2331112,36594,47593,35953,19064,55658,3618858,808518,"4419,262","8,136","182,953",N
III Q 2021,PLN,2552282,58931,52859,39885,19809,78740,4077879,847691,"4425,212","9,013","191,559",N
IV Q 2019,PLN,2143392,33229,33285,24241,14444,47673,3451219,642230,"4562,082","5,314","140,776",N
I Q 2020,PLN,2637443,69966,63796,49338,14824,84790,3875726,708561,"4643,617","10,625","152,588",N
II Q 2020,PLN,1908902,40171,39393,29740,16086,56257,3349853,717820,"4366,299","6,811","164,400",N
III Q 2020,PLN,2305968,58876,55920,44600,16325,75201,3532419,760953,"4366,299","10,215","174,279",N
IV Q 2018,PLN,1950446,33938,31214,22885,11911,45849,3221528,637638,"4532,787","5,049","140,672",N
I Q 2019,PLN,2137432,47109,46843,36173,13422,60531,3217013,673374,"4536,537","7,974","148,433",N
II Q 2019,PLN,1986487,37798,38187,28801,13779,51577,3199929,630639,"4536,537","6,349","139,013",N
III Q 2019,PLN,2005054,38555,36228,28049,13965,52520,3262343,615817,"4547,962","6,167","135,405",N
IV Q 2017,PLN,1897665,38627,39391,30297,8412,47039,2909958,645554,"4677,734","6,477","138,006",N
I Q 2018,PLN,2159233,41258,39857,31152,12331,53589,3035896,651912,"4561,716","6,829","142,909",N
II Q 2018,PLN,1776462,26263,22272,15627,12359,38622,3030186,642450,"4639,266","3,368","138,481",N
III Q 2018,PLN,1867122,31013,32580,25607,12252,43265,3072547,615660,"4628,295","5,533","133,021",N
IV Q 2016,PLN,1845697,30604,33593,26865,7837,38441,2690446,577867,"4410,034","6,092","131,035",N
I Q 2017,PLN,1999058,39179,39677,30693,8021,47200,2644081,611430,"4663,164","6,582","131,119",N
II Q 2017,PLN,1778809,16104,16556,11806,8167,24271,2706959,595832,"4663,164","2,532","127,774",N
III Q 2017,PLN,1809702,27837,28104,21701,8281,36118,2780288,619000,"4663,164","4,654","132,742",N
IV Q 2015,PLN,1714416,24658,28260,22876,7480,32138,2681376,517005,"4449,002","5,142","116,207",N
I Q 2016,PLN,1859144,45017,44326,35542,7328,52345,2626338,542689,"4514,032","7,874","120,223",N
II Q 2016,PLN,1674926,28947,28285,21623,7568,36515,2498934,533583,"4432,633","4,878","120,376",N
III Q 2016,PLN,1697427,34538,33987,27697,7833,42371,2572295,563934,"4456,553","6,215","126,540",N
IV Q 2014,PLN,1779689,19447,22692,34093,9193,28640,2566577,454995,"4553,765","7,487","99,916",N
I Q 2015,PLN,1884876,38815,38328,32076,7123,45938,2590597,474587,"4560,765","7,033","104,059",N
II Q 2015,PLN,1698078,25846,25460,21560,7346,33192,2433955,475055,"4560,765","4,727","104,161",N
III Q 2015,PLN,1648333,30072,29129,24772,7470,37542,2551355,500379,"4449,002","5,568","112,470",N
IV Q 2013,PLN,1409682,17067,16829,13126,6068,23135,1917666,405753,"4512,765","2,909","89,912",N
