kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,346943,2532,4317,4648,227,2759,379474,173557,"13850,000","0,336","12,531",N
I Q 2023,PLN,322301,9931,8239,6434,135,10066,448236,179991,"13850,000","0,465","12,996",N
II Q 2023,PLN,357202,2653,6889,5771,137,2790,421520,184814,"13850,000","0,417","13,344",N
III Q 2023,PLN,456247,15947,3323,2764,147,16094,649058,187278,"13850,000","0,200","13,522",N
IV Q 2021,PLN,409530,6774,5774,5420,229,7003,365397,159949,"13850,000","0,391","11,549",N
I Q 2022,PLN,301300,10451,7636,5250,232,10683,372969,165199,"13850,000","0,379","11,928",N
II Q 2022,PLN,293738,5220,3547,3864,203,5423,415225,166087,"13850,000","0,279","11,992",N
III Q 2022,PLN,303726,10777,4868,2741,184,10961,455228,168828,"13850,000","0,198","12,190",N
IV Q 2020,PLN,289164,3516,1772,1466,154,3670,273358,144081,"13850,000","0,106","10,403",N
I Q 2021,PLN,235588,6227,5502,4341,183,6410,311965,148422,"13850,000","0,313","10,716",N
II Q 2021,PLN,225619,4346,5144,4066,181,4527,322363,152488,"13850,000","0,294","11,010",N
III Q 2021,PLN,281537,5954,4849,4081,185,6139,301813,154535,"13850,000","0,295","11,158",N
IV Q 2019,PLN,175715,1214,978,1204,118,1332,187582,136601,"13850,000","0,087","9,863",N
I Q 2020,PLN,122019,2614,2242,1736,131,2745,191949,138337,"13850,000","0,125","9,988",N
II Q 2020,PLN,167419,3352,3001,2380,122,3474,206305,141351,"13850,000","0,172","10,206",N
III Q 2020,PLN,212383,4106,3650,2965,136,4242,248416,143368,"13850,000","0,214","10,351",N
IV Q 2018,PLN,139243,577,951,793,145,722,178078,133264,"13850,000","0,057","9,622",N
I Q 2019,PLN,96892,2017,1708,1446,121,2138,175624,134710,"13850,000","0,104","9,726",N
II Q 2019,PLN,137853,1570,1502,1164,119,1689,181588,135873,"13850,000","0,084","9,810",N
III Q 2019,PLN,128624,1296,1607,882,119,1415,206486,135261,"13850,000","0,064","9,766",N
IV Q 2017,PLN,146651,544,419,475,130,674,175569,130387,"13850,000","0,034","9,414",N
I Q 2018,PLN,66272,600,707,579,131,731,164498,130966,"13850,000","0,042","9,456",N
II Q 2018,PLN,74315,3301,3642,3183,144,3445,180653,133890,"13850,000","0,230","9,667",N
III Q 2018,PLN,105717,1037,348,133,142,1179,193158,132384,"13850,000","0,010","9,558",N
IV Q 2016,PLN,178869,2419,150,242,170,2589,242115,128774,"13850,000","0,017","9,298",N
I Q 2017,PLN,122920,-1210,642,485,130,-1080,229233,129259,"13850,000","0,035","9,333",N
II Q 2017,PLN,88314,772,476,324,136,908,206157,129583,"13850,000","0,023","9,356",N
III Q 2017,PLN,105943,942,443,329,134,1076,185912,129912,"13850,000","0,024","9,380",N
IV Q 2015,PLN,228258,4314,3721,3091,197,4511,297869,130452,"13850,000","0,223","9,419",N
I Q 2016,PLN,132167,1583,1627,1260,166,1749,237705,131712,"13850,000","0,091","9,510",N
II Q 2016,PLN,142481,2811,458,418,155,2966,263586,127751,"13850,000","0,030","9,224",N
III Q 2016,PLN,141874,325,1849,1491,179,504,295447,129242,"13850,000","0,108","9,332",N
IV Q 2014,PLN,0,0,0,0,0,0,240936,126768,"13850,000","0,000","9,153",N
I Q 2015,PLN,169492,-1019,1320,1078,202,-817,270405,127846,"13850,000","0,078","9,231",N
II Q 2015,PLN,166060,2049,75,336,203,2252,253265,128182,"13850,000","0,024","9,255",N
III Q 2015,PLN,167127,3301,1634,1232,192,3493,227275,127361,"13850,000","0,089","9,196",N
II Q 2011,PLN,122198,145,202,154,203,348,181495,120384,"13850,000","0,011","8,692",N
III Q 2011,PLN,137064,1076,-1360,-1093,186,1262,0,0,"13850,000","-0,079","0,000",N
IV Q 2011,PLN,262137,4039,2073,1535,197,4236,178759,120797,"13850,000","0,111","8,722",N
I Q 2012,PLN,152621,-272,479,384,175,-97,178742,121181,"13850,000","0,028","8,750",N
II Q 2010,PLN,129546,-2678,-5290,-5608,277,-2401,181410,113403,"13850,000","-0,405","8,188",N
III Q 2010,PLN,118333,-1603,716,739,209,-1394,0,0,"13850,000","0,053","0,000",N
