kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
II Q 2003,PLN,18978,1521,968,583,510,2031,27872,7027,"8263,665","0,071","0,850",N
III Q 2003,PLN,15374,1091,1258,1063,373,1464,27453,8086,"8263,665","0,129","0,979",N
IV Q 2003,PLN,13798,458,638,658,424,882,26397,8552,"8263,665","0,080","1,035",N
I Q 2004,PLN,18522,1573,1427,1466,459,2032,29865,10023,"8263,665","0,177","1,213",N
II Q 2002,PLN,19885,-3186,9463,10417,489,-2697,33840,5860,"8263,665","1,261","0,709",N
III Q 2002,PLN,19334,1217,954,706,478,1695,35465,6566,"8263,665","0,085","0,795",N
IV Q 2002,PLN,18580,2345,949,835,414,2759,33830,5603,"8263,665","0,101","0,678",N
I Q 2003,PLN,18228,1112,906,869,529,1641,35158,6435,"8263,665","0,105","0,779",N
II Q 2001,PLN,20857,656,1131,527,1063,1719,50572,-5291,"8263,665","0,064","-0,640",N
III Q 2001,PLN,21778,249,-3507,-3647,777,1026,49934,3887,"8263,665","-0,441","0,470",N
IV Q 2001,PLN,17109,-10118,-8670,-7136,790,-9328,36328,-3249,"8263,665","-0,864","-0,393",N
I Q 2002,PLN,16838,-1064,-943,-989,508,-556,33647,-6836,"8263,665","-0,120","-0,827",N
II Q 2000,PLN,26616,-4413,-6677,-3735,1105,-3308,86457,9698,"3930,665","-0,950","2,467",N
III Q 2000,PLN,24070,-3419,-4636,-5400,911,-2508,73361,4298,"3930,665","-1,374","1,093",N
IV Q 2000,PLN,21692,-9754,-12115,-11857,492,-9262,64967,-7559,"3930,665","-3,017","-1,923",N
I Q 2001,PLN,24081,2643,1355,916,1063,3706,59236,-5287,"3930,665","0,233","-1,345",N
II Q 1999,PLN,24389,-943,-1844,-1973,781,-162,85344,18017,"3930,665","-0,502","4,584",N
III Q 1999,PLN,22732,-315,-1059,-899,536,221,83905,17118,"3930,665","-0,229","4,355",N
IV Q 1999,PLN,21497,-616,-2759,-2576,795,179,84361,14472,"3930,665","-0,655","3,682",N
I Q 2000,PLN,24690,431,-127,-44,757,1188,80144,14428,"3930,665","-0,011","3,671",N
 Q 0000,PLN,13798,458,638,658,1,459,25625,8529,"8264,000","0,080","1,032",N
II Q 1998,PLN,0,0,0,0,0,0,73837,21342,"3930,665","0,000","5,430",N
IV Q 1998,PLN,0,0,0,0,0,0,80117,22152,"3930,665","0,000","5,636",N
I Q 1999,,24165,549,590,420,254,803,82709,22572,"3930,665","0,107","5,743",N
