kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2021,PLN,25273,-114107,-124397,-124962,2022,-112085,120637,-116575,"12392,777","-10,083","-9,407",N
I Q 2022,PLN,8750,-3102,-6799,-6844,261,-2841,120859,-123418,"12392,777","-0,552","-9,959",N
II Q 2022,PLN,2826,-7414,-8971,-9017,257,-7157,119315,-132436,"12392,777","-0,728","-10,687",N
III Q 2022,PLN,2392,-2327,513,491,118,-2209,119944,-131944,"12392,777","0,040","-10,647",N
IV Q 2020,PLN,59783,-3603,-34291,-37021,2835,-768,242754,23649,"12392,777","-2,987","1,908",N
I Q 2021,PLN,41283,-1898,-2509,-2358,2666,768,239441,21291,"12392,777","-0,190","1,718",N
II Q 2021,PLN,31942,-2766,-3811,-6907,2258,-508,233769,14384,"12392,777","-0,557","1,161",N
III Q 2021,PLN,22393,-3319,-5168,-4584,2162,-1157,230819,9799,"12392,777","-0,370","0,791",N
IV Q 2019,PLN,78056,-149192,-153564,-160666,4982,-144210,278228,52518,"12392,777","-12,964","4,238",N
I Q 2020,PLN,68867,-4064,-5227,-4253,4475,411,275137,48171,"12392,777","-0,343","3,887",N
II Q 2020,PLN,47968,-14510,-14899,-15129,4832,-9678,260870,33137,"12392,777","-1,221","2,674",N
III Q 2020,PLN,43047,29002,28582,27859,1188,30190,282571,60894,"12392,777","2,248","4,914",N
IV Q 2018,PLN,88057,-153877,-157740,-146439,4636,-149241,447401,228237,"12392,777","-11,816","18,417",N
I Q 2019,PLN,84802,-5151,-5360,-4350,5674,523,456987,224166,"12392,777","-0,351","18,088",N
II Q 2019,PLN,88165,-3525,-5175,-5485,5432,1907,457720,218370,"12392,777","-0,443","17,621",N
III Q 2019,PLN,86651,-4054,-4643,-5215,5177,1123,451664,213162,"12392,777","-0,421","17,201",N
IV Q 2017,PLN,85246,-15663,-12709,-14125,5039,-10624,620569,369205,"12392,777","-1,140","29,792",N
I Q 2018,PLN,96474,2841,4455,4025,5094,7935,625131,373230,"12392,777","0,325","30,117",N
II Q 2018,PLN,95722,2000,3833,3521,5074,7074,619445,374771,"12392,777","0,284","30,241",N
III Q 2018,PLN,95269,968,519,328,4954,5922,610222,374804,"12392,777","0,026","30,244",N
IV Q 2016,PLN,82332,-76355,33481,23223,12577,-63778,631547,387615,"9059,444","2,563","42,786",N
I Q 2017,PLN,90100,1377,4110,3397,4929,6306,612835,368125,"12392,777","0,274","29,705",N
II Q 2017,PLN,90185,-193,13004,-9380,4941,4748,628289,381445,"12392,777","-0,757","30,780",N
III Q 2017,PLN,86124,-13852,1991,1935,4999,-8853,645707,383330,"12392,777","0,156","30,932",N
IV Q 2015,PLN,50633,-14760,-13193,6353,7090,-7670,635873,392507,"9059,444","0,701","43,326",N
