kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,266622,9182,3330,2140,5907,15089,578312,148473,"34750,050","0,062","4,273",N
I Q 2023,PLN,259038,7618,2363,2397,5410,13028,568127,150870,"34750,050","0,069","4,342",N
II Q 2023,PLN,255041,8271,1601,2690,5688,13959,572902,169273,"34750,050","0,077","4,871",N
III Q 2023,PLN,230356,4477,831,395,5641,10118,649158,169667,"34750,050","0,011","4,882",N
IV Q 2021,PLN,213445,7065,3739,3126,5018,12083,470218,115846,"34750,050","0,090","3,334",N
I Q 2022,PLN,260904,13252,10276,8785,5087,18339,494783,124631,"34750,050","0,253","3,586",N
II Q 2022,PLN,296496,28295,24167,20578,4387,32682,532635,131039,"34750,050","0,592","3,771",N
III Q 2022,PLN,291344,12018,3241,2002,5160,17178,596440,133041,"34750,050","0,058","3,829",N
IV Q 2020,PLN,162507,5665,2702,2561,3957,9622,370658,104519,"34750,050","0,074","3,008",N
I Q 2021,PLN,189773,6533,4997,4172,3994,10527,391291,108691,"34750,050","0,120","3,128",N
II Q 2021,PLN,176820,4390,3700,2832,4084,8474,393102,111821,"34750,050","0,081","3,218",N
III Q 2021,PLN,198358,4630,2615,2183,4205,8835,450984,114004,"34750,050","0,063","3,281",N
IV Q 2019,PLN,153339,2358,234,-309,3794,6152,351229,96985,"34750,050","-0,009","2,791",N
I Q 2020,PLN,200945,4194,3026,2768,3900,8094,354622,99753,"34750,050","0,080","2,871",N
II Q 2020,PLN,154336,3889,2066,1990,5012,8901,332303,99520,"34750,050","0,057","2,864",N
III Q 2020,PLN,168561,5082,3182,2008,4460,9542,368239,101528,"34750,050","0,058","2,922",N
IV Q 2018,PLN,142511,4968,4155,3414,3482,8450,337564,103938,"34750,050","0,098","2,991",N
I Q 2019,PLN,134587,847,-584,-907,3634,4481,314082,102922,"34750,050","-0,026","2,962",N
II Q 2019,PLN,123945,-3148,-4679,-4628,3664,516,324497,98294,"34750,050","-0,133","2,829",N
III Q 2019,PLN,144386,260,-918,-1000,3590,3850,343922,97294,"34750,050","-0,029","2,800",N
IV Q 2017,PLN,141003,4690,4482,2794,3333,8023,310696,103238,"34750,050","0,080","2,971",N
I Q 2018,PLN,128115,1767,642,426,3227,4994,296502,107734,"34750,050","0,012","3,100",N
II Q 2018,PLN,115704,-3339,-4923,-3759,3257,-82,293839,103975,"34750,050","-0,108","2,992",N
III Q 2018,PLN,126933,2356,920,619,3425,5781,320780,104594,"34750,050","0,018","3,010",N
IV Q 2016,PLN,126180,2723,1079,976,2844,5567,336769,109659,"34750,050","0,028","3,156",N
I Q 2017,PLN,119837,1172,85,-59,3262,4434,311989,109600,"34750,050","-0,002","3,154",N
