kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2019,PLN,806,-836,-4882,-5323,46,-790,14926,12140,"10452,000","-0,509","1,162",N
I Q 2020,PLN,128,-251,-887,-650,39,-212,14102,11486,"10452,000","-0,062","1,099",N
II Q 2020,PLN,93,-861,-630,-505,30,-831,13515,10786,"10452,000","-0,048","1,032",N
III Q 2020,PLN,85,-457,-542,-519,29,-428,12886,10267,"10452,000","-0,050","0,982",N
IV Q 2018,PLN,804,-1838,-2170,-2146,60,-1778,21006,17391,"10452,000","-0,205","1,664",N
I Q 2019,PLN,761,-469,-348,-401,60,-409,22983,19307,"10452,000","-0,038","1,847",N
II Q 2019,PLN,555,-716,-466,-491,52,-664,21383,18040,"10452,000","-0,047","1,726",N
III Q 2019,PLN,401,-520,-615,-565,48,-472,20674,17470,"10452,000","-0,054","1,671",N
IV Q 2017,PLN,1705,-3366,-1932,-2422,7,-3359,25131,21348,"10452,000","-0,232","2,042",N
I Q 2018,PLN,916,-273,-85,215,57,-216,25489,21858,"10452,000","0,021","2,091",N
II Q 2018,PLN,1004,-285,-341,-451,77,-208,24904,21189,"10452,000","-0,043","2,027",N
III Q 2018,PLN,814,-469,-592,-543,78,-391,24487,20862,"10452,000","-0,052","1,996",N
IV Q 2016,PLN,2508,-292,13,-197,74,-218,28904,24804,"10452,000","-0,019","2,373",N
I Q 2017,PLN,1797,-512,-224,-222,88,-424,29609,25468,"10452,000","-0,021","2,437",N
II Q 2017,PLN,1547,-903,-907,-906,87,-816,28776,24731,"10452,000","-0,087","2,366",N
III Q 2017,PLN,1285,-681,-390,-570,86,-595,27512,24057,"10452,000","-0,055","2,302",N
IV Q 2015,PLN,2872,-181,413,166,122,-59,29552,25765,"10452,000","0,016","2,465",N
I Q 2016,PLN,2275,-395,-613,-418,111,-284,28139,24250,"10452,000","-0,040","2,320",N
II Q 2016,PLN,2826,128,424,401,97,225,28006,24015,"10452,000","0,038","2,298",N
III Q 2016,PLN,2245,-191,472,333,88,-103,28901,24860,"10452,000","0,032","2,378",N
IV Q 2014,PLN,2894,-3,97,153,136,133,29839,27030,"10452,000","0,015","2,586",N
I Q 2015,PLN,2331,-160,340,148,126,-34,30269,27016,"10452,000","0,014","2,585",N
II Q 2015,PLN,2619,2,145,75,129,131,30822,26980,"10452,000","0,007","2,581",N
III Q 2015,PLN,2470,-134,159,105,127,-7,30669,26797,"10452,000","0,010","2,564",N
IV Q 2013,PLN,3080,-798,-903,-671,130,-668,28461,25897,"10452,000","-0,064","2,478",N
I Q 2014,PLN,2900,166,-59,194,133,299,28712,26148,"10452,000","0,019","2,502",N
II Q 2014,PLN,2821,261,810,695,115,376,29835,26923,"10452,000","0,066","2,576",N
III Q 2014,PLN,2787,-97,43,60,138,41,29813,26917,"10452,000","0,006","2,575",N
IV Q 2012,PLN,3052,-709,-505,-534,119,-590,28571,26280,"10452,000","-0,051","2,514",N
I Q 2013,PLN,2503,-783,-443,-428,119,-664,28193,25799,"10452,000","-0,041","2,468",N
II Q 2013,PLN,2610,-768,-497,-193,125,-643,28331,25740,"10452,000","-0,018","2,463",N
III Q 2013,PLN,2808,-509,-284,-289,129,-380,27657,25396,"10452,000","-0,028","2,430",N
IV Q 2011,PLN,3416,-701,-611,-614,109,-592,30194,27833,"10452,000","-0,059","2,663",N
I Q 2012,PLN,2598,-711,180,138,125,-586,30363,27986,"10452,000","0,013","2,678",N
II Q 2012,PLN,3058,-758,-941,-911,108,-650,29575,27121,"10452,000","-0,087","2,595",N
III Q 2012,PLN,2900,-661,-276,-313,111,-550,29306,26900,"10452,000","-0,030","2,574",N
IV Q 2010,PLN,3473,-1039,-1437,-1547,58,-981,15945,13924,"18664,286","-0,083","0,746",N
I Q 2011,PLN,2696,-284,-146,-53,66,-218,15698,13871,"5226,000","-0,010","2,654",N
II Q 2011,PLN,2765,-356,-483,-491,72,-284,15508,13413,"5226,000","-0,094","2,567",N
III Q 2011,PLN,2844,-597,-1514,-1320,93,-504,14282,12143,"5226,000","-0,253","2,324",N
IV Q 2009,PLN,-94237,3944,7296,-13875,-4051,-107,62267,25757,"18664,286","-0,743","1,380",N
I Q 2010,PLN,3210,-447,1224,978,55,-392,18438,16214,"18664,286","0,052","0,869",N
II Q 2010,PLN,2684,-429,-401,-389,58,-371,18005,15825,"18664,286","-0,021","0,848",N
III Q 2010,PLN,2541,-448,-349,-353,56,-392,17728,15472,"18664,286","-0,019","0,829",N
IV Q 2008,PLN,63872,-8814,-23557,-23253,12778,3964,148532,54904,"18664,286","-1,246","2,942",N
I Q 2009,PLN,47813,-824,-3679,-4267,1741,917,141162,50177,"18664,286","-0,229","2,688",N
II Q 2009,PLN,42404,-1722,-1199,-1174,1737,15,137466,49004,"18664,286","-0,063","2,626",N
III Q 2009,PLN,19198,-2992,-2693,-2796,794,-2198,73432,34510,"18664,286","-0,150","1,849",N
IV Q 2007,PLN,71755,709,417,119,1699,2408,183007,92677,"18664,286","0,006","4,965",N
I Q 2008,PLN,65974,48,-969,-1023,1836,1884,187960,91830,"18664,286","-0,055","4,920",N
II Q 2008,PLN,64910,-8165,-9132,-9155,1872,-6293,181048,83316,"18664,286","-0,491","4,464",N
III Q 2008,PLN,64872,-2735,-3123,-3216,1876,-859,175294,80132,"18664,286","-0,172","4,293",N
IV Q 2006,PLN,30052,696,555,374,537,1233,169759,88883,"18664,286","0,020","4,762",N
