kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,4246033,854967,3619088,1911081,1446350,155960,292628421,25144356,"262470,034","95,799","5,511",N
II Q 2023,PLN,4587755,886236,3891236,2145062,1693372,158000,287921312,25954446,"262470,034","98,885","6,452",N
III Q 2023,PLN,4651473,912791,3844851,2213807,1715626,152808,309934759,28323666,"262470,034","107,912","6,536",N
IV Q 2023,PLN,4604743,936006,3890825,2210050,1722652,167232,305723000,30329000,"262470,034","115,552","6,563",N
I Q 2022,PLN,2254139,836184,2824741,1243328,907165,176987,271885164,23482780,"262470,034","89,468","3,456",N
II Q 2022,PLN,3057527,866981,3262767,760546,467925,140114,277567994,21505404,"262470,034","81,935","1,783",N
III Q 2022,PLN,1355719,872750,1134112,-583963,-543583,160617,279562501,20937008,"262470,034","79,769","-2,071",N
IV Q 2022,PLN,4442640,863085,3946380,1462089,885493,138282,281139000,22763000,"262470,034","86,726","3,374",N
I Q 2021,PLN,1404779,736798,1990681,401549,245648,157083,247192314,25292519,"262470,034","96,363","0,936",N
II Q 2021,PLN,1364910,800788,2126403,795030,604780,160520,243093053,25553480,"262470,034","97,358","2,304",N
III Q 2021,PLN,1430228,842719,2122226,849206,630780,163726,247360779,24987358,"262470,034","95,201","2,403",N
IV Q 2021,PLN,1670439,849692,2299040,955835,693689,166889,250566605,23851429,"262470,034","90,873","2,643",N
I Q 2020,PLN,1717440,719266,2072554,334020,186898,123535,217359832,23769697,"262470,034","90,562","0,712",N
II Q 2020,PLN,1547044,676929,2033887,507362,359151,134704,235303681,24667896,"262470,034","93,984","1,368",N
III Q 2020,PLN,1307670,714908,1829162,528189,370851,139383,232113949,25138168,"262470,034","95,775","1,413",N
IV Q 2020,PLN,1277205,794163,1957161,355444,184812,141329,233217182,25483628,"262470,034","97,092","0,704",N
I Q 2019,PLN,1597982,684885,1932480,436386,242341,128647,196640016,23084048,"262470,034","87,949","0,923",N
II Q 2019,PLN,1668660,725062,2050261,776493,582106,126576,196910858,22069128,"262470,034","84,082","2,218",N
III Q 2019,PLN,1703631,743649,2073114,857223,656214,123578,198804400,22811520,"262470,034","86,911","2,500",N
IV Q 2019,PLN,1722641,758856,2182368,932387,684386,125416,203322919,23386287,"262470,034","89,101","2,607",N
I Q 2018,PLN,1478564,675428,1838195,563389,392325,87780,182744122,23009790,"262470,034","87,666","1,495",N
II Q 2018,PLN,1515910,707067,1916879,713939,539815,89893,183503499,21440445,"262470,034","81,687","2,057",N
III Q 2018,PLN,1544067,714682,1919148,793250,605793,92672,183298465,21988784,"262470,034","83,776","2,308",N
IV Q 2018,PLN,1583797,746940,2019328,976766,749227,101076,191089805,22796726,"262470,034","86,855","2,855",N
I Q 2017,PLN,1374967,641974,1699210,503821,349709,84342,169160833,23382733,"262470,034","89,087","1,332",N
II Q 2017,PLN,1392566,659104,1745047,693413,535069,85225,170530103,21693800,"262470,034","82,652","2,039",N
III Q 2017,PLN,1414047,658913,1766475,701992,536220,84070,171462857,22252920,"262470,034","84,783","2,043",N
IV Q 2017,PLN,1459134,703574,1990350,1253805,1054131,93701,185465570,23267814,"262470,034","88,649","4,016",N
I Q 2016,PLN,1353216,636862,1801436,728660,573396,85793,159694531,24037656,"262470,034","91,582","2,185",N
II Q 2016,PLN,1338188,689289,1999929,883725,690513,85677,166012283,22185685,"262470,034","84,527","2,631",N
III Q 2016,PLN,1382257,666331,1734111,638105,520654,85037,163252701,22724468,"262470,034","86,579","1,984",N
IV Q 2016,PLN,1374829,690629,1744916,646056,494712,84359,174214943,22897019,"262470,034","87,237","1,885",N
I Q 2015,PLN,1398296,583905,1783803,775435,624417,81738,163527990,24508459,"262470,034","93,376","2,379",N
II Q 2015,PLN,1323599,616307,1642038,763225,619209,83031,170896550,22102286,"262470,034","84,209","2,359",N
III Q 2015,PLN,1365004,606051,1675586,759852,610469,81888,170791627,22846681,"262470,034","87,045","2,326",N
IV Q 2015,PLN,1369470,582260,1747500,532606,438364,84808,168785567,23408229,"262470,034","89,184","1,670",N
I Q 2014,PLN,1571029,631965,1738104,783953,634244,81945,152371618,24074783,"262470,034","91,724","2,416",N
II Q 2014,PLN,1584757,664663,1817534,845349,685077,81049,156872605,22499010,"262470,034","85,720","2,610",N
III Q 2014,PLN,1594530,612307,1837199,870536,704370,82263,163751837,23374490,"262470,034","89,056","2,684",N
IV Q 2014,PLN,1474974,627346,1818599,859851,691023,81422,167625028,24017689,"262470,034","91,506","2,633",N
I Q 2013,PLN,1897631,640095,1845594,841458,669857,86227,147837719,23751559,"262470,034","90,492","2,552",N
II Q 2013,PLN,1714430,669835,1921635,900289,730473,87193,150582524,21991992,"262470,034","83,789","2,783",N
III Q 2013,PLN,1580752,669665,1791302,805664,648866,82996,150993598,22714721,"262470,034","86,542","2,472",N
IV Q 2013,PLN,1581477,675467,1849404,906819,735583,89942,158521712,23419883,"262470,034","89,229","2,803",N
I Q 2012,PLN,2048803,674593,1902066,884468,710577,93369,147267814,22086060,"262383,129","84,175","2,708",N
II Q 2012,PLN,2089219,716903,1929587,874478,704203,93025,148310989,21486016,"262383,129","81,888","2,684",N
III Q 2012,PLN,2116644,689587,2024253,996333,798303,91022,147901162,22304030,"262404,255","84,999","3,042",N
IV Q 2012,PLN,2183146,582129,1955504,909075,729738,91422,150754700,23171415,"262470,034","88,282","2,780",N
I Q 2011,PLN,1669085,699745,1804899,800784,648307,95695,133361372,20698890,"262367,367","78,893","2,471",N
II Q 2011,PLN,1785196,762864,1909361,882388,714297,92636,0,0,"262367,367","0,000","2,723",N
III Q 2011,PLN,1906698,745010,1975918,949758,766293,93449,0,0,"262367,367","0,000","2,921",N
IV Q 2011,PLN,2043241,726436,1981182,960016,770517,93822,146590106,21271463,"262382,129","81,071","2,937",N
I Q 2010,PLN,1576872,681241,1734546,741654,602712,108162,127927694,19099310,"262337,689","72,804","2,297",N
II Q 2010,PLN,1606604,691637,1770140,763596,619115,98566,133427911,18924431,"262360,536","72,131","2,360",N
III Q 2010,PLN,1652021,693345,1825508,819767,659685,97703,0,0,"262360,536","0,000","2,514",N
IV Q 2010,PLN,1715718,730070,1867002,776495,643722,87043,134089886,20174112,"262364,326","76,894","2,454",N
I Q 2009,PLN,1865148,636227,1661774,710660,566295,109355,133883936,16330984,"262212,629","62,281","2,160",N
II Q 2009,PLN,1661740,667066,1823814,755257,613204,110871,128203484,16976667,"262212,629","64,744","2,339",N
III Q 2009,PLN,1590896,686584,1757451,765079,620458,110194,0,0,"262260,666","0,000","2,366",N
IV Q 2009,PLN,1644756,726280,1809323,766484,611778,110890,130616054,18288019,"262330,611","69,714","2,332",N
I Q 2008,PLN,0,0,1876070,963072,1137519,99691,122399510,15807304,"262168,504","60,294","4,339",N
II Q 2008,PLN,2054869,761781,2006003,1020728,829744,103498,120942282,13879731,"262212,629","52,933","3,164",N
III Q 2008,PLN,2050070,687536,1880115,1052143,841365,104580,0,0,"262212,629","0,000","3,209",N
IV Q 2008,PLN,2152008,676925,1869827,873863,719336,105272,131940762,15947313,"262212,629","60,818","2,743",N
I Q 2007,PLN,986389,580548,1205450,617408,502086,80326,73573665,9246611,"167103,098","55,335","3,005",N
II Q 2007,PLN,1069096,663803,1312850,676748,539160,80391,0,0,"167103,098","0,000","3,227",N
III Q 2007,PLN,1122255,622516,1278225,668155,554410,82602,0,0,"167103,098","0,000","3,318",N
IV Q 2007,PLN,1493899,651797,1570523,642840,559822,95431,124096151,14666788,"261866,657","56,009","2,138",N
I Q 2006,PLN,915096,506209,1118124,513971,418860,79313,64832983,8805303,"166733,320","52,811","2,512",N
