kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,1946101,74333,64591,51915,35631,109964,6247334,3083035,"66802,246","0,777","46,152",N
I Q 2023,PLN,1466924,163294,151494,120797,37859,201153,6018622,3169401,"66802,246","1,808","47,445",N
II Q 2023,PLN,1371126,68303,57819,46490,39295,107598,5798245,3191579,"66802,246","0,696","47,777",N
III Q 2023,PLN,1241441,69353,52559,41486,41574,110927,5880015,3217498,"66802,246","0,621","48,165",N
IV Q 2021,PLN,2066533,33989,23192,15575,24938,58927,5607181,1857092,"45443,547","0,343","40,866",N
I Q 2022,PLN,2475539,154018,136536,109634,24723,178741,6436884,2027643,"66802,246","1,641","30,353",N
II Q 2022,PLN,1337371,5900,2301,1151,26451,32351,7791156,3076614,"66802,246","0,017","46,056",N
III Q 2022,PLN,1330220,3356,-3159,-2782,29612,32968,8158833,3069609,"66802,246","-0,042","45,951",N
IV Q 2020,PLN,481864,38197,28646,29987,23297,61494,3018449,1417468,"45443,547","0,660","31,192",N
I Q 2021,PLN,636915,52719,43611,34241,22859,75578,3371533,1497867,"45443,547","0,753","32,961",N
II Q 2021,PLN,575349,88542,304310,245757,22900,111442,4351586,1720103,"45443,547","5,408","37,851",N
III Q 2021,PLN,720256,58658,48939,41803,22575,81233,5246210,1791050,"45443,547","0,920","39,413",N
IV Q 2019,PLN,648950,37199,46058,34452,25327,62526,2527093,1294316,"45443,547","0,758","28,482",N
I Q 2020,PLN,458977,68649,60176,49890,25332,93981,2657111,1344309,"45443,547","1,098","29,582",N
II Q 2020,PLN,363024,28924,17435,14595,24613,53537,2600079,1355281,"45443,547","0,321","29,823",N
III Q 2020,PLN,507484,29723,20078,16074,23102,52825,2747980,1378027,"45443,547","0,354","30,324",N
IV Q 2018,PLN,887950,49613,37573,16647,23723,73336,3054282,1184838,"45443,547","0,366","26,073",N
I Q 2019,PLN,714665,54265,43822,36990,25544,79809,2748426,1221365,"45443,547","0,814","26,877",N
II Q 2019,PLN,589564,21833,10731,8643,25454,47287,2616484,1230297,"45443,547","0,190","27,073",N
III Q 2019,PLN,643398,47146,36268,28929,25128,72274,2510527,1259489,"45443,547","0,637","27,715",N
IV Q 2017,PLN,751455,21032,7908,-3463,24010,45042,2664264,1181062,"45443,547","-0,076","25,990",N
I Q 2018,PLN,746813,15284,2701,100,24044,39328,2746639,1180882,"45443,547","0,002","25,986",N
II Q 2018,PLN,826943,-22274,-30485,-37359,24050,1776,2912507,1143726,"45443,547","-0,822","25,168",N
III Q 2018,PLN,987006,41181,30904,24016,23706,64887,3330973,1168387,"45443,547","0,528","25,711",N
IV Q 2016,PLN,840515,-30936,-47032,-37371,29805,-1131,2974524,1266524,"45443,547","-0,822","27,870",N
I Q 2017,PLN,709942,18672,5222,1584,24507,43179,2841621,1268866,"45443,547","0,035","27,922",N
II Q 2017,PLN,632571,15035,1212,-338,24420,39455,2751017,1268454,"45443,547","-0,007","27,913",N
III Q 2017,PLN,668410,-67659,-81627,-85509,24143,-43516,2661608,1183417,"45443,547","-1,882","26,041",N
IV Q 2015,PLN,740115,34307,21099,14660,24486,58793,3198370,1396298,"45443,547","0,323","30,726",N
I Q 2016,PLN,722505,61068,47883,36440,26742,87810,3143816,1410076,"45443,547","0,802","31,029",N
II Q 2016,PLN,643989,-50743,-64059,-61442,29440,-21303,3094147,1349858,"45443,547","-1,352","29,704",N
III Q 2016,PLN,789760,-40566,-55124,-49156,29369,-11197,2938190,1301513,"45443,547","-1,082","28,640",N
IV Q 2014,PLN,644977,30160,22240,16226,23727,53887,2732294,1333036,"45443,547","0,357","29,334",N
I Q 2015,PLN,677789,43945,36412,26622,20751,64696,2725885,1354370,"45443,547","0,586","29,803",N
II Q 2015,PLN,677557,23416,12975,9367,20808,44224,2837951,1370418,"45443,547","0,206","30,156",N
III Q 2015,PLN,676975,30979,20556,16721,21615,52594,3014486,1389052,"45443,547","0,368","30,567",N
IV Q 2013,PLN,41168,5444,2066,1657,7172,12616,949244,514223,"21313,967","0,078","24,126",N
I Q 2014,PLN,42200,10367,5492,5707,7217,17584,945484,520096,"21313,967","0,268","24,402",N
II Q 2014,PLN,32270,2945,-1170,391,7240,10185,948284,520307,"21313,967","0,018","24,412",N
III Q 2014,PLN,215066,11952,6965,9021,11852,23804,2677316,1314547,"45443,547","0,199","28,927",N
IV Q 2012,PLN,42764,7193,7880,10482,7384,14577,1023870,510500,"21313,967","0,492","23,951",N
I Q 2013,PLN,38494,6616,5409,5017,7416,14032,977881,515517,"21313,967","0,235","24,187",N
II Q 2013,PLN,31086,1455,-1702,-1467,7338,8793,958408,514050,"21313,967","-0,069","24,118",N
III Q 2013,PLN,28726,2281,-297,751,0,2281,951445,514802,"21313,967","0,035","24,153",N
