kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,65347,7754,3858,1812,6046,13800,376014,183219,"95000,000","0,019","1,929",N
I Q 2023,PLN,61387,8899,7144,4195,3356,12255,328122,186327,"95000,000","0,044","1,961",N
II Q 2023,PLN,60136,4721,2672,2060,3173,7894,291992,178999,"95000,000","0,022","1,884",N
III Q 2023,PLN,54365,1695,732,-315,4219,5914,302388,179045,"95000,000","-0,003","1,885",N
IV Q 2021,PLN,62633,1857,914,1408,4450,6307,353489,171983,"95000,000","0,015","1,810",N
I Q 2022,PLN,64315,6292,4775,3813,3298,9590,319218,175984,"95000,000","0,040","1,852",N
II Q 2022,PLN,62091,4088,4007,1501,3441,7529,288039,177617,"95000,000","0,016","1,870",N
III Q 2022,PLN,63199,5419,4632,3469,4377,9796,307852,181159,"95000,000","0,037","1,907",N
IV Q 2020,PLN,40423,2179,3758,1870,4410,6589,364838,173769,"95000,000","0,020","1,829",N
I Q 2021,PLN,46369,-2937,-3416,1982,3378,441,318692,175608,"95000,000","0,021","1,849",N
II Q 2021,PLN,56134,-1648,-2987,-2928,3334,1686,285900,173110,"95000,000","-0,031","1,822",N
III Q 2021,PLN,55690,-2964,-3267,-2859,4029,1065,291252,170432,"95000,000","-0,030","1,794",N
IV Q 2019,PLN,51598,5626,4543,3043,4324,9950,363622,178773,"95000,000","0,032","1,882",N
I Q 2020,PLN,56917,5335,4967,3538,3631,8966,334962,182525,"95000,000","0,037","1,921",N
II Q 2020,PLN,57548,1940,726,382,3428,5368,298140,171644,"95000,000","0,004","1,807",N
III Q 2020,PLN,49191,1224,745,523,4016,5240,313577,172383,"95000,000","0,006","1,815",N
IV Q 2018,PLN,65645,13744,15829,12002,3605,17349,333925,165399,"95000,000","0,126","1,741",N
I Q 2019,PLN,63572,13684,13125,9233,2949,16633,332650,176176,"95000,000","0,097","1,854",N
II Q 2019,PLN,63515,9879,8792,6994,3233,13112,311007,170622,"95000,000","0,074","1,796",N
III Q 2019,PLN,53296,6066,6076,4821,3293,9359,303520,175499,"95000,000","0,051","1,847",N
IV Q 2017,PLN,60530,4774,4090,13444,2519,7293,303887,141282,"95000,000","0,142","1,487",N
I Q 2018,PLN,56130,7386,6405,49,3009,10395,279915,146830,"95000,000","0,001","1,546",N
II Q 2018,PLN,60627,3494,3479,7438,2555,6049,259685,148809,"95000,000","0,078","1,566",N
III Q 2018,PLN,57539,5298,4706,3602,3274,8572,268851,152596,"95000,000","0,038","1,606",N
IV Q 2016,PLN,55753,10044,10315,17522,1589,11633,272166,128199,"95000,000","0,184","1,349",N
I Q 2017,PLN,56926,8241,7033,5363,2001,10242,251531,133562,"95000,000","0,056","1,406",N
II Q 2017,PLN,59085,4435,3644,2829,2364,6799,227200,136105,"95000,000","0,030","1,433",N
III Q 2017,PLN,47732,4403,3884,-240,2335,6738,257241,139306,"95000,000","-0,003","1,466",N
IV Q 2015,PLN,35300,3267,3182,2606,1669,4936,220888,109136,"95000,000","0,027","1,149",N
I Q 2016,PLN,37313,3850,3430,2662,2226,6076,189889,111809,"95000,000","0,028","1,177",N
II Q 2016,PLN,49182,3362,3201,2517,1583,4945,174233,114223,"95000,000","0,026","1,202",N
III Q 2016,PLN,43427,6328,5729,19,1649,7977,194307,118636,"95000,000","0,000","1,249",N
IV Q 2014,PLN,33795,3553,3048,2523,1274,4827,188084,103867,"95000,000","0,027","1,093",N
I Q 2015,PLN,30448,2807,2315,1794,1684,4491,171445,105650,"95000,000","0,019","1,112",N
II Q 2015,PLN,39379,764,339,100,1616,2380,171569,105790,"95000,000","0,001","1,114",N
III Q 2015,PLN,36426,1769,1307,788,1412,3181,174256,106578,"95000,000","0,008","1,122",N
