kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
III Q 2021,PLN,12896000,1399000,1369000,666000,799000,2198000,86808000,44709000,"5778314,857","0,115","7,737",N
IV Q 2021,PLN,33096000,6747000,6278000,2915000,1454000,8201000,101576000,44379000,"5778314,857","0,504","7,680",N
I Q 2022,PLN,47592000,8010000,7722000,4093000,1588000,9598000,110223000,46398000,"5778314,857","0,708","8,030",N
II Q 2022,PLN,31165000,3907000,3692000,746000,1562000,5469000,120967000,42411000,"5778314,857","0,129","7,340",N
III Q 2020,PLN,6663000,588000,213000,116000,745000,1333000,60032000,43295000,"5778314,857","0,020","7,493",N
IV Q 2020,PLN,12100000,1341000,1485000,1304000,983000,2324000,62871000,44126000,"5778314,857","0,226","7,636",N
I Q 2021,PLN,14837000,2437000,2380000,1747000,956000,3393000,66070000,46044000,"5778314,857","0,302","7,968",N
II Q 2021,PLN,10699000,980000,956000,687000,822000,1802000,68636000,46304000,"5778314,857","0,119","8,013",N
III Q 2019,PLN,7029000,134000,66000,14000,669000,803000,54012000,37757000,"5778314,857","0,002","6,534",N
IV Q 2019,PLN,13446000,600000,340000,24000,921000,1521000,59185000,38108000,"5778314,857","0,004","6,595",N
I Q 2020,PLN,14031000,1207000,946000,779000,871000,2078000,57333000,39011000,"5778314,857","0,135","6,751",N
II Q 2020,PLN,7505000,6449000,6381000,5141000,825000,7274000,62174000,43436000,"5778314,857","0,890","7,517",N
III Q 2018,PLN,7595000,826000,800000,554000,643000,1469000,50935000,35986000,"5778314,857","0,096","6,228",N
IV Q 2018,PLN,12753000,595000,615000,388000,751000,1346000,53271000,36634000,"5778314,857","0,067","6,340",N
I Q 2019,PLN,14340000,1429000,1447000,1101000,789000,2218000,53892000,38028000,"5778314,857","0,191","6,581",N
II Q 2019,PLN,8284000,285000,306000,232000,677000,962000,53312000,37610000,"5778314,857","0,040","6,509",N
III Q 2017,PLN,6075000,418000,453000,367000,661000,1079000,45883000,33194000,"5778314,857","0,064","5,745",N
IV Q 2017,PLN,10965000,650000,610000,458000,673000,1323000,48203000,33626000,"5778314,857","0,079","5,819",N
I Q 2018,PLN,13247000,2005000,2080000,1566000,669000,2674000,48640000,35047000,"5778314,857","0,271","6,065",N
II Q 2018,PLN,7639000,969000,1007000,704000,657000,1626000,48622000,35768000,"5778314,857","0,122","6,190",N
III Q 2016,PLN,5701000,519000,507000,358000,619000,1138000,48823000,31162000,"5900000,000","0,061","5,282",N
IV Q 2016,PLN,10146000,1047000,970000,722000,658000,1705000,49672000,32013000,"5900000,000","0,122","5,426",N
I Q 2017,PLN,11652000,2074000,2105000,1599000,695000,2769000,48400000,33485000,"5778314,857","0,277","5,795",N
II Q 2017,PLN,7165000,768000,754000,499000,640000,1408000,45083000,32808000,"5778314,857","0,086","5,678",N
III Q 2015,PLN,6305000,627000,480000,291000,686000,1313000,48739000,31011000,"5900000,000","0,049","5,256",N
IV Q 2015,PLN,9769000,54000,-17000,-21000,717000,771000,48292000,30736000,"5900000,000","-0,004","5,209",N
I Q 2016,PLN,10980000,1721000,1769000,1386000,672000,2393000,50960000,32098000,"5900000,000","0,235","5,440",N
II Q 2016,PLN,6369000,73000,-36000,-115000,665000,738000,50197000,31250000,"5900000,000","-0,019","5,297",N
III Q 2014,PLN,6436000,915000,806000,616000,604000,1519000,48642000,29681000,"5900000,000","0,104","5,031",N
IV Q 2014,PLN,11487000,759000,757000,688000,600000,1359000,48926000,30164000,"5900000,000","0,117","5,113",N
I Q 2015,PLN,12495000,1662000,1590000,1243000,664000,2326000,49509000,31525000,"5900000,000","0,211","5,343",N
II Q 2015,PLN,7895000,947000,961000,621000,723000,1670000,48428000,31052000,"5900000,000","0,105","5,263",N
III Q 2013,PLN,6203000,881000,804000,654000,591000,1472000,46909000,28532000,"5900000,000","0,111","4,836",N
IV Q 2013,PLN,9101000,94000,8000,-161000,710000,804000,48384000,28447000,"5900000,000","-0,027","4,822",N
I Q 2014,PLN,9535000,1558000,1527000,1181000,623000,2181000,46788000,29491000,"5900000,000","0,200","4,998",N
II Q 2014,PLN,6846000,611000,536000,338000,675000,1286000,47197000,28874000,"5900000,000","0,057","4,894",N
III Q 2012,PLN,5300000,-1000,28000,79000,503000,502000,43213648,24341655,"5900000,000","0,013","4,126",N
IV Q 2012,PLN,8666000,2519000,2453000,2115000,562000,3081000,47929000,27193000,"5900000,000","0,358","4,609",N
I Q 2013,PLN,10255000,1427000,1280000,1073000,549000,1976000,48639000,28406000,"5900000,000","0,182","4,815",N
II Q 2013,PLN,6505000,747000,661000,352000,613000,1360000,46931000,27978000,"5900000,000","0,060","4,742",N
III Q 2011,PLN,4507778,333068,214311,319117,393095,726163,36939520,24355754,"5900000,000","0,054","4,128",N
IV Q 2011,PLN,6972860,466137,400683,433409,404009,870146,38824000,25211000,"5900000,000","0,073","4,273",N
I Q 2012,PLN,8947000,344000,373000,332000,455000,799000,42291566,24592824,"5900000,000","0,056","4,168",N
II Q 2012,PLN,5817000,-322000,-478000,-284000,549000,227000,42180713,24391355,"5900000,000","-0,048","4,134",N
III Q 2010,PLN,3881657,340303,368265,344055,365777,706080,0,0,"5900000,000","0,058","0,000",N
IV Q 2010,PLN,6637588,1344715,1351527,1117816,413734,1758449,33642407,23506046,"5900000,000","0,189","3,984",N
I Q 2011,PLN,7045008,1178947,1242598,1023200,389689,1568636,34926582,24736942,"5900000,000","0,173","4,193",N
II Q 2011,PLN,4478354,-106152,-2592,-19726,387207,281055,34337952,23882275,"5900000,000","-0,003","4,048",N
III Q 2009,PLN,3421517,508402,503521,417203,346901,855303,0,0,"5900000,000","0,071","0,000",N
IV Q 2009,PLN,5656422,1545695,1556688,1311484,386822,1932517,31074364,21424851,"5900000,000","0,222","3,631",N
I Q 2010,PLN,6632831,1226889,1236145,995568,365899,1592788,31578734,22373838,"5900000,000","0,169","3,792",N
II Q 2010,PLN,4129085,-25218,-19143,-3698,379302,354084,31984391,22032976,"5900000,000","-0,001","3,734",N
III Q 2008,PLN,3653520,195821,227967,179009,336281,532102,0,0,"5900000,000","0,030","0,000",N
IV Q 2008,PLN,5519996,-602872,-586940,-310035,367240,-235632,29745277,20706895,"5900000,000","-0,053","3,510",N
I Q 2009,PLN,6378894,-457206,-433744,-398844,369544,-87662,30330861,20373148,"5900000,000","-0,068","3,453",N
II Q 2009,PLN,3874694,-222032,-142917,-94604,392945,170913,29291341,19743142,"5900000,000","-0,016","3,346",N
III Q 2007,PLN,3134637,385274,442637,301831,375127,760401,0,0,"5900000,000","0,051","0,000",N
IV Q 2007,PLN,5076995,-903589,-862196,-500929,352810,-550779,28401901,21013076,"5900000,000","-0,085","3,562",N
