kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,1575500,235000,190100,152700,182800,417800,7660200,3232900,"44786,917","3,409","72,184",N
I Q 2023,PLN,1564000,168000,130600,104200,191400,359400,8048000,3357600,"44786,917","2,327","74,968",N
II Q 2023,PLN,1335500,53500,9200,5500,198300,251800,8107900,3303200,"44786,917","0,123","73,754",N
III Q 2023,PLN,1268700,37500,-7000,-7800,204700,242200,8290200,3286400,"44786,917","-0,174","73,379",N
IV Q 2021,PLN,1120600,-70400,-83800,-71800,191300,120900,7613400,3040600,"44786,917","-1,603","67,890",N
I Q 2022,PLN,1166300,-31500,-55500,-47600,183900,152400,7558500,3009100,"44786,917","-1,063","67,187",N
II Q 2022,PLN,1285200,37600,8600,5200,181500,219100,7530500,3042800,"44786,917","0,116","67,939",N
III Q 2022,PLN,1363100,92200,48600,37700,184800,277000,7526400,3091000,"44786,917","0,842","69,016",N
IV Q 2020,PLN,1101400,-41000,-58500,-48000,187600,146600,7559400,3143800,"44786,917","-1,072","70,195",N
I Q 2021,PLN,996000,-71000,-85200,-71300,175400,104400,7447800,3081200,"44786,917","-1,592","68,797",N
II Q 2021,PLN,1050000,-57300,-69800,-58700,179700,122400,7478600,3067800,"44786,917","-1,311","68,498",N
III Q 2021,PLN,1099900,-10100,-25600,-23500,175600,165500,7506700,3048600,"44786,917","-0,525","68,069",N
IV Q 2019,PLN,1165000,-39400,-55500,-62700,186200,146800,7991300,3423300,"44786,917","-1,400","76,435",N
I Q 2020,PLN,1035700,-105600,-138900,-114400,195600,90000,7756200,3264800,"44786,917","-2,554","72,896",N
II Q 2020,PLN,928900,-76400,-92100,-77500,193100,116700,7778400,3158400,"44786,917","-1,730","70,521",N
III Q 2020,PLN,1009600,36600,22600,15600,190300,226900,7685300,3162400,"44786,917","0,348","70,610",N
IV Q 2018,PLN,1377800,2900,-1400,-10400,203500,206400,6806300,3483500,"44786,917","-0,232","77,779",N
I Q 2019,PLN,1260900,86900,68900,53100,171600,258500,7533000,3537100,"44786,917","1,186","78,976",N
II Q 2019,PLN,1164400,15000,-900,-5200,176600,191600,7493900,3464100,"44786,917","-0,116","77,346",N
III Q 2019,PLN,1191300,80900,61000,50800,182100,263000,7414700,3504800,"44786,917","1,134","78,255",N
IV Q 2017,PLN,1255824,50926,42295,29959,118175,169101,6645700,3317200,"44786,917","0,669","74,066",N
I Q 2018,PLN,1205000,62900,49700,35600,137000,199900,6576400,3354300,"44786,917","0,795","74,895",N
II Q 2018,PLN,1281700,70300,63100,54000,151600,221900,6622700,3391500,"44786,917","1,206","75,725",N
III Q 2018,PLN,1318500,141500,132400,104700,137300,278800,6650600,3502400,"44786,917","2,338","78,201",N
IV Q 2016,PLN,1183629,54193,78947,67472,161303,215496,6508206,3260278,"44786,917","1,507","72,795",N
I Q 2017,PLN,1087326,3176,98,-1434,143841,147017,6362812,3224395,"44786,917","-0,032","71,994",N
II Q 2017,PLN,1158615,42245,30253,20796,143272,185517,6356433,3265275,"44786,917","0,464","72,907",N
III Q 2017,PLN,1187335,57053,43854,32379,141612,198665,6400939,3308652,"44786,917","0,723","73,875",N
IV Q 2015,PLN,1254070,-216894,-234899,-196367,130032,-86862,6102457,3333945,"44786,917","-4,384","74,440",N
I Q 2016,PLN,1022800,-61808,-74613,-66378,141891,80083,6092486,3268639,"44786,917","-1,482","72,982",N
II Q 2016,PLN,1079658,-132335,-155335,-128874,146418,14083,5979400,3180824,"44786,917","-2,877","71,021",N
III Q 2016,PLN,1085872,7879,77,-5992,146566,154445,5968835,3163931,"44786,917","-0,134","70,644",N
IV Q 2014,PLN,1077008,-160832,-192084,-149805,110357,-50475,5680332,3331793,"44786,917","-3,345","74,392",N
I Q 2015,PLN,888721,32370,26773,22203,102396,134766,5407137,3379418,"44786,917","0,496","75,455",N
II Q 2015,PLN,1025492,148465,142424,140460,107863,256328,6336520,3476337,"44786,917","3,136","77,619",N
III Q 2015,PLN,1195185,91970,76220,63985,120311,212281,6246443,3549488,"44786,917","1,429","79,253",N
IV Q 2013,PLN,1225258,93263,99775,78641,93259,186522,5743616,3446517,"43338,015","1,815","79,526",N
I Q 2014,PLN,1016690,68469,64202,56867,90820,159289,5625981,3501942,"43338,015","1,312","80,805",N
II Q 2014,PLN,1060291,100483,99881,69870,90720,191203,5362380,3433138,"44786,917","1,560","76,655",N
III Q 2014,PLN,1063084,112808,121523,99052,90520,203328,5504704,3531710,"44786,917","2,212","78,856",N
IV Q 2012,PLN,1327844,34157,17272,14253,106189,140346,5623769,3142594,"43338,015","0,329","72,514",N
I Q 2013,PLN,1046548,16039,7785,3733,92170,108209,0,0,"43338,015","0,086","0,000",N
II Q 2013,PLN,1220175,110304,96702,72676,94591,204895,5552025,3218348,"43338,015","1,677","74,262",N
III Q 2013,PLN,1225709,-109420,-102290,-81006,95425,-13995,5730533,3362852,"43338,015","-1,869","77,596",N
IV Q 2010,PLN,0,0,0,0,0,0,4500897,2440632,"43338,015","0,000","56,316",N
IV Q 2011,PLN,0,0,0,0,0,0,5370290,2914989,"43338,015","0,000","67,262",N
III Q 2012,PLN,1324247,131639,147079,117573,102561,234200,0,0,"43338,015","2,713","0,000",N
