kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,67523,33539,-3822,1008,565,34104,558600,420287,"6600,000","0,153","63,680",N
I Q 2023,PLN,71397,41133,41450,30012,385,41518,591960,450739,"6600,000","4,547","68,294",N
II Q 2023,PLN,81693,48860,43504,33560,472,49332,626938,356528,"6600,000","5,085","54,019",N
III Q 2023,PLN,71757,30144,34863,27366,384,30528,521385,385420,"6600,000","4,146","58,397",N
IV Q 2021,PLN,78557,44564,41506,33694,127,44691,574248,439308,"6600,000","5,105","66,562",N
I Q 2022,PLN,58040,37820,44162,32783,238,38058,609182,471632,"6600,000","4,967","71,459",N
II Q 2022,PLN,73518,50203,51358,36445,347,50550,636261,382508,"6600,000","5,522","57,956",N
III Q 2022,PLN,85611,51076,56115,42089,345,51421,561188,420821,"6600,000","6,377","63,761",N
IV Q 2020,PLN,42838,19603,55225,29156,129,19732,458598,356396,"6600,000","4,418","53,999",N
I Q 2021,PLN,47096,28737,36129,25515,88,28825,496864,383193,"6600,000","3,866","58,060",N
II Q 2021,PLN,56356,33102,31503,25642,184,33286,447554,338179,"6600,000","3,885","51,239",N
III Q 2021,PLN,70161,47131,52752,42802,276,47407,498068,383763,"6600,000","6,485","58,146",N
IV Q 2019,PLN,38729,20809,35300,32549,323,21132,211813,175009,"6600,000","4,932","26,517",N
I Q 2020,PLN,35076,23303,26551,21168,184,23487,237658,197807,"6600,000","3,207","29,971",N
II Q 2020,PLN,66593,52343,160155,128043,149,52492,332942,271475,"6600,000","19,400","41,133",N
III Q 2020,PLN,36487,22818,27065,21591,224,23042,385638,308566,"6600,000","3,271","46,752",N
IV Q 2018,PLN,20228,14177,14975,9778,54,14231,121808,97390,"6600,000","1,482","14,756",N
I Q 2019,PLN,22341,12403,15705,11594,48,12451,142285,111498,"6600,000","1,757","16,894",N
II Q 2019,PLN,32884,23304,23199,16537,141,23445,161907,128287,"6600,000","2,506","19,437",N
III Q 2019,PLN,20245,11816,11724,6889,96,11912,174864,138594,"6600,000","1,044","20,999",N
IV Q 2017,PLN,15821,8088,7526,5025,127,8215,76726,64695,"6600,000","0,761","9,802",N
I Q 2018,PLN,11938,5162,19001,14807,29,5191,92194,78687,"6600,000","2,243","11,922",N
II Q 2018,PLN,26262,18747,21084,15546,39,18786,112591,79333,"6600,000","2,355","12,020",N
III Q 2018,PLN,20245,11816,11723,6889,47,11863,105876,86395,"6600,000","1,044","13,090",N
IV Q 2016,PLN,3411,769,871,1209,33,802,52793,48189,"6600,000","0,183","7,301",N
I Q 2017,PLN,5208,1897,1868,1874,44,1941,55809,50056,"6600,000","0,284","7,584",N
II Q 2017,PLN,6594,2295,1973,1239,46,2341,58862,51675,"6600,000","0,188","7,830",N
III Q 2017,PLN,16139,9194,9288,7634,0,9194,70495,60220,"6600,000","1,157","9,124",N
IV Q 2015,PLN,2696,1442,1523,1184,18,1460,16713,13726,"6000,000","0,197","2,288",N
I Q 2016,PLN,3944,1812,1822,1475,3,1815,0,0,"6000,000","0,246","0,000",N
II Q 2016,PLN,4161,1472,1559,1237,28,1500,20523,16437,"6000,000","0,206","2,740",N
III Q 2016,PLN,4588,1996,1969,1730,35,2031,21721,18167,"6000,000","0,288","3,028",N
IV Q 2014,PLN,0,0,0,0,0,0,9258,7045,"6000,000","0,000","1,174",N
III Q 2015,PLN,4368,2233,2232,1516,14,2247,0,0,"6000,000","0,253","0,000",N
