kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2021,EUR,0,0,0,0,0,0,9840,-112387,"6855,603","0,000","-16,393",N
II Q 2022,EUR,0,0,0,0,0,0,8597,-118572,"6855,603","0,000","-17,296",N
IV Q 2022,EUR,0,0,0,0,0,0,8302,-120789,"6855,603","0,000","-17,619",N
II Q 2023,EUR,0,0,0,0,0,0,6608,-121413,"6855,603","0,000","-17,710",N
IV Q 2019,EUR,0,0,0,0,0,0,56101,-50647,"6855,603","0,000","-7,388",N
II Q 2020,EUR,0,0,0,0,0,0,52801,-58795,"6855,603","0,000","-8,576",N
IV Q 2020,EUR,0,0,0,0,0,0,12536,-85752,"6855,603","0,000","-12,508",N
II Q 2021,EUR,0,0,0,0,0,0,11037,-94479,"6855,603","0,000","-13,781",N
IV Q 2017,EUR,0,0,0,0,0,0,140675,8363,"6855,603","0,000","1,220",N
II Q 2018,EUR,0,0,0,0,0,0,89719,-814,"6855,603","0,000","-0,119",N
IV Q 2018,EUR,0,0,0,0,0,0,61940,-29401,"6855,603","0,000","-4,289",N
II Q 2019,EUR,0,0,0,0,0,0,60000,-40035,"6855,603","0,000","-5,840",N
II Q 2016,EUR,3885,1627,1582,1574,12,1639,388405,75190,"6855,603","0,230","10,968",N
III Q 2016,EUR,3842,7971,-3980,-4181,16,7987,379883,71093,"6855,603","-0,610","10,370",N
IV Q 2016,EUR,23123,-45584,-36029,-36273,17,-45567,322124,36623,"6855,603","-5,291","5,342",N
II Q 2017,EUR,0,0,0,0,0,0,222145,28969,"6855,603","0,000","4,226",N
II Q 2015,EUR,39327,-10208,-18286,-18315,199,-10009,427784,92688,"6855,603","-2,672","13,520",N
III Q 2015,EUR,4553,166,9513,9414,-90,76,403426,101079,"6855,603","1,373","14,744",N
IV Q 2015,EUR,4698,-8775,-18868,-19537,23,-8752,392011,82102,"6855,603","-2,850","11,976",N
I Q 2016,EUR,14156,1360,-7379,-7637,22,1382,385583,73587,"6855,603","-1,114","10,734",N
II Q 2014,EUR,6170,-68437,-86452,-86343,0,-68437,519499,113394,"2971,817","-29,054","38,156",N
III Q 2014,EUR,44602,962,-1539,-1265,284,1246,493935,114716,"2971,817","-0,426","38,601",N
IV Q 2014,EUR,3573,-19627,-20757,-19921,545,-19082,466097,118901,"6855,603","-2,906","17,344",N
I Q 2015,EUR,5510,2643,-17454,-17678,68,2711,0,0,"6855,603","-2,579","0,000",N
IV Q 2012,EUR,-4508,-68694,-71987,-69865,-5431,-74125,885818,442216,"2971,817","-23,509","148,803",N
II Q 2013,EUR,6810,-69294,-74304,-75241,0,-69294,792564,355231,"2971,817","-25,318","119,533",N
III Q 2013,EUR,6012,-73306,-95825,-89761,1137,-72169,627951,257605,"2971,817","-30,204","86,683",N
IV Q 2013,EUR,6713,-41932,-47226,-47269,-770,-42702,585766,209722,"2971,817","-15,906","70,570",N
II Q 2011,EUR,0,0,0,0,0,0,1483338,609404,"2924,567","0,000","208,374",N
IV Q 2011,EUR,0,0,0,0,0,0,1348526,542122,"2971,745","0,000","182,425",N
II Q 2012,EUR,0,0,0,0,0,0,1139866,524052,"2971,745","0,000","176,345",N
III Q 2012,EUR,20383,-4381,-6760,-6490,4461,80,0,0,"2971,745","-2,184","0,000",N
II Q 2009,EUR,0,0,0,0,0,0,1008023,579069,"2924,567","0,000","198,002",N
IV Q 2009,EUR,0,0,0,0,0,0,1059621,569799,"2924,567","0,000","194,832",N
II Q 2010,EUR,0,0,0,0,0,0,1454018,624983,"2924,567","0,000","213,701",N
IV Q 2010,EUR,0,0,0,0,0,0,1426296,600195,"2924,567","0,000","205,225",N
II Q 2007,EUR,0,0,0,0,0,0,540125,394358,"0,000",,,N
IV Q 2007,EUR,0,0,0,0,0,0,761211,603471,"2924,037","0,000","206,383",N
II Q 2008,EUR,0,0,0,0,0,0,938719,589457,"2924,037","0,000","201,590",N
IV Q 2008,EUR,0,0,0,0,0,0,958556,606523,"2924,037","0,000","207,427",N
IV Q 2004,EUR,0,0,0,0,0,0,306909,65841,"0,000",,,N
IV Q 2005,EUR,0,0,0,0,0,0,211104,96007,"0,000",,,N
IV Q 2006,EUR,0,0,0,0,0,0,474897,364677,"0,000",,,N
