kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,378,1452,1272,1663,0,1452,16219,6158,"15609,833","0,107","0,394",N
I Q 2023,PLN,7,-139,-249,328,0,-139,18157,6485,"15609,833","0,021","0,415",N
II Q 2023,PLN,7,-131,-330,-258,0,-131,16796,6227,"15609,833","-0,017","0,399",N
III Q 2023,PLN,69,1068,1034,1649,0,1068,16788,7876,"15609,833","0,106","0,505",N
IV Q 2021,PLN,-9259,260,206,-3273,-467,-207,19438,7414,"15609,833","-0,210","0,475",N
I Q 2022,PLN,65,-245,-183,-842,0,-245,17060,6572,"15609,833","-0,054","0,421",N
II Q 2022,PLN,65,1283,1257,-15,0,1283,15595,6557,"15609,833","-0,001","0,420",N
III Q 2022,PLN,65,-1838,-1812,-2085,0,-1838,15323,4472,"15609,833","-0,134","0,286",N
IV Q 2020,PLN,9449,4872,4780,4832,170,5042,27809,9592,"15609,833","0,310","0,614",N
I Q 2021,PLN,11204,1113,908,577,162,1275,29036,11520,"15609,833","0,037","0,738",N
II Q 2021,PLN,11432,1760,1742,1813,164,1924,31676,11982,"15609,833","0,116","0,768",N
III Q 2021,PLN,3107,-1796,-1860,-1322,165,-1631,24578,10660,"15609,833","-0,085","0,683",N
IV Q 2019,PLN,10505,1220,1018,1458,213,1433,29336,3771,"15609,833","0,093","0,242",N
I Q 2020,PLN,10161,588,865,994,184,772,28451,4278,"15609,833","0,064","0,274",N
II Q 2020,PLN,8785,1167,542,-52,180,1347,29080,4719,"15609,833","-0,003","0,302",N
III Q 2020,PLN,11639,1820,1789,1426,176,1996,28026,6145,"15609,833","0,091","0,394",N
IV Q 2018,PLN,80579,9733,7890,5808,3434,13167,218217,-116755,"15609,833","0,372","-7,480",N
I Q 2019,PLN,68594,5402,3192,1976,3896,9298,217179,-114846,"15609,833","0,127","-7,357",N
II Q 2019,PLN,48553,2614,121637,121034,2732,5346,39558,5838,"15609,833","7,754","0,374",N
III Q 2019,PLN,10616,1589,-3857,-3969,231,1820,30698,1792,"15609,833","-0,254","0,115",N
IV Q 2017,PLN,56923,15157,11802,25689,6232,21389,964983,268019,"74332,538","0,346","3,606",N
I Q 2018,PLN,61740,1201,-64,17821,3840,5041,1005985,285564,"74332,538","0,240","3,842",N
II Q 2018,PLN,78812,8083,5821,7495,3278,11361,217419,-123174,"15609,833","0,480","-7,891",N
III Q 2018,PLN,63748,3358,1480,391,3344,6702,236689,-122470,"15609,833","0,025","-7,846",N
IV Q 2016,PLN,155900,-164712,-222458,-296401,46256,-118456,1264529,200439,"74332,538","-3,988","2,697",N
I Q 2017,PLN,249031,11129,10010,7467,30829,41958,1053788,209938,"74332,538","0,100","2,824",N
II Q 2017,PLN,62339,-5318,-7174,33796,-22600,-27918,1005197,242838,"74332,538","0,455","3,267",N
III Q 2017,PLN,51967,2489,1897,1789,3699,6188,961004,243706,"74332,538","0,024","3,279",N
IV Q 2015,PLN,224142,-448269,-509512,-503658,33387,-414882,2128792,1093989,"74332,538","-6,776","14,717",N
I Q 2016,PLN,200769,-6821,-9055,-19981,34583,27762,2180167,1074703,"74332,538","-0,269","14,458",N
II Q 2016,PLN,226321,-434163,-463796,-552513,62275,-371888,1605095,524026,"74332,538","-7,433","7,050",N
III Q 2016,PLN,194184,-26514,-29544,-32808,31709,5195,1414635,487909,"74332,538","-0,441","6,564",N
IV Q 2014,PLN,360974,21626,20940,16546,37377,59003,3521519,2611280,"74332,538","0,223","35,130",N
I Q 2015,PLN,327408,13743,10804,7438,34975,48718,3588841,2626826,"74332,538","0,100","35,339",N
II Q 2015,PLN,274955,7507,10364,8447,36662,44169,3542663,2602968,"74332,538","0,114","35,018",N
III Q 2015,PLN,244903,-7083,-8243,-9804,39747,32664,3554237,2582445,"74332,538","-0,132","34,742",N
IV Q 2013,PLN,416313,26196,20418,23921,42414,68610,3475265,2510431,"74332,538","0,322","33,773",N
I Q 2014,PLN,377283,34945,31702,25889,37282,72227,3528818,2538409,"74332,538","0,348","34,149",N
II Q 2014,PLN,373296,40502,35935,32518,37587,78089,3473259,2569580,"74332,538","0,437","34,569",N
III Q 2014,PLN,322378,38513,35308,26307,39540,78053,3452068,2599593,"74332,538","0,354","34,972",N
IV Q 2012,PLN,441196,5272,-5656,659,34859,40131,3738024,2475971,"74332,538","0,009","33,309",N
I Q 2013,PLN,327405,17683,11311,9741,35804,53487,3625292,2488282,"74332,538","0,131","33,475",N
II Q 2013,PLN,301870,3041,-2165,2358,36436,39477,3477734,2486416,"74332,538","0,032","33,450",N
III Q 2013,PLN,345356,39874,36264,29258,35464,75338,3504298,2511905,"74332,538","0,394","33,793",N
IV Q 2011,PLN,602547,49759,41243,33063,27868,77627,3725338,2447180,"74332,538","0,445","32,922",N
I Q 2012,PLN,437686,-11665,-27278,-36631,29826,18161,3833886,2411721,"74332,538","-0,493","32,445",N
II Q 2012,PLN,522365,54145,49711,45556,28964,83109,3826374,2454256,"74332,538","0,613","33,017",N
III Q 2012,PLN,531969,60165,51324,42637,33267,93432,3844863,2494329,"74332,538","0,574","33,556",N
IV Q 2010,PLN,622773,23066,2537,1755,20902,43968,3364036,2297762,"74332,538","0,024","30,912",N
I Q 2011,PLN,451987,46390,38782,27431,23118,69508,3623967,2327182,"74332,538","0,369","31,308",N
II Q 2011,PLN,416618,39285,36227,27133,24672,63957,3768459,2351901,"74332,538","0,365","31,640",N
III Q 2011,PLN,512337,53124,74246,60113,27031,80155,0,0,"74332,538","0,809","0,000",N
IV Q 2009,PLN,586028,-23214,-24294,-6035,18664,-4550,3333376,2259273,"74332,538","-0,081","30,394",N
I Q 2010,PLN,633563,23432,12985,8865,20501,43933,3379276,2292201,"74332,538","0,119","30,837",N
II Q 2010,PLN,485332,12152,19099,11959,20270,32422,3488183,2303513,"74332,538","0,161","30,989",N
III Q 2010,PLN,504296,25978,8372,409,21255,47233,0,0,"74332,538","0,006","0,000",N
IV Q 2008,PLN,662755,62838,38793,20304,16180,79018,3228031,2031822,"67632,538","0,300","30,042",N
I Q 2009,PLN,592873,58567,50268,35392,17682,76249,3223161,2048844,"67632,538","0,523","30,294",N
II Q 2009,PLN,517115,44535,26658,16286,17691,62226,3189896,2086271,"67632,538","0,241","30,847",N
III Q 2009,PLN,603116,39940,31586,20840,17685,57625,0,0,"67632,538","0,308","0,000",N
IV Q 2007,PLN,372855,19872,13309,8272,5655,25527,2601942,1976631,"67632,538","0,122","29,226",N
I Q 2008,PLN,393288,30306,27620,19938,13548,43854,2570415,1992355,"67632,538","0,295","29,459",N
II Q 2008,PLN,385765,30666,23321,18626,15221,45887,2760073,2021561,"67632,538","0,275","29,890",N
III Q 2008,PLN,504238,38872,34515,21253,16144,55016,0,0,"67632,538","0,314","0,000",N
IV Q 2006,PLN,232326,22900,24332,17825,6395,29295,787216,309537,"19892,700","0,896","15,560",N
I Q 2007,PLN,231050,22387,35373,27183,10019,32406,861039,335555,"19892,700","1,366","16,868",N
II Q 2007,PLN,303677,24597,549607,444410,9962,34559,1287033,780508,"19892,700","22,340","39,236",N
III Q 2007,PLN,382648,38879,36968,20848,16649,55528,0,0,"67632,538","0,308","0,000",N
IV Q 2005,PLN,218974,12807,12051,8806,3175,15982,372025,102310,"19892,700","0,443","5,143",N
I Q 2006,PLN,132263,3342,3385,2006,3547,6889,305203,104975,"19892,700","0,101","5,277",N
II Q 2006,PLN,138598,4939,5667,4590,3382,8321,303629,108298,"19892,700","0,231","5,444",N
III Q 2006,PLN,207717,24204,24474,18235,25627,49831,0,0,"19892,700","0,917","0,000",N
IV Q 2004,PLN,167902,1275,-81,-544,2006,3281,347069,88970,"19892,700","-0,027","4,472",N
I Q 2005,PLN,134245,922,2178,1557,1800,2722,341821,92349,"19892,700","0,078","4,642",N
II Q 2005,PLN,119082,9970,10931,9582,2796,12766,319795,98142,"19892,700","0,482","4,934",N
III Q 2005,PLN,114313,3084,931,-562,3263,6347,0,0,"19892,700","-0,028","0,000",N
IV Q 2003,PLN,61319,-908,1249,-132,1158,250,203490,73179,"19892,700","-0,007","3,679",N
I Q 2004,PLN,72805,3441,4843,3677,434,3875,211893,77118,"19892,700","0,185","3,877",N
II Q 2004,PLN,90708,522,2867,3079,-2597,-2075,252445,77989,"19892,700","0,155","3,920",N
III Q 2004,PLN,107646,-9568,14482,12393,8117,-1451,306573,90293,"19892,700","0,623","4,539",N
