kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,71064,7519,-208,-257,1623,9142,205395,90060,"2355,000","-0,109","38,242",N
I Q 2023,PLN,60512,1129,297,168,1673,2802,218605,89878,"2355,000","0,071","38,165",N
II Q 2023,PLN,120482,-15755,-17924,-14838,1651,-14104,210220,75443,"2355,000","-6,301","32,035",N
III Q 2023,PLN,66842,1338,403,427,1809,3147,181478,75079,"2005,000","0,213","37,446",N
IV Q 2021,PLN,82616,661,3456,2553,1780,2441,244577,99138,"2935,000","0,870","33,778",N
I Q 2022,PLN,57321,2712,3212,1879,1710,4422,215230,101013,"2935,000","0,640","34,417",N
II Q 2022,PLN,45530,-6432,-1876,-1782,1730,-4702,199951,98668,"2935,000","-0,607","33,618",N
III Q 2022,PLN,47907,-1225,50,183,1633,408,202417,99211,"2355,000","0,078","42,128",N
IV Q 2020,PLN,110590,11356,12563,9881,1632,12988,251465,105623,"2935,000","3,367","35,987",N
I Q 2021,PLN,51768,3960,3429,2356,1632,5592,226613,109971,"2935,000","0,803","37,469",N
II Q 2021,PLN,54127,187,1239,1140,1651,1838,228103,112288,"2935,000","0,388","38,258",N
III Q 2021,PLN,59337,-71,24,94,1696,1625,210334,97298,"2935,000","0,032","33,151",N
IV Q 2019,PLN,99797,2814,4878,3756,1553,4367,259375,91816,"2935,000","1,280","31,283",N
I Q 2020,PLN,91631,1357,172,-314,1528,2885,278540,91502,"2935,000","-0,107","31,176",N
II Q 2020,PLN,74450,2920,3577,3094,1566,4486,252987,94436,"2935,000","1,054","32,176",N
III Q 2020,PLN,75536,1408,1606,1202,1585,2993,263022,95638,"2935,000","0,410","32,585",N
IV Q 2018,PLN,46689,512,1488,1420,539,1051,149778,83940,"2935,000","0,484","28,600",N
I Q 2019,PLN,42175,1067,1207,990,1526,2593,180614,84932,"2935,000","0,337","28,938",N
II Q 2019,PLN,55869,704,1715,1573,1159,1863,190243,86440,"2935,000","0,536","29,451",N
III Q 2019,PLN,125182,1874,1901,1547,1417,3291,229330,88050,"2935,000","0,527","30,000",N
IV Q 2017,PLN,29447,10501,13073,9686,495,10996,156824,105242,"3895,000","2,487","27,020",N
I Q 2018,PLN,20027,-1232,-898,-949,518,-714,127583,80259,"3895,000","-0,244","20,606",N
II Q 2018,PLN,30220,208,-694,-504,506,714,124749,79743,"3895,000","-0,129","20,473",N
III Q 2018,PLN,56258,1327,2303,1956,522,1849,156286,81701,"2935,000","0,666","27,837",N
IV Q 2016,PLN,41314,-1483,-1792,-2160,607,-876,159820,88195,"3895,000","-0,555","22,643",N
I Q 2017,PLN,27054,218,-133,889,532,750,145204,88599,"3895,000","0,228","22,747",N
II Q 2017,PLN,26636,-179,819,-47,481,302,148361,89050,"3895,000","-0,012","22,863",N
III Q 2017,PLN,28869,6548,6321,6300,506,7054,159506,95477,"3895,000","1,617","24,513",N
IV Q 2015,PLN,93106,4395,2041,1222,656,5051,214436,116357,"3895,000","0,314","29,873",N
I Q 2016,PLN,36826,1228,1179,925,569,1797,190484,117318,"3895,000","0,237","30,120",N
II Q 2016,PLN,42902,-23080,-25170,-22011,635,-22445,183081,89882,"3895,000","-5,651","23,076",N
III Q 2016,PLN,48172,-398,-176,697,540,142,164494,90569,"3895,000","0,179","23,253",N
IV Q 2014,PLN,62585,-70,301,139,578,508,202337,113436,"3895,000","0,036","29,123",N
I Q 2015,PLN,27079,639,1495,856,589,1228,185816,114281,"3895,000","0,220","29,340",N
II Q 2015,PLN,57235,1963,1115,97,615,2578,201635,113003,"3895,000","0,025","29,012",N
III Q 2015,PLN,89023,2555,2056,2257,580,3135,206412,115365,"3895,000","0,579","29,619",N
IV Q 2013,PLN,38445,-4683,-3480,-2271,594,-4089,189572,107422,"3895,000","-0,583","27,579",N
I Q 2014,PLN,32092,949,902,343,599,1548,187087,108822,"3895,000","0,088","27,939",N
II Q 2014,PLN,34614,2628,2336,2031,582,3210,196432,111463,"3895,000","0,521","28,617",N
III Q 2014,PLN,46757,2365,1424,1238,577,2942,202231,113017,"3895,000","0,318","29,016",N
IV Q 2012,PLN,26318,-949,-1784,-1626,536,-413,186106,110410,"3895,000","-0,417","28,347",N
I Q 2013,PLN,27997,458,258,224,576,1034,178388,110288,"3895,000","0,058","28,315",N
II Q 2013,PLN,34112,1698,1474,1118,581,2279,206254,108598,"3895,000","0,287","27,881",N
III Q 2013,PLN,39935,1790,997,895,588,2378,199460,109776,"3895,000","0,230","28,184",N
IV Q 2011,PLN,69467,5294,5392,3990,758,6052,218175,112886,"0,000",,,N
I Q 2012,PLN,35916,23,1215,438,642,665,196675,113643,"3895,000","0,112","29,177",N
II Q 2012,PLN,41017,-2330,-2243,-3014,586,-1744,194068,111073,"3895,000","-0,774","28,517",N
III Q 2012,PLN,33720,641,288,247,538,1179,0,0,"3895,000","0,063","0,000",N
IV Q 2010,PLN,38443,1468,1599,1723,976,2444,187006,105626,"3895,000","0,442","27,118",N
I Q 2011,PLN,24333,-1041,764,637,796,-245,170405,103700,"3895,000","0,164","26,624",N
II Q 2011,PLN,34182,653,-1200,-1630,823,1476,181367,106124,"0,000",,,N
III Q 2011,PLN,50441,2667,2606,1985,630,3297,0,0,"0,000",,,N
IV Q 2009,PLN,29849,1387,1259,-1846,1111,2498,186834,98717,"0,000",,,N
I Q 2010,PLN,22726,194,404,162,1081,1275,180536,99856,"0,000",,,N
II Q 2010,PLN,28738,1402,987,532,1054,2456,180848,104466,"0,000",,,N
III Q 2010,PLN,29134,2097,1835,1425,975,3072,0,0,"3895,000","0,366","0,000",N
IV Q 2008,PLN,102982,3339,4698,2557,1212,4551,260987,103022,"0,000",,,N
I Q 2009,PLN,64800,384,1477,658,1198,1582,233369,103512,"0,000",,,N
II Q 2009,PLN,42077,1296,501,-658,1172,2468,223977,101844,"0,000",,,N
III Q 2009,PLN,33862,393,-201,276,1076,1469,0,0,"0,000",,,N
IV Q 2007,PLN,82742,9363,7848,3467,1002,10365,223971,93621,"3903,000","0,888","23,987",N
I Q 2008,PLN,80002,5688,5591,3655,1114,6802,211108,96996,"3903,000","0,936","24,852",N
II Q 2008,PLN,81387,5106,4937,3254,1204,6310,213794,97214,"3900,000","0,834","24,927",N
III Q 2008,PLN,100884,5244,5516,1948,1269,6513,0,0,"3900,000","0,499","0,000",N
IV Q 2006,PLN,65021,2731,2116,1349,1130,3861,193325,81092,"3903,000","0,346","20,777",N
I Q 2007,PLN,60392,3639,4469,3040,721,4360,183029,84132,"3903,000","0,779","21,556",N
II Q 2007,PLN,45968,2123,4505,3166,1076,3199,192008,84288,"3903,000","0,811","21,596",N
III Q 2007,PLN,48635,2037,3262,2700,913,2950,0,0,"3903,000","0,692","0,000",N
IV Q 2005,PLN,126778,1084,1847,2680,725,1809,255767,73046,"3903,000","0,687","18,715",N
I Q 2006,PLN,54023,3557,4429,3503,750,4307,157729,78217,"3903,000","0,898","20,040",N
II Q 2006,PLN,48786,2161,3006,2277,758,2919,160836,76985,"3903,000","0,583","19,725",N
III Q 2006,PLN,84591,3922,3327,2477,1150,5072,0,0,"3903,000","0,635","0,000",N
IV Q 2004,PLN,103594,4086,6513,5719,1523,5609,222728,49843,"3913,000","1,462","12,738",N
I Q 2005,PLN,120732,4998,4217,3006,1432,6430,224519,53232,"3913,000","0,768","13,604",N
II Q 2005,PLN,159202,4541,4006,3775,1624,6165,316348,55129,"3913,000","0,965","14,089",N
III Q 2005,PLN,191150,25489,21053,16553,928,26417,0,0,"3903,000","4,241","0,000",N
IV Q 2003,PLN,23011,1233,898,1188,1215,2448,110555,37500,"4269,000","0,278","8,784",N
I Q 2004,PLN,16427,1754,649,412,1397,3151,129006,38087,"4269,000","0,097","8,922",N
II Q 2004,PLN,32028,2317,1909,1882,1281,3598,157760,38929,"4269,000","0,441","9,119",N
III Q 2004,PLN,66475,4217,7292,4982,1434,5651,0,0,"4269,000","1,167","0,000",N
IV Q 2002,PLN,27860,1468,2856,2255,1181,2649,104161,39728,"4780,000","0,472","8,311",N
I Q 2003,PLN,24026,1098,-387,-287,1229,2327,108040,39118,"4780,000","-0,060","8,184",N
II Q 2003,PLN,20451,219,413,808,1218,1437,108145,36527,"4780,000","0,169","7,642",N
III Q 2003,PLN,16507,660,408,63,1212,1872,106341,36573,"4780,000","0,013","7,651",N
IV Q 2001,PLN,14605,-1324,-1382,-694,297,-1027,92097,39599,"0,000",,,N
I Q 2002,PLN,6879,-135,-18,-51,569,434,95557,39548,"5000,000","-0,010","7,910",N
II Q 2002,PLN,14117,981,1056,634,834,1815,100995,40203,"5000,000","0,127","8,041",N
III Q 2002,PLN,17739,1173,124,157,1264,2437,101753,39674,"4780,000","0,033","8,300",N
IV Q 2000,PLN,0,0,0,0,0,0,67678,39103,"0,000",,,N
I Q 2001,PLN,17381,437,408,180,545,982,62541,41619,"0,000",,,N
II Q 2001,PLN,18106,-574,1708,1497,1051,477,72850,41486,"0,000",,,N
III Q 2001,PLN,12321,-330,-98,19,247,-83,78703,41456,"0,000",,,N
IV Q 1998,PLN,0,0,0,0,0,0,63036,38104,"0,000",,,N
II Q 1999,PLN,0,0,0,0,0,0,75407,40306,"0,000",,,N
IV Q 1999,PLN,0,0,0,0,0,0,97806,42912,"0,000",,,N
II Q 2000,PLN,0,0,0,0,0,0,80341,42856,"0,000",,,N
 Q 0000,PLN,102736,4465,7474,5844,1,4466,220112,48029,"3913,000","1,493","12,274",N
II Q 1998,,0,0,0,0,0,0,69635,34281,"0,000",,,N
