kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,20841,1695,4453,3490,934,2629,158004,81063,"56488,487","0,062","1,435",N
I Q 2023,PLN,20758,1065,4152,3284,918,1983,161631,84349,"56488,487","0,058","1,493",N
II Q 2023,PLN,23722,2577,5211,4031,893,3470,150990,75726,"56488,487","0,071","1,341",N
III Q 2023,PLN,25066,3657,6119,4652,933,4590,157198,80378,"56488,487","0,082","1,423",N
IV Q 2021,PLN,42296,15349,16904,13783,815,16164,196190,89589,"58834,238","0,234","1,523",N
I Q 2022,PLN,25590,6308,5449,4450,1152,7460,227146,93741,"58834,238","0,076","1,593",N
II Q 2022,PLN,23439,3357,4090,3252,1135,4492,186743,74667,"58834,238","0,055","1,269",N
III Q 2022,PLN,21200,3583,3716,2907,1082,4665,168382,77574,"58834,238","0,049","1,319",N
IV Q 2020,PLN,22617,11102,11702,9578,190,11292,87169,59883,"0,000",,,N
I Q 2021,PLN,11590,2146,4197,3652,220,2366,111142,86088,"60716,450","0,060","1,418",N
II Q 2021,PLN,13318,2785,4275,3547,229,3014,112387,89594,"60716,450","0,058","1,476",N
III Q 2021,PLN,15025,5289,5135,4114,265,5554,101644,75804,"60716,450","0,068","1,248",N
III Q 2020,PLN,11571,2001,3367,2782,240,2241,69490,50293,"57273,781","0,049","0,878",N
