kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
III Q 2020,PLN,16,106,1108,1107,8,114,5219,3161,"22353,000","0,050","0,141",N
III Q 2022,PLN,1340,-105,-105,-105,0,-105,0,0,"29543,000","-0,004","0,000",N
II Q 2023,PLN,0,0,0,0,0,0,14540,8636,"47075,222","0,000","0,183",N
III Q 2023,PLN,2187,-489,-1866,-2695,-38,-527,13122,6041,"47075,222","-0,057","0,128",N
III Q 2019,PLN,151,-376,-450,-462,1,-375,11442,5818,"223530,000","-0,002","0,026",N
IV Q 2019,PLN,288,-261,-3767,-3339,1,-260,6499,2476,"223530,000","-0,015","0,011",N
I Q 2020,PLN,63,-461,-408,-392,5,-456,6369,2167,"223530,000","-0,002","0,010",N
II Q 2020,PLN,-24,-638,-107,-126,-3,-641,6417,2060,"223530,000","-0,001","0,009",N
III Q 2018,PLN,22,-1124,78,94,1,-1123,15897,7759,"223530,000","0,000","0,035",N
IV Q 2018,PLN,266,-618,-310,-310,1,-617,14228,7608,"223530,000","-0,001","0,034",N
I Q 2019,PLN,23,-540,-650,-467,1,-539,15232,9451,"223530,000","-0,002","0,042",N
II Q 2019,PLN,176,-1462,-1048,-1048,1,-1461,11386,6229,"223530,000","-0,005","0,028",N
III Q 2017,PLN,169,-332,-387,-380,9,-323,31251,22289,"223530,000","-0,002","0,100",N
IV Q 2017,PLN,100,-513,-13980,-14076,7,-506,15032,7737,"223530,000","-0,063","0,035",N
I Q 2018,PLN,21,-492,20,39,1,-491,15585,7947,"223530,000","0,000","0,036",N
II Q 2018,PLN,198,-523,346,172,10,-513,15977,7667,"223530,000","0,001","0,034",N
III Q 2016,PLN,25,-584,-105,-101,8,-576,34931,26404,"223530,000","0,000","0,118",N
IV Q 2016,PLN,84,-549,-228,-832,7,-542,34820,25603,"223530,000","-0,004","0,115",N
I Q 2017,PLN,61,-446,-516,-513,7,-439,33762,25110,"223530,000","-0,002","0,112",N
II Q 2017,PLN,-1,-646,-3083,-2867,8,-638,31205,22648,"223530,000","-0,013","0,101",N
III Q 2015,PLN,2951,-1386,-551,-279,269,-1117,38246,29948,"223530,000","-0,001","0,134",N
IV Q 2015,PLN,3544,-1064,-4156,-3579,36,-1028,35183,26772,"223530,000","-0,016","0,120",N
I Q 2016,PLN,82,-554,-611,-658,7,-547,35508,28604,"223530,000","-0,003","0,128",N
II Q 2016,PLN,6,-674,-2293,-2156,7,-667,35617,26545,"223530,000","-0,010","0,119",N
III Q 2014,PLN,3656,-213,72,303,239,26,44744,34824,"223530,000","0,001","0,156",N
IV Q 2014,PLN,4108,-764,-2376,-2222,237,-527,43822,33256,"223530,000","-0,010","0,149",N
I Q 2015,PLN,7587,-549,-429,-408,230,-319,45382,32830,"223530,000","-0,002","0,147",N
II Q 2015,PLN,-7583,-490,-2159,-2001,-218,-708,38964,31724,"223530,000","-0,009","0,142",N
III Q 2013,PLN,2895,174,1241,1275,129,303,53355,40119,"223530,000","0,006","0,179",N
IV Q 2013,PLN,5195,5046,-222,-235,135,5181,50096,33765,"223530,000","-0,001","0,151",N
