kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,29821,-2186,-3372,-2935,2073,-113,233872,83510,"4318,701","-0,680","19,337",N
I Q 2023,PLN,30418,2467,769,876,2124,4591,250715,100300,"5385,367","0,163","18,625",N
II Q 2023,PLN,26507,-3563,-4811,-3968,2176,-1387,244160,96295,"5385,367","-0,737","17,881",N
III Q 2023,PLN,40108,4434,2560,2046,2185,6619,252414,98341,"5385,367","0,380","18,261",N
IV Q 2021,PLN,32896,2487,1788,1612,1991,4478,220860,92039,"4318,701","0,373","21,312",N
I Q 2022,PLN,27263,-1307,-2265,-1875,2068,761,231660,90163,"4318,701","-0,434","20,877",N
II Q 2022,PLN,30293,-17,-1431,-1186,2096,2079,236450,89585,"4318,701","-0,275","20,744",N
III Q 2022,PLN,29079,-958,-2725,-2513,2067,1109,250622,86701,"4318,701","-0,582","20,076",N
IV Q 2020,PLN,31957,-185,-568,-436,2253,2068,199413,92109,"4318,701","-0,101","21,328",N
I Q 2021,PLN,21344,-142,-663,-695,2233,2091,195862,91414,"4318,701","-0,161","21,167",N
II Q 2021,PLN,23954,-1715,-2283,-1820,2134,419,203452,89767,"4318,701","-0,421","20,786",N
III Q 2021,PLN,24443,1442,785,469,2010,3452,214938,90236,"4318,701","0,109","20,894",N
IV Q 2019,PLN,41126,2783,2219,2127,2222,5005,211202,94957,"4318,701","0,493","21,987",N
I Q 2020,PLN,25242,55,-700,-814,2262,2317,220714,94143,"4318,701","-0,188","21,799",N
II Q 2020,PLN,23499,-2239,-2685,-2525,2264,25,225597,92020,"4318,701","-0,585","21,307",N
III Q 2020,PLN,29837,1797,1278,1179,2268,4065,207417,92732,"4318,701","0,273","21,472",N
IV Q 2018,PLN,34332,2121,1913,1597,2199,4320,202208,94113,"4318,701","0,370","21,792",N
I Q 2019,PLN,24403,1013,382,194,2184,3197,203196,94307,"4318,701","0,045","21,837",N
II Q 2019,PLN,22857,-1207,-1692,-1510,2187,980,207950,92800,"4318,701","-0,350","21,488",N
III Q 2019,PLN,26647,1034,412,290,2245,3279,205299,93090,"4318,701","0,067","21,555",N
IV Q 2017,PLN,30596,1410,502,452,2106,3516,195697,94217,"4318,701","0,105","21,816",N
I Q 2018,PLN,29305,1057,649,416,2086,3143,195492,94703,"4318,701","0,096","21,929",N
II Q 2018,PLN,30700,-596,-1415,-1321,2227,1631,214056,92638,"4318,701","-0,306","21,450",N
III Q 2018,PLN,26979,573,61,79,2190,2763,213292,92716,"4318,701","0,018","21,468",N
IV Q 2016,PLN,35095,3152,2596,2073,2159,5311,205672,95112,"4318,701","0,480","22,023",N
I Q 2017,PLN,24073,-669,-1085,-943,2158,1489,197607,94169,"4318,701","-0,218","21,805",N
II Q 2017,PLN,25873,184,-581,-598,2020,2204,198849,92162,"4318,701","-0,138","21,340",N
III Q 2017,PLN,31257,2467,2211,1793,2077,4544,195973,93955,"4318,701","0,415","21,755",N
IV Q 2015,PLN,26160,3820,3303,2576,1946,5766,176894,92681,"4318,701","0,596","21,460",N
I Q 2016,PLN,20863,977,724,507,2111,3088,188418,93229,"4318,701","0,117","21,587",N
II Q 2016,PLN,28983,1686,997,854,2127,3813,195400,92687,"4318,701","0,198","21,462",N
III Q 2016,PLN,24224,1089,665,532,2137,3226,206308,93219,"4318,701","0,123","21,585",N
IV Q 2014,PLN,33227,3160,2491,1920,1733,4893,170030,89594,"4318,701","0,445","20,746",N
I Q 2015,PLN,16983,-61,122,152,1781,1720,169571,89784,"4318,701","0,035","20,790",N
II Q 2015,PLN,22468,-274,-978,-861,1865,1591,173524,88695,"4318,701","-0,199","20,537",N
III Q 2015,PLN,27368,2275,1993,1883,1941,4216,170215,90578,"4318,701","0,436","20,973",N
IV Q 2013,PLN,22453,34,-656,-179,1327,1361,176354,90607,"4318,701","-0,041","20,980",N
I Q 2014,PLN,21203,370,42,293,1685,2055,172196,90900,"4318,701","0,068","21,048",N
II Q 2014,PLN,18229,-1489,-2047,-1770,1668,179,159915,88282,"4318,701","-0,410","20,442",N
III Q 2014,PLN,18438,588,464,349,1636,2224,160004,88156,"4318,701","0,081","20,413",N
IV Q 2012,PLN,29670,2609,2712,2215,1875,4484,173269,90186,"4318,701","0,513","20,883",N
I Q 2013,PLN,26999,1615,1133,801,1690,3305,176754,90987,"4318,701","0,185","21,068",N
II Q 2013,PLN,26326,2246,1724,1629,1817,4063,182141,91054,"4318,701","0,377","21,084",N
III Q 2013,PLN,23294,-427,-342,-414,1851,1424,174022,90640,"4318,701","-0,096","20,988",N
IV Q 2011,PLN,34868,1397,1430,1630,1771,3168,167724,88696,"4318,701","0,377","20,538",N
I Q 2012,PLN,26279,2154,1768,1384,1727,3881,174943,90080,"4318,701","0,320","20,858",N
II Q 2012,PLN,29595,2247,1725,1490,1751,3998,179597,89075,"4318,701","0,345","20,625",N
III Q 2012,PLN,21636,-1182,-1373,-1302,1805,623,181782,87773,"4318,701","-0,301","20,324",N
IV Q 2010,PLN,25074,2899,1332,1056,1907,4806,153991,85610,"4318,701","0,245","19,823",N
I Q 2011,PLN,19577,813,990,474,2008,2821,157980,86084,"4318,701","0,110","19,933",N
II Q 2011,PLN,21312,-896,-1418,-961,2019,1123,164337,83321,"4318,701","-0,223","19,293",N
III Q 2011,PLN,30672,3230,3312,2257,1953,5183,0,0,"4318,701","0,523","0,000",N
IV Q 2009,PLN,23869,170,2342,1331,1755,1925,155479,85169,"4318,701","0,308","19,721",N
I Q 2010,PLN,19160,1682,669,778,1975,3657,152386,85956,"4318,701","0,180","19,903",N
II Q 2010,PLN,20458,1029,1006,120,1979,3008,154020,84630,"4318,701","0,028","19,596",N
III Q 2010,PLN,22088,440,-295,-81,1951,2391,0,0,"4318,701","-0,019","0,000",N
IV Q 2008,PLN,38746,4583,2497,805,1668,6251,156090,72238,"4318,701","0,186","16,727",N
I Q 2009,PLN,34286,6329,1520,1443,1621,7950,158119,72413,"4318,701","0,334","16,767",N
II Q 2009,PLN,34190,8800,1332,569,1734,10534,153782,79848,"4318,701","0,132","18,489",N
III Q 2009,PLN,18156,1901,-1226,-861,1765,3666,0,0,"4318,701","-0,199","0,000",N
IV Q 2007,PLN,28125,2291,1578,1471,1336,3627,144503,73078,"4318,701","0,341","16,921",N
I Q 2008,PLN,22976,223,1000,709,1479,1702,139203,73787,"4318,701","0,164","17,085",N
II Q 2008,PLN,26664,2021,887,919,1489,3510,144480,74709,"4318,701","0,213","17,299",N
III Q 2008,PLN,29356,352,531,365,1601,1953,0,0,"4318,701","0,085","0,000",N
IV Q 2006,PLN,24117,269,-208,-427,899,1168,109576,29219,"1439,567","-0,297","20,297",N
I Q 2007,PLN,19910,1438,1018,820,1193,2631,111456,30039,"1439,567","0,570","20,867",N
