kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,280491,19232,9419,4568,11842,31074,1411780,667970,"32560,000","0,140","20,515",N
I Q 2023,PLN,313471,26880,14090,8721,12302,39182,1449512,655362,"32560,000","0,268","20,128",N
II Q 2023,PLN,308380,26807,19621,12762,12543,39350,1454758,643485,"32560,000","0,392","19,763",N
III Q 2023,PLN,294614,24702,18200,9565,12610,37312,1449113,659917,"32560,000","0,294","20,268",N
IV Q 2021,PLN,252437,28434,28716,20116,9263,37697,1211039,582692,"32560,000","0,618","17,896",N
I Q 2022,PLN,309766,46085,51556,37869,9882,55967,1317826,622921,"32560,000","1,163","19,131",N
II Q 2022,PLN,318432,48935,54897,39561,10000,58935,1417254,640147,"32560,000","1,215","19,661",N
III Q 2022,PLN,309852,44757,38053,26842,10741,55498,1458479,673244,"32560,000","0,824","20,677",N
IV Q 2020,PLN,194736,15914,13148,9051,8558,24472,996715,478160,"32560,000","0,278","14,686",N
I Q 2021,PLN,225244,36633,33988,25029,8576,45209,1105559,509398,"32560,000","0,769","15,645",N
II Q 2021,PLN,261867,45821,46662,37069,9083,54904,1172754,529631,"32560,000","1,138","16,266",N
III Q 2021,PLN,272298,49274,44278,29980,9005,58279,1227146,563259,"32560,000","0,921","17,299",N
IV Q 2019,PLN,181179,5880,3968,937,8774,14654,974365,434761,"32560,000","0,029","13,353",N
I Q 2020,PLN,201724,15676,11575,7952,8684,24360,1019048,448968,"32560,000","0,244","13,789",N
II Q 2020,PLN,181714,20109,18076,13933,8661,28770,990290,457632,"32560,000","0,428","14,055",N
III Q 2020,PLN,209454,28306,25760,19120,8757,37063,1014628,465533,"32560,000","0,587","14,298",N
IV Q 2018,PLN,184581,4847,1063,1415,7292,12139,976331,422339,"32560,000","0,043","12,971",N
I Q 2019,PLN,208497,16284,14009,10111,7764,24048,1022080,433757,"32560,000","0,311","13,322",N
II Q 2019,PLN,216337,16989,14814,10398,7940,24929,998191,428905,"32560,000","0,319","13,173",N
III Q 2019,PLN,207713,16787,13522,9063,8318,25105,1006056,442319,"32560,000","0,278","13,585",N
IV Q 2017,PLN,165213,11420,4722,-508,6195,17615,868846,395958,"32560,000","-0,016","12,161",N
I Q 2018,PLN,178224,13566,11346,7538,6156,19722,913720,404161,"32560,000","0,232","12,413",N
II Q 2018,PLN,206647,22422,19937,12818,6905,29327,971464,409843,"32560,000","0,394","12,587",N
III Q 2018,PLN,206049,20416,17910,12629,7026,27442,976484,419642,"32560,000","0,388","12,888",N
IV Q 2016,PLN,145958,1465,-1559,-584,6314,7779,852450,390015,"32560,000","-0,018","11,978",N
I Q 2017,PLN,167327,12248,11325,8702,6172,18420,865932,391216,"32560,000","0,267","12,015",N
II Q 2017,PLN,186650,14445,11987,8922,6131,20576,895384,388201,"32560,000","0,274","11,923",N
III Q 2017,PLN,189366,19205,17080,11703,6065,25270,920841,401685,"32560,000","0,359","12,337",N
IV Q 2015,PLN,149140,1800,-678,-1079,6437,8237,794299,368853,"32560,000","-0,033","11,328",N
I Q 2016,PLN,175540,16435,13326,9980,6146,22581,835498,375723,"32560,000","0,307","11,539",N
II Q 2016,PLN,191453,18435,15773,11941,6448,24883,871060,380382,"32560,000","0,367","11,682",N
III Q 2016,PLN,177405,16619,14268,10715,5921,22540,846944,385628,"32560,000","0,329","11,844",N
IV Q 2014,PLN,138419,-130,-327,6649,6419,6289,787309,354924,"32560,000","0,204","10,901",N
I Q 2015,PLN,162233,6316,4087,2574,6304,12620,802903,357525,"32560,000","0,079","10,980",N
II Q 2015,PLN,178366,13925,11595,8815,6326,20251,819711,358439,"32560,000","0,271","11,009",N
III Q 2015,PLN,182976,17513,14084,10556,6410,23923,819917,368571,"32560,000","0,324","11,320",N
IV Q 2013,PLN,140151,1220,-2336,-2818,6411,7631,750583,347614,"32560,000","-0,087","10,676",N
I Q 2014,PLN,156569,6709,4118,1576,6246,12955,771026,348950,"32560,000","0,048","10,717",N
II Q 2014,PLN,174140,5635,1608,-1096,6302,11937,807705,337950,"32560,000","-0,034","10,379",N
III Q 2014,PLN,170351,12605,9488,6856,6466,19071,795440,346331,"32560,000","0,211","10,637",N
IV Q 2012,PLN,131278,-4475,-7660,-6280,6578,2103,727005,337137,"32560,000","-0,193","10,354",N
I Q 2013,PLN,135605,3349,316,-608,6371,9720,754014,337614,"32560,000","-0,019","10,369",N
II Q 2013,PLN,168845,11522,6746,4592,6294,17816,784023,346679,"32560,000","0,141","10,647",N
