kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,4338449,780616,3703005,1656008,1191990,134239,258620665,30103379,"102189,314","294,584","11,665",N
II Q 2023,PLN,4546302,854935,3824547,1556200,1130226,141537,263777159,31576764,"102189,314","309,003","11,060",N
III Q 2023,PLN,4804931,817603,4167157,2124425,1528770,143923,278049339,33382480,"102189,314","326,673","14,960",N
IV Q 2023,PLN,4720076,878407,4128669,1513388,980121,149780,276651885,31762645,"102189,314","310,822","9,591",N
I Q 2022,PLN,2462698,794243,2949595,1426064,959532,132556,245938512,25276736,"102189,314","247,352","9,390",N
II Q 2022,PLN,3438855,782283,3477670,1046630,656858,131135,246504606,26773030,"102189,314","261,994","6,428",N
III Q 2022,PLN,2589494,805788,2291219,531231,279383,129851,263395142,27106503,"102189,314","265,258","2,734",N
IV Q 2022,PLN,4047537,790903,3445342,1349022,903325,130043,257517225,26668093,"102189,314","260,968","8,840",N
I Q 2021,PLN,1482078,717493,2086906,361526,151753,147927,238243006,27384381,"102189,314","267,977","1,485",N
II Q 2021,PLN,1503872,720477,2208456,430884,222544,143758,231378541,27284247,"102189,314","266,997","2,178",N
III Q 2021,PLN,1532526,758226,2180424,817488,543829,144256,233653251,27278905,"102189,314","266,945","5,322",N
IV Q 2021,PLN,1843809,776357,2449502,447930,193558,143029,243017264,25531680,"102189,314","249,847","1,894",N
I Q 2020,PLN,2050090,661836,2207695,384954,170934,152302,215899523,25635076,"102088,305","251,107","1,674",N
II Q 2020,PLN,1748376,603635,2056256,504920,304853,146710,221609230,26317842,"102088,305","257,795","2,986",N
III Q 2020,PLN,1538368,668754,2093660,729427,479834,146233,222833964,26826490,"102189,314","262,518","4,696",N
IV Q 2020,PLN,1529697,704582,2113748,261596,81546,148350,229311309,26994750,"102189,314","264,164","0,798",N
I Q 2019,PLN,2081699,629803,2210196,604190,339007,152581,208266363,25464252,"102088,305","249,434","3,321",N
II Q 2019,PLN,2116449,661065,2334979,876914,596465,157218,205826460,24202134,"102088,305","237,071","5,843",N
III Q 2019,PLN,2166156,662229,2352670,1006936,695841,157547,204072985,24937399,"102088,305","244,273","6,816",N
IV Q 2019,PLN,2097532,694952,2310741,756556,507034,160829,209476166,25431987,"102088,305","249,118","4,967",N
I Q 2018,PLN,1688501,603973,1907904,715357,440899,82536,157556422,22234904,"0,000",,,N
II Q 2018,PLN,1736743,649627,2110439,915590,651285,79866,168517212,22577440,"0,000",,,N
III Q 2018,PLN,1805709,608742,2029122,786343,505929,82093,177399883,23057026,"99333,481","232,117","5,093",N
IV Q 2018,PLN,1982843,664230,2034812,1006994,765241,88975,206656303,25030517,"102088,305","245,185","7,496",N
I Q 2017,PLN,1559802,582576,1806326,740028,453044,74269,146378295,20358513,"99234,534","205,156","4,565",N
II Q 2017,PLN,1620968,620824,1920706,933996,651111,77840,149766718,20615108,"99234,534","207,741","6,561",N
III Q 2017,PLN,1663808,667457,1928112,821278,559908,82167,150424368,21294117,"0,000",,,N
IV Q 2017,PLN,1684729,655957,1957928,839919,548991,84657,152674444,21907220,"0,000",,,N
I Q 2016,PLN,1461977,577347,1798842,769225,556473,65313,137785835,20072679,"99234,534","202,275","5,608",N
II Q 2016,PLN,1479026,575852,2077327,1004704,723492,68847,142248818,19217715,"99234,534","193,660","7,291",N
III Q 2016,PLN,1527630,613910,1770805,637089,425933,68350,142038919,19658004,"99234,534","198,096","4,292",N
IV Q 2016,PLN,1592287,621355,1818394,711036,460949,74710,150099716,19780827,"99234,534","199,334","4,645",N
I Q 2015,PLN,1453759,557141,2300581,1354270,1035766,66682,131422610,18118102,"99234,534","182,579","10,438",N
II Q 2015,PLN,1383688,594171,1713047,749618,541644,62079,133050314,18403783,"99234,534","185,457","5,458",N
III Q 2015,PLN,1412765,588070,1648674,669823,472721,61651,135062349,18772246,"99234,534","189,170","4,764",N
IV Q 2015,PLN,1458617,618690,1714214,404581,277142,66149,139708700,19392029,"99234,534","195,416","2,793",N
I Q 2014,PLN,1237445,522437,1342002,571079,449492,70655,112084295,14310590,"93545,089","152,981","4,805",N
II Q 2014,PLN,1264648,524621,1453169,634170,504088,70480,107590333,14051563,"93545,089","150,212","5,389",N
III Q 2014,PLN,1643323,578507,1705968,732522,515901,82449,130387841,16207510,"99234,534","163,325","5,199",N
IV Q 2014,PLN,1577627,585767,1760870,702270,445230,84438,134501874,16530895,"99234,534","166,584","4,487",N
I Q 2013,PLN,1388562,499845,1326160,476476,373616,56989,103516594,13717216,"93545,089","146,637","3,994",N
II Q 2013,PLN,1329375,518411,1420494,520654,419487,57420,101348904,13181818,"93545,089","140,914","4,484",N
III Q 2013,PLN,1256948,527242,1470451,684865,537379,53563,105965265,13671776,"93545,089","146,152","5,745",N
IV Q 2013,PLN,1240318,543924,1799149,832722,651846,51349,106059967,13872088,"93545,089","148,293","6,968",N
I Q 2012,PLN,943861,381059,929730,410710,314150,36865,59009817,7722357,"73076,013","105,676","4,299",N
II Q 2012,PLN,946170,391954,1045328,478026,380440,33417,59336115,7607908,"73076,013","104,110","5,206",N
III Q 2012,PLN,983491,400582,986205,431288,334738,34102,59872077,8316407,"74637,631","111,424","4,485",N
IV Q 2012,PLN,993963,422443,1125345,517015,404519,33556,60019177,8884367,"74637,631","119,033","5,420",N
I Q 2011,PLN,794387,386330,871974,353465,270216,35900,65319812,6854209,"73076,013","93,796","3,698",N
II Q 2011,PLN,826526,397919,995185,468813,370861,35716,55474803,6735002,"73076,013","92,164","5,075",N
III Q 2011,PLN,877099,390460,981976,439662,344857,34466,0,0,"73076,013","0,000","4,719",N
IV Q 2011,PLN,915721,383955,924011,280490,198413,109793,59796643,7355575,"73076,013","100,656","2,715",N
I Q 2010,PLN,788453,386024,832923,348659,233479,31838,56279398,6196601,"73076,013","84,797","3,195",N
II Q 2010,PLN,781882,399929,897691,333335,250109,31838,53583819,6130530,"73076,013","83,893","3,423",N
III Q 2010,PLN,767560,373090,851101,307801,222916,32356,0,0,"73076,013","0,000","3,050",N
IV Q 2010,PLN,792406,396460,910220,367386,267719,32735,53153871,6623056,"73076,013","90,632","3,664",N
I Q 2009,PLN,855477,362589,725416,161638,119004,30123,59480505,5123178,"72960,284","70,219","1,631",N
II Q 2009,PLN,785811,382396,838971,321479,254157,30328,56492639,5386193,"72960,284","73,824","3,483",N
III Q 2009,PLN,795991,401845,815615,340470,260979,31062,56378802,5670214,"73076,013","77,593","3,571",N
IV Q 2009,PLN,788809,392173,862854,342839,254836,31960,54065025,5928132,"73076,013","81,123","3,487",N
I Q 2008,PLN,688473,406513,744712,348525,243101,23979,44881138,4591185,"72960,284","62,927","3,332",N
II Q 2008,PLN,769707,420446,875179,439480,324437,26579,46935807,4607903,"72960,284","63,156","4,447",N
III Q 2008,PLN,844215,397528,804865,342179,247062,28052,48412958,5003295,"72960,284","68,576","3,386",N
IV Q 2008,PLN,929729,389583,765228,80396,40846,28721,57433069,4972569,"72960,284","68,154","0,560",N
I Q 2007,PLN,455458,421693,678444,366413,260612,33610,35268159,4214920,"72960,284","57,770","3,572",N
II Q 2007,PLN,489207,447214,771913,412331,297984,34488,35227004,3996275,"72960,284","54,773","4,084",N
III Q 2007,PLN,544539,449276,735777,343509,225657,37329,38452354,4215569,"72960,284","57,779","3,093",N
IV Q 2007,PLN,609661,467807,754430,269191,170442,29175,41318736,4341527,"72960,284","59,505","2,336",N
I Q 2006,PLN,395890,272844,545314,239099,175389,45854,29551161,3567927,"72960,284","48,902","2,404",N
II Q 2006,PLN,406106,361231,647563,332361,248515,40570,30619043,1425426,"72960,284","19,537","3,406",N
III Q 2006,PLN,413650,329178,564346,255816,169542,36889,30361372,3465683,"72960,284","47,501","2,324",N
IV Q 2006,PLN,439126,369537,608009,238222,164776,35504,32992183,3960001,"72960,284","54,276","2,258",N
I Q 2005,PLN,422483,192967,437073,156699,119263,47507,28405094,1415043,"72960,284","19,395","1,635",N
II Q 2005,PLN,418936,205501,488364,194609,161939,46809,29306609,1194527,"72960,284","16,372","2,220",N
III Q 2005,PLN,420027,227787,472352,180345,131578,46140,30475870,1291904,"72960,284","17,707","1,803",N
IV Q 2005,PLN,408893,232986,495231,157803,103535,46025,29310677,3381518,"72960,284","46,347","1,419",N
I Q 2004,PLN,346973,175195,473693,151043,124894,52739,24158058,1089786,"72960,284","14,937","1,712",N
II Q 2004,PLN,349036,183970,486280,147343,122577,49991,26058623,1102265,"72960,284","15,108","1,680",N
III Q 2004,PLN,382950,190959,433117,129677,96045,49796,26558808,1225179,"72960,284","16,792","1,316",N
IV Q 2004,PLN,420251,222444,438623,143120,95850,46878,27545770,1317768,"72960,284","18,061","1,314",N
I Q 2003,PLN,370499,143207,405960,71416,48427,55356,24704061,2559902,"72960,284","35,086","0,664",N
II Q 2003,PLN,352543,154353,418573,88465,61079,59408,25142255,2567616,"72960,284","35,192","0,837",N
III Q 2003,PLN,357859,169673,407816,69230,37468,49936,25255661,2586765,"72960,284","35,454","0,514",N
IV Q 2003,PLN,341198,171537,399514,31258,-18101,83145,24157567,2542712,"72960,284","34,851","-0,248",N
I Q 2002,PLN,503215,127526,409704,93843,71915,33065,25485009,2370073,"72960,284","32,484","0,986",N
