kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,EUR,23889000,4152000,13431000,3832000,2571000,0,1749402000,90563000,"16453995,012","5,504","0,156",N
II Q 2023,EUR,26033000,4125000,13087000,4258000,2670000,0,1780493000,93469000,"16184146,059","5,775","0,165",N
III Q 2023,EUR,28220000,4170000,14614000,4447000,2902000,0,1816844000,94196000,"16184146,059","5,820","0,179",N
IV Q 2023,EUR,27110000,3874000,14964000,3922000,2933000,0,1797062000,95423000,"16184146,059","5,896","0,181",N
I Q 2022,EUR,13972000,3747000,13554000,4171000,2543000,0,1666012000,90390000,"17080711,029","5,292","0,149",N
II Q 2022,EUR,16897000,4045000,11916000,3744000,2351000,0,1722840000,89511000,"16794401,584","5,330","0,140",N
III Q 2022,EUR,19449000,4094000,13508000,3846000,2422000,0,1815792000,91024000,"16794401,584","5,420","0,144",N
IV Q 2022,EUR,21112000,3981000,12252000,3489000,2289000,0,1734659000,89104000,"16794401,584","5,306","0,136",N
I Q 2021,EUR,10753000,3306000,11502000,3102000,1608000,0,1562879000,82466000,"16618114,582","4,962","0,097",N
II Q 2021,EUR,11180000,3370000,9681000,3812000,2067000,0,1568636000,85371000,"16618114,582","5,137","0,124",N
III Q 2021,EUR,11696000,3456000,11296000,3802000,2174000,0,1578295000,85388000,"16618114,582","5,138","0,131",N
IV Q 2021,EUR,12834000,3680000,11227000,3831000,2275000,0,1595835000,86930000,"16618114,582","5,231","0,137",N
I Q 2020,EUR,13208000,3765000,15345000,1891000,331000,0,1540359000,96378000,"16618114,582","5,800","0,020",N
II Q 2020,EUR,11291000,2951000,7960000,-8301000,-11129000,0,1572881000,82262000,"16618114,582","4,950","-0,670",N
III Q 2020,EUR,10632000,3110000,12916000,3139000,1750000,0,1514242000,81746000,"16618114,582","4,919","0,105",N
IV Q 2020,EUR,10610000,3198000,8024000,1195000,277000,0,1508250000,81476000,"16618114,582","4,903","0,017",N
I Q 2019,EUR,14280000,3746000,11390000,3602000,1840000,0,1506151000,98845000,"16236573,942","6,088","0,113",N
II Q 2019,EUR,14389000,3756000,10867000,2929000,1391000,0,1512096000,98629000,"16236573,942","6,074","0,086",N
III Q 2019,EUR,14089000,3893000,12354000,2181000,501000,0,1517885000,97947000,"16618114,582","5,894","0,030",N
IV Q 2019,EUR,14027000,3954000,13016000,3831000,2783000,0,1522695000,100071000,"16618114,582","6,022","0,167",N
I Q 2018,EUR,13340000,3738000,11619000,3689000,2054000,0,1438470000,94968000,"16040573,446","5,920","0,128",N
II Q 2018,EUR,0,0,11772000,3791000,1998000,0,1433833000,94050000,"16040573,446","5,863","0,125",N
III Q 2018,EUR,0,0,11494000,3750000,1990000,0,1444687000,94977000,"16040573,446","5,921","0,124",N
IV Q 2018,EUR,0,0,12455000,3546000,2022000,0,1459271000,96472000,"16236573,942","5,942","0,125",N
I Q 2017,EUR,0,0,11818000,3311000,1867000,0,1351956000,92584000,"12840461,578","7,210","0,145",N
II Q 2017,EUR,0,0,11808000,3273000,1749000,0,1445261000,88768000,"12840461,578","6,913","0,136",N
