kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,30000,6842,3949,6332,5555,12397,120932,-72311,"37941,054","0,167","-1,906",N
I Q 2023,PLN,26645,1746,-750,-441,3601,5347,121663,-70777,"37941,054","-0,012","-1,865",N
II Q 2023,PLN,23676,1786,807,754,2113,3899,121030,-70210,"37941,054","0,020","-1,851",N
III Q 2023,PLN,25388,1940,-2634,-2815,3271,5211,123209,-73025,"37941,054","-0,074","-1,925",N
IV Q 2021,PLN,22658,-7580,-11315,-11640,3691,-3889,129552,-99670,"32199,512","-0,361","-3,095",N
I Q 2022,PLN,21622,-263,-5907,-4341,3551,3288,133080,-101942,"32199,512","-0,135","-3,166",N
II Q 2022,PLN,23047,19275,22797,21686,2167,21442,124150,-74459,"32199,512","0,673","-2,312",N
III Q 2022,PLN,25904,2389,-2240,-2195,2807,5196,120063,-76654,"37941,054","-0,058","-2,020",N
IV Q 2020,PLN,8565,-15607,-21124,-29443,4621,-10986,158092,-80098,"32199,512","-0,914","-2,488",N
I Q 2021,PLN,4761,-5437,-8511,-8192,4522,-915,150116,-88286,"32199,512","-0,254","-2,742",N
II Q 2021,PLN,11781,-6912,1516,1106,4327,-2585,157718,-87176,"32199,512","0,034","-2,707",N
III Q 2021,PLN,24696,3385,-1129,-854,3554,6939,144687,-88030,"32199,512","-0,027","-2,734",N
IV Q 2019,PLN,43086,-788,-2979,-3030,7509,6721,269456,-18233,"32199,512","-0,094","-0,566",N
I Q 2020,PLN,31617,-8301,-17052,-14565,7577,-724,254535,-32785,"32199,512","-0,452","-1,018",N
II Q 2020,PLN,11056,-12458,-14692,-14367,6380,-6078,212023,-47624,"32199,512","-0,446","-1,479",N
III Q 2020,PLN,26098,1326,-2256,-3045,5386,6712,189766,-50663,"32199,512","-0,095","-1,573",N
IV Q 2018,PLN,47127,741,-824,-1444,2299,3040,142188,2175,"31099,512","-0,046","0,070",N
I Q 2019,PLN,39108,967,-3142,-2577,8133,9100,317406,-5610,"31099,512","-0,083","-0,180",N
II Q 2019,PLN,42542,256,-2837,-2582,8440,8696,312480,-8163,"31099,512","-0,083","-0,262",N
III Q 2019,PLN,45621,-3626,-9729,-8222,8304,4678,298113,-16373,"31099,512","-0,264","-0,526",N
IV Q 2017,PLN,46987,-8943,-10266,-9223,2770,-6173,131717,6738,"30666,180","-0,301","0,220",N
I Q 2018,PLN,41653,-465,-1840,-1531,2209,1744,136086,5609,"30666,180","-0,050","0,183",N
II Q 2018,PLN,44203,-344,-1787,-1513,2208,1864,139804,3967,"31099,512","-0,049","0,128",N
III Q 2018,PLN,48628,1341,-211,-194,2303,3644,138065,3836,"31099,512","-0,006","0,123",N
IV Q 2016,PLN,0,0,0,0,0,0,129835,15919,"30666,180","0,000","0,519",N
I Q 2017,PLN,43844,-670,-2058,-1722,2679,2009,127113,14335,"30666,180","-0,056","0,467",N
II Q 2017,PLN,46111,1501,752,559,2649,4150,125111,14691,"30666,180","0,018","0,479",N
III Q 2017,PLN,50132,2900,1617,1171,2650,5550,123291,15870,"30666,180","0,038","0,518",N
 Q 2016,PLN,46187,280,8126,4575,2608,2888,114392,8550,"30252,842","0,151","0,283",N
 Q 2016,PLN,45017,3629,2365,1800,2510,6139,118480,10890,"30252,842","0,059","0,360",N
 Q 2016,PLN,52571,2429,1338,1270,2794,5223,120416,11739,"30252,842","0,042","0,388",N
 Q 2016,PLN,48236,-753,-1986,-2980,2675,1922,123485,10199,"30666,180","-0,097","0,333",N
II Q 2015,PLN,256928,25346,20872,37233,12897,38243,104336,-12566,"26752,842","1,392","-0,470",N
II Q 2015,PLN,42514,2330,1682,1678,2170,4500,104336,-12566,"26752,842","0,063","-0,470",N
III Q 2015,PLN,303801,27361,22279,37980,15332,42693,107010,-11672,"26752,842","1,420","-0,436",N
III Q 2015,PLN,46873,2015,1407,746,2435,4450,107010,-11672,"26752,842","0,028","-0,436",N
III Q 2014,PLN,44433,2596,1689,1700,2170,4766,65581,-48586,"26752,842","0,064","-1,816",N
IV Q 2014,PLN,44025,13921,13802,31972,2029,15950,98312,-15495,"26752,842","1,195","-0,579",N
I Q 2015,PLN,43556,4074,3150,971,2072,6146,96867,-14388,"26752,842","0,036","-0,538",N
I Q 2015,PLN,214414,23016,19190,35555,10727,33743,96867,-14388,"26752,842","1,329","-0,538",N
III Q 2013,PLN,44940,2010,722,41,2289,4299,69348,-54562,"26516,000","0,002","-2,058",N
IV Q 2013,PLN,45661,288,405,548,2297,2585,70683,-53776,"26752,842","0,020","-2,010",N
I Q 2014,PLN,41173,1741,755,869,2300,4041,63155,-50955,"26752,842","0,032","-1,905",N
II Q 2014,PLN,41227,1079,189,43,2156,3235,65452,-50602,"26752,842","0,002","-1,891",N
III Q 2012,PLN,44215,730,-924,-2004,2640,3370,69739,-54911,"22105,626","-0,091","-2,484",N
IV Q 2012,PLN,43260,1179,-888,-3061,2225,3404,65212,-55918,"22105,626","-0,138","-2,530",N
I Q 2013,PLN,40143,-154,-1568,-2219,2203,2049,68490,-55136,"22105,626","-0,100","-2,494",N
II Q 2013,PLN,45821,762,-603,-2107,2383,3145,69702,-54554,"26516,000","-0,079","-2,057",N
III Q 2011,PLN,44505,-201,-1756,-2437,2765,2564,93006,-35645,"22105,626","-0,110","-1,612",N
IV Q 2011,PLN,43666,-5610,-7419,-7255,2694,-2916,79808,-43111,"22105,626","-0,328","-1,950",N
I Q 2012,PLN,41008,-1505,-3242,-4463,2863,1358,73401,-46438,"22105,626","-0,202","-2,101",N
II Q 2012,PLN,42633,-4059,-4898,-5406,2694,-1365,72242,-52872,"22105,626","-0,245","-2,392",N
III Q 2010,PLN,43433,-6260,-8059,-9161,2848,-3412,85474,-50734,"14889,406","-0,615","-3,407",N
IV Q 2010,PLN,42837,-9143,-12769,-13637,3397,-5746,77053,-63868,"14889,406","-0,916","-4,289",N
I Q 2011,PLN,41017,-818,-2621,-3740,2691,1873,76080,-68609,"14889,406","-0,251","-4,608",N
II Q 2011,PLN,42515,-3313,-5499,-5602,2708,-605,94331,-48589,"14889,406","-0,376","-3,263",N
III Q 2009,PLN,45443,-6844,-9022,-10308,6108,-736,116875,-49731,"9280,951","-1,111","-5,358",N
IV Q 2009,PLN,38282,-16621,-21148,-17079,4024,-12597,89578,-81959,"9280,951","-1,840","-8,831",N
I Q 2010,PLN,38031,-6105,-9078,-9920,3819,-2286,100458,-66070,"9280,951","-1,069","-7,119",N
II Q 2010,PLN,37262,-6489,-6987,-7169,2140,-4349,93047,-41549,"14889,406","-0,481","-2,791",N
III Q 2008,PLN,55619,1249,-733,-2402,4341,5590,173780,57796,"9280,951","-0,259","6,227",N
IV Q 2008,PLN,54264,-69407,-77470,-69620,4134,-65273,126932,-15895,"9280,951","-7,501","-1,713",N
I Q 2009,PLN,47846,-2578,-8643,-9733,4837,2259,121131,-26203,"9280,951","-1,049","-2,823",N
II Q 2009,PLN,42888,-1266,-8200,-12247,3510,2244,127161,-39799,"9280,951","-1,320","-4,288",N
III Q 2007,PLN,50662,4743,3864,2098,3449,8192,141368,64298,"9280,951","0,226","6,928",N
IV Q 2007,PLN,51173,-2764,-4644,-5605,3356,592,151696,55763,"9280,951","-0,604","6,008",N
I Q 2008,PLN,50891,5134,3837,1568,4186,9320,172739,63033,"9280,951","0,169","6,792",N
II Q 2008,PLN,53078,3871,3022,921,3724,7595,173782,60173,"9280,951","0,099","6,483",N
III Q 2006,PLN,45309,6320,5566,3486,2571,8891,120311,42102,"8780,951","0,397","4,795",N
IV Q 2006,PLN,39084,5427,4204,2749,3065,8492,122003,44852,"8780,951","0,313","5,108",N
I Q 2007,PLN,41324,5272,4464,2804,2850,8122,120514,47684,"8780,951","0,319","5,430",N
II Q 2007,PLN,45276,3726,2957,1312,3741,7467,140388,55600,"8780,951","0,149","6,332",N
III Q 2005,PLN,30430,5106,4638,3298,0,5106,71032,32050,"8780,951","0,376","3,650",N
IV Q 2005,PLN,31472,2920,1932,802,2881,5801,77633,32852,"8780,951","0,091","3,741",N
I Q 2006,PLN,31757,3745,3410,1984,0,3745,79331,36359,"8780,951","0,226","4,141",N
II Q 2006,PLN,39318,6253,5507,3510,2773,9026,114967,38616,"8780,951","0,400","4,398",N
III Q 2004,PLN,28996,4229,3900,2235,0,4229,58548,8781,"8780,951","0,255","1,000",N
IV Q 2004,PLN,20821,2262,1489,512,0,2262,63964,25471,"8780,951","0,058","2,901",N
I Q 2005,PLN,24433,2405,2009,889,0,2405,59144,27915,"8780,951","0,101","3,179",N
II Q 2005,PLN,31990,4293,3704,2119,0,4293,69674,28278,"8780,951","0,241","3,220",N
III Q 2003,PLN,7580,2199,1958,1391,0,2199,37283,8781,"8780,951","0,158","1,000",N
IV Q 2003,PLN,6805,-992,-2438,-1957,0,-992,42618,20731,"8780,951","-0,223","2,361",N
I Q 2004,PLN,19262,2274,1957,888,0,2274,48589,23220,"8780,951","0,101","2,644",N
II Q 2004,PLN,26241,3020,2678,1393,0,3020,52740,23013,"8780,951","0,159","2,621",N
II Q 2002,,880372,116218,99057,81603,3548,119766,2098317,1120753,"11335,454","7,199","98,871",N
IV Q 2002,,0,0,0,0,0,0,28370,8360,"6318,424","0,000","1,323",N
I Q 2003,,4937,586,464,322,0,586,29663,8682,"6318,424","0,051","1,374",N
II Q 2003,,6410,1782,1660,1115,0,1782,33654,21297,"8780,951","0,127","2,425",N
II Q 2001,,765139,21756,-21762,-16508,3548,25304,2124285,453793,"7392,686","-2,233","61,384",N
III Q 2001,,776213,56581,4545,-3177,3548,60129,1998869,450616,"7392,686","-0,430","60,954",N
IV Q 2001,,597649,-27567,-56162,-53531,3548,-24019,1957683,1051585,"11335,454","-4,722","92,770",N
I Q 2002,,559201,19629,2655,-635,3548,23177,1954476,1030233,"11335,454","-0,056","90,886",N
 Q 0000,,6410,1782,1660,1115,1072,2854,33654,21297,"6318,424","0,176","3,371",N
I Q 2001,,491014,13933,-34316,-32068,3548,17481,1899364,488830,"7392,686","-4,338","66,123",N
