kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,924,-5771,-6337,-6260,230,-5541,27863,13096,"6250,000","-1,002","2,095",N
I Q 2023,PLN,1157,578,613,582,317,895,27959,13678,"6250,000","0,093","2,188",N
II Q 2023,PLN,3777,712,-1153,-2235,498,1210,26931,11444,"6250,000","-0,358","1,831",N
III Q 2023,PLN,3041,5025,7124,5019,-168,4857,31090,13147,"6250,000","0,803","2,104",N
IV Q 2021,PLN,2943,1642,1617,1957,255,1897,21068,13369,"6250,000","0,313","2,139",N
I Q 2022,PLN,2468,1422,1413,1599,315,1737,26882,17642,"6250,000","0,256","2,823",N
II Q 2022,PLN,2433,545,718,309,527,1072,32018,21752,"6250,000","0,049","3,480",N
III Q 2022,PLN,381,184,1786,1010,221,405,33616,19357,"6250,000","0,162","3,097",N
IV Q 2020,PLN,4582,1763,1875,1899,254,2017,17358,12029,"6250,000","0,304","1,925",N
I Q 2021,PLN,2093,958,988,901,255,1213,16697,11950,"6250,000","0,144","1,912",N
II Q 2021,PLN,2457,704,576,198,255,959,18266,12338,"6250,000","0,032","1,974",N
III Q 2021,PLN,1483,382,494,342,250,632,18464,11180,"6250,000","0,055","1,789",N
IV Q 2019,PLN,1332,312,311,283,1,313,3422,2260,"6250,000","0,045","0,362",N
I Q 2020,PLN,1278,200,199,178,1,201,3746,2442,"6250,000","0,028","0,391",N
II Q 2020,PLN,1868,13,-36,74,2,15,3981,2823,"6250,000","0,012","0,452",N
III Q 2020,PLN,2777,2618,2634,2488,332,2950,11951,8210,"6250,000","0,398","1,314",N
II Q 2019,PLN,399,83,82,72,0,83,2266,1904,"6250,000","0,012","0,305",N
III Q 2019,PLN,675,106,108,72,0,106,2557,1976,"6250,000","0,012","0,316",N
