kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,86,-59,-1462,-1400,32,-27,54676,47753,"23321,000","-0,060","2,048",N
I Q 2023,PLN,4,-396,-399,-391,31,-365,54266,47362,"23321,000","-0,017","2,031",N
II Q 2023,PLN,4,612,597,603,33,645,54833,47965,"23321,000","0,026","2,057",N
III Q 2023,PLN,4,-402,-406,-401,30,-372,54435,47564,"23321,000","-0,017","2,040",N
IV Q 2021,PLN,18,-1275,3980,4193,38,-1237,58606,51361,"23321,000","0,180","2,202",N
I Q 2022,PLN,26,-332,-373,-388,25,-307,58135,50973,"23321,000","-0,017","2,186",N
II Q 2022,PLN,42,-353,-1394,-1193,31,-322,57188,49780,"23321,000","-0,051","2,135",N
III Q 2022,PLN,11,-583,-623,-627,30,-553,56036,49153,"23321,000","-0,027","2,108",N
IV Q 2020,PLN,17,11160,9098,8480,0,11160,86785,47673,"23321,000","0,364","2,044",N
I Q 2021,PLN,124,498,441,453,35,533,62796,53281,"23321,000","0,019","2,285",N
II Q 2021,PLN,81,2708,-566,-598,-10,2698,59592,52801,"23321,000","-0,026","2,264",N
III Q 2021,PLN,54,-338,-388,-516,-3,-341,59409,52416,"23321,000","-0,022","2,248",N
IV Q 2019,PLN,1040,-1053,-2393,-1380,813,-240,84353,47357,"23321,000","-0,059","2,031",N
I Q 2020,PLN,1440,-4178,-4455,-4447,35,-4143,80940,43354,"23321,000","-0,191","1,859",N
II Q 2020,PLN,-1400,-625,-881,-876,0,-625,80327,42753,"23321,000","-0,038","1,833",N
III Q 2020,PLN,21,578,-592,-586,0,578,80421,42171,"23321,000","-0,025","1,808",N
IV Q 2018,PLN,1621,-11327,20457,16554,498,-10829,89651,51074,"23321,000","0,710","2,190",N
I Q 2019,PLN,1924,-316,-555,-533,399,83,88179,50528,"23321,000","-0,023","2,167",N
II Q 2019,PLN,0,0,0,0,471,471,88179,50528,"23321,000","0,000","2,167",N
III Q 2019,PLN,2167,-1318,-1889,-1907,-56,-1374,86709,48737,"23321,000","-0,082","2,090",N
IV Q 2017,PLN,573,13967,12039,8930,15,13982,73069,45415,"21800,000","0,410","2,083",N
I Q 2018,PLN,1537,-372,-355,-362,16,-356,72594,45053,"21800,000","-0,017","2,067",N
II Q 2018,PLN,2358,-1759,-18504,-18278,471,-1288,63214,30533,"23321,000","-0,784","1,309",N
III Q 2018,PLN,1835,-829,-1068,-1174,383,-446,63481,29359,"23321,000","-0,050","1,259",N
IV Q 2016,PLN,653,-610,-273,-190,20,-590,28637,24953,"10000,000","-0,019","2,495",N
I Q 2017,PLN,2000,-41,-78,-157,17,-24,28743,24861,"10000,000","-0,016","2,486",N
II Q 2017,PLN,897,-406,-966,-22,16,-390,61313,36933,"21800,000","-0,001","1,694",N
III Q 2017,PLN,1269,-287,-452,-448,17,-270,56774,36485,"21800,000","-0,021","1,674",N
IV Q 2015,PLN,780,-613,-317,-2223,31,-582,29403,26288,"10000,000","-0,222","2,629",N
I Q 2016,PLN,2063,-47,-54,-105,30,-17,29289,26183,"10000,000","-0,011","2,618",N
II Q 2016,PLN,982,-372,-442,17,31,-341,28569,25312,"10000,000","0,002","2,531",N
III Q 2016,PLN,1938,-251,-278,-269,26,-225,28924,25042,"10000,000","-0,027","2,504",N
IV Q 2014,PLN,632,-1480,-9808,-7782,34,-1446,31279,29714,"10000,000","-0,778","2,971",N
I Q 2015,PLN,2442,-17,-28,-5,30,13,31284,29625,"10000,000","-0,001","2,963",N
II Q 2015,PLN,510,-517,-560,-606,44,-473,30737,29103,"10000,000","-0,061","2,910",N
III Q 2015,PLN,2010,-33,-13,-89,31,-2,31010,29014,"10000,000","-0,009","2,901",N
IV Q 2013,PLN,-4799,-718,201,122,35,-683,40947,39471,"10000,000","0,012","3,947",N
I Q 2014,PLN,2028,5,29,161,36,41,40780,39631,"10000,000","0,016","3,963",N
II Q 2014,PLN,927,-159,-121,-150,38,-121,39014,37502,"10000,000","-0,015","3,750",N
III Q 2014,PLN,2316,70,83,31,29,99,39107,37518,"10000,000","0,003","3,752",N
IV Q 2012,PLN,-28652,-51122,-50325,-41935,-870,-51992,46720,42424,"10000,000","-4,194","4,242",N
I Q 2013,PLN,3091,-247,-200,-454,36,-211,46283,42814,"10000,000","-0,045","4,281",N
II Q 2013,PLN,2432,-665,-1408,-1423,36,-629,43581,41385,"10000,000","-0,142","4,139",N
III Q 2013,PLN,2935,-374,-325,-267,36,-338,48867,41118,"10000,000","-0,027","4,112",N
IV Q 2011,PLN,4222,-305,-921,-1293,40,-265,48726,44949,"10000,000","-0,129","4,495",N
I Q 2012,PLN,13269,52370,51059,42371,373,52743,133386,87329,"10000,000","4,237","8,733",N
II Q 2012,PLN,15279,-1054,-933,-893,347,-707,131700,86439,"10000,000","-0,089","8,644",N
III Q 2012,PLN,18358,-1383,-1822,-1613,309,-1074,128801,84814,"10000,000","-0,161","8,481",N
IV Q 2010,PLN,13113,-403,-62,252,39,-364,50486,46439,"10000,000","0,025","4,644",N
I Q 2011,PLN,3684,-225,-322,-369,58,-167,50353,46070,"10000,000","-0,037","4,607",N
II Q 2011,PLN,4797,582,501,450,45,627,50469,46778,"10000,000","0,045","4,678",N
III Q 2011,PLN,3975,-366,-1090,-536,37,-329,50045,46242,"10000,000","-0,054","4,624",N
IV Q 2009,PLN,1253,-565,3871,3057,-23,-588,50438,46780,"10000,000","0,306","4,678",N
I Q 2010,PLN,189,-372,2460,1888,40,-332,52473,48207,"10000,000","0,189","4,821",N
II Q 2010,PLN,194,-361,-3650,-3050,40,-321,49317,45619,"10000,000","-0,305","4,562",N
III Q 2010,PLN,93,-434,785,556,39,-395,48616,45716,"10000,000","0,056","4,572",N
IV Q 2008,PLN,1834,-694,-11342,-9609,93,-601,53551,44229,"10000,000","-0,961","4,423",N
I Q 2009,PLN,1415,-613,-6096,-5107,54,-559,43022,39123,"10000,000","-0,511","3,912",N
II Q 2009,PLN,1203,-23,6056,4813,77,54,48870,43936,"10000,000","0,481","4,394",N
III Q 2009,PLN,454,-855,-747,-468,72,-783,0,0,"10000,000","-0,047","0,000",N
IV Q 2007,PLN,1318,-1565,25084,20113,48,-1517,76227,50713,"0,000",,,N
I Q 2008,PLN,1164,-523,-4066,-3292,47,-476,83431,64190,"10000,000","-0,329","6,419",N
II Q 2008,PLN,1173,297,-3052,-2381,58,355,74310,61997,"10000,000","-0,238","6,200",N
III Q 2008,PLN,702,-720,-10276,-8218,45,-675,63792,53753,"10000,000","-0,822","5,375",N
IV Q 2006,PLN,0,0,0,0,0,0,45272,16713,"0,000",,,N
I Q 2007,PLN,979,154,7860,6367,32,186,34679,24579,"0,000",,,N
II Q 2007,PLN,5511,4066,25803,20918,34,4100,59760,45485,"0,000",,,N
III Q 2007,PLN,1216,-254,-18346,-14886,39,-215,41235,30599,"0,000",,,N
II Q 2006,PLN,0,0,0,0,0,0,14585,6281,"0,000",,,N
