kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,460111,303,75,-1633,4162,4465,1122799,491171,"17500,000","-0,093","28,067",N
I Q 2023,PLN,504042,13281,10638,6681,4353,17634,1142731,497852,"17500,000","0,382","28,449",N
II Q 2023,PLN,318553,12230,6738,3269,4354,16584,995441,484242,"17500,000","0,187","27,671",N
III Q 2023,PLN,397632,6027,6933,793,4258,10285,990160,488964,"17500,000","0,045","27,941",N
IV Q 2021,PLN,510512,35722,37407,28755,3811,39533,1203949,433350,"17500,000","1,643","24,763",N
I Q 2022,PLN,603096,53023,51390,39720,3911,56934,1270039,473070,"17500,000","2,270","27,033",N
II Q 2022,PLN,576421,35603,37688,28245,3913,39516,1177350,476386,"17500,000","1,614","27,222",N
III Q 2022,PLN,575954,20464,19601,12408,4141,24605,1185798,492723,"17500,000","0,709","28,156",N
IV Q 2020,PLN,390022,8042,9208,5982,3701,11743,917826,320387,"17500,000","0,342","18,308",N
I Q 2021,PLN,423163,23948,22542,16083,3802,27750,875264,336470,"17500,000","0,919","19,227",N
II Q 2021,PLN,344573,55716,59416,45869,3761,59477,899224,375610,"17500,000","2,621","21,463",N
III Q 2021,PLN,370034,32730,33387,25205,3924,36654,994758,404744,"17500,000","1,440","23,128",N
IV Q 2019,PLN,356268,5279,6757,4430,3322,8601,942728,300506,"17500,000","0,253","17,172",N
I Q 2020,PLN,365842,11313,8990,5536,3472,14785,1042611,306042,"17500,000","0,316","17,488",N
II Q 2020,PLN,383507,10177,10847,7021,3689,13866,948568,308236,"17500,000","0,401","17,613",N
III Q 2020,PLN,411386,5992,5192,2672,3505,9497,984256,314510,"17500,000","0,153","17,972",N
IV Q 2018,PLN,363771,7877,10156,7551,2947,10824,893883,288035,"17500,000","0,431","16,459",N
I Q 2019,PLN,340254,9995,9967,6227,3120,13115,846841,294262,"17500,000","0,356","16,815",N
II Q 2019,PLN,322194,6325,5422,3249,3190,9515,820975,289229,"17500,000","0,186","16,527",N
III Q 2019,PLN,410540,6776,4572,2742,3294,10070,959116,296228,"17500,000","0,157","16,927",N
IV Q 2017,PLN,267332,14135,8461,5421,2908,17043,768574,263306,"17500,000","0,310","15,046",N
I Q 2018,PLN,348607,12518,11295,8484,2936,15454,780773,270891,"17500,000","0,485","15,479",N
II Q 2018,PLN,318608,7908,7317,4491,2950,10858,752718,269284,"17500,000","0,257","15,388",N
III Q 2018,PLN,423812,13041,13314,8404,2966,16007,908339,280635,"17500,000","0,480","16,036",N
IV Q 2016,PLN,204018,-126,1495,-103,3326,3200,659066,244246,"17500,000","-0,006","13,957",N
I Q 2017,PLN,336396,7976,7082,4932,2921,10897,647864,249178,"17500,000","0,282","14,239",N
II Q 2017,PLN,273327,5346,3886,2231,2905,8251,656215,247367,"17500,000","0,127","14,135",N
III Q 2017,PLN,240201,12491,11433,8218,2832,15323,732501,257877,"17500,000","0,470","14,736",N
IV Q 2015,PLN,173491,-7823,-8365,-6256,2815,-5008,536475,256478,"17500,000","-0,357","14,656",N
I Q 2016,PLN,141930,-708,-1684,-1396,2812,2104,543860,255082,"17500,000","-0,080","14,576",N
II Q 2016,PLN,218813,4642,5304,2078,2744,7386,640987,256460,"17500,000","0,119","14,655",N
III Q 2016,PLN,235534,-9325,-9272,-10282,2698,-6627,588095,244509,"17500,000","-0,588","13,972",N
IV Q 2014,PLN,189188,-16709,-16200,-11713,2764,-13945,632992,266862,"17500,000","-0,669","15,249",N
