kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,61881,13860,13298,10663,2362,16222,300770,179874,"22759,947","0,468","7,903",N
I Q 2023,PLN,52350,6216,6093,4940,2650,8866,288222,184815,"22759,947","0,217","8,120",N
II Q 2023,PLN,51949,6150,6377,5105,2635,8785,294982,191197,"22759,947","0,224","8,401",N
III Q 2023,PLN,59230,11639,11392,9026,2353,13992,297379,200223,"22759,947","0,397","8,797",N
IV Q 2021,PLN,54378,8203,7213,6021,2656,10859,289886,147724,"22759,947","0,265","6,491",N
I Q 2022,PLN,51314,6174,6194,11179,2639,8813,287931,158915,"22759,947","0,491","6,982",N
II Q 2022,PLN,54173,6501,6473,5381,2705,9206,292571,164900,"22759,947","0,236","7,245",N
III Q 2022,PLN,51731,4553,3128,4385,2756,7309,282526,169211,"22759,947","0,193","7,435",N
IV Q 2020,PLN,52489,23162,29512,26062,3478,26640,296393,120551,"22759,947","1,145","5,297",N
I Q 2021,PLN,50563,8152,7091,6021,2740,10892,277249,126604,"22759,947","0,265","5,563",N
II Q 2021,PLN,49767,8237,7052,5561,2796,11033,273736,132831,"22759,947","0,244","5,836",N
III Q 2021,PLN,51233,9616,8664,8919,2808,12424,279087,141642,"22759,947","0,392","6,223",N
IV Q 2019,PLN,63760,11544,10766,9331,4038,15582,307890,74439,"22759,947","0,410","3,271",N
I Q 2020,PLN,59213,8379,4022,4017,4105,12484,300249,78598,"22759,947","0,176","3,453",N
II Q 2020,PLN,55489,10368,9557,8349,4108,14476,299592,86948,"22759,947","0,367","3,820",N
III Q 2020,PLN,51504,6594,5454,7516,3903,10497,296378,94273,"22759,947","0,330","4,142",N
IV Q 2018,PLN,63978,9898,12771,10882,2051,11949,336751,60745,"23089,947","0,471","2,631",N
I Q 2019,PLN,58662,9970,6543,4387,2067,12037,315991,65073,"23089,947","0,190","2,818",N
II Q 2019,PLN,56248,6563,5857,4550,2068,8631,304704,69646,"23089,947","0,197","3,016",N
III Q 2019,PLN,55743,2937,-6489,-3888,1840,4777,272943,65757,"23089,947","-0,168","2,848",N
IV Q 2017,PLN,96608,7762,6727,5598,2036,9798,390504,40263,"11886,242","0,471","3,387",N
I Q 2018,PLN,74667,3734,2961,-2238,1949,5683,404683,38280,"11886,242","-0,188","3,221",N
II Q 2018,PLN,68706,-5325,-5618,-5016,1825,-3500,415419,32968,"11886,242","-0,422","2,774",N
III Q 2018,PLN,18113,-2785,-4859,-9594,2254,-531,341006,33094,"15589,947","-0,615","2,123",N
IV Q 2016,PLN,119054,1999,1254,1145,4079,6078,480408,214113,"11886,242","0,096","18,014",N
I Q 2017,PLN,73654,-27929,-29148,-24462,3547,-24382,411956,125803,"11886,242","-2,058","10,584",N
II Q 2017,PLN,83605,-3127,-4138,-1225,2946,-181,489148,122505,"11886,242","-0,103","10,306",N
III Q 2017,PLN,45951,-95871,-96855,-98808,2962,-92909,388079,34751,"11886,242","-8,313","2,924",N
IV Q 2015,PLN,139774,7279,6432,3399,3837,11116,454410,225782,"11886,242","0,286","18,995",N
I Q 2016,PLN,104518,-75,-1222,-468,4513,4438,446614,224013,"11886,242","-0,039","18,846",N
II Q 2016,PLN,86064,1059,472,-1833,4256,5315,439040,222292,"11886,242","-0,154","18,702",N
III Q 2016,PLN,68651,-27415,-28894,-27785,4374,-23041,446187,158088,"11886,242","-2,338","13,300",N
IV Q 2014,PLN,144054,7000,5384,4139,3936,10936,513141,231758,"11886,242","0,348","19,498",N
I Q 2015,PLN,85662,-1451,-2421,373,3722,2271,411937,232022,"11886,242","0,031","19,520",N
II Q 2015,PLN,103834,2316,1676,1510,3538,5854,412253,232840,"11886,242","0,127","19,589",N
III Q 2015,PLN,95755,-3919,-5210,-10206,3948,29,420974,222368,"11886,242","-0,859","18,708",N
IV Q 2013,PLN,148138,9792,8566,5943,4245,14037,434512,219854,"11886,242","0,500","18,497",N
I Q 2014,PLN,105809,3942,2793,2237,4556,8498,398846,223451,"11886,242","0,188","18,799",N
II Q 2014,PLN,120617,5671,5006,4003,4286,9957,432953,226919,"11886,242","0,337","19,091",N
III Q 2014,PLN,126333,2528,2115,784,3975,6503,443676,227552,"11886,242","0,066","19,144",N
IV Q 2012,PLN,165612,9132,7269,7123,4488,13620,452164,210513,"11886,242","0,599","17,711",N
I Q 2013,PLN,96691,3671,1874,1085,4370,8041,380947,211780,"11886,242","0,091","17,817",N
II Q 2013,PLN,95601,3526,2032,1159,4238,7764,380849,213068,"11886,242","0,098","17,926",N
III Q 2013,PLN,122995,1930,816,863,4628,6558,409910,213552,"11886,242","0,073","17,966",N
IV Q 2011,PLN,218271,5093,3382,6597,3767,8860,438076,229868,"11886,242","0,555","19,339",N
I Q 2012,PLN,108135,-3553,-5396,-6388,0,-3553,440070,223511,"11886,242","-0,537","18,804",N
II Q 2012,PLN,100729,-2650,-5485,-6221,0,-2650,432591,217814,"11886,242","-0,523","18,325",N
III Q 2012,PLN,95717,-2989,-5083,-7091,0,-2989,398401,203210,"11886,242","-0,597","17,096",N
IV Q 2010,PLN,178996,5317,2216,322,6024,11341,479867,217569,"11886,242","0,027","18,304",N
I Q 2011,PLN,111987,1367,-944,-1178,4500,5867,403766,224112,"11886,242","-0,099","18,855",N
II Q 2011,PLN,106539,172,-1054,1354,4048,4220,403253,225941,"11886,242","0,114","19,009",N
III Q 2011,PLN,129224,1363,586,1304,3079,4442,428788,222739,"11886,242","0,110","18,739",N
IV Q 2009,PLN,164327,11342,8541,6863,8420,19762,522011,268131,"11886,242","0,577","22,558",N
I Q 2010,PLN,104188,-17454,-19317,-17057,7473,-9981,475366,250802,"11886,242","-1,435","21,100",N
II Q 2010,PLN,118636,-13692,-14996,-13688,7035,-6657,465328,237422,"11886,242","-1,152","19,975",N
III Q 2010,PLN,122198,-8467,-11690,-12343,6276,-2191,428205,224920,"11886,242","-1,038","18,923",N
IV Q 2008,PLN,334075,28350,25099,19608,10498,38848,773430,372988,"11886,242","1,650","31,380",N
I Q 2009,PLN,140376,-16125,-17995,-17033,9827,-6298,589816,354935,"11886,242","-1,433","29,861",N
II Q 2009,PLN,141149,-85398,-87636,-75495,7289,-78109,580468,281321,"11886,242","-6,351","23,668",N
III Q 2009,PLN,126841,-4620,-5978,-3726,9080,4460,518234,275617,"11886,242","-0,313","23,188",N
IV Q 2007,PLN,371217,54697,50465,42279,18567,73264,862437,343505,"10776,704","3,923","31,875",N
I Q 2008,PLN,208782,-24844,-25118,-26315,12087,-12757,698625,347407,"11885,742","-2,214","29,229",N
II Q 2008,PLN,295432,7047,5729,8334,11136,18183,789147,348931,"11885,742","0,701","29,357",N
III Q 2008,PLN,180574,9031,6018,3728,11645,20676,756296,355013,"11885,742","0,314","29,869",N
IV Q 2006,PLN,420206,-7492,-8602,-15615,49945,42453,979571,304717,"7974,757","-1,958","38,210",N
I Q 2007,PLN,266302,-21124,-23733,-17411,12934,-8190,875678,289749,"0,000",,,N
II Q 2007,PLN,360113,-54389,-57551,-42874,11864,-42525,999014,349743,"10776,794","-3,978","32,453",N
III Q 2007,PLN,236910,-54579,-57435,-50125,8197,-46382,802986,300236,"10776,704","-4,651","27,860",N
IV Q 2005,PLN,362428,9462,5626,566,5143,14605,634645,215983,"6894,165","0,082","31,328",N
I Q 2006,PLN,182493,4665,82,-935,6163,10828,404125,215711,"6914,290","-0,135","31,198",N
II Q 2006,PLN,150160,-14413,-15548,-13404,5894,-8519,380885,199300,"0,000",,,N
III Q 2006,PLN,174203,3889,3389,2359,6483,10372,555535,319595,"7970,832","0,296","40,096",N
IV Q 2004,PLN,233032,15879,-8730,1227,6346,22225,479102,198162,"6864,650","0,179","28,867",N
I Q 2005,PLN,152762,8023,3069,3436,4974,12997,472940,202716,"6864,650","0,501","29,530",N
II Q 2005,PLN,159055,8262,5102,3908,5443,13705,456081,208773,"6864,650","0,569","30,413",N
III Q 2005,PLN,183873,8322,5259,3540,6200,14522,483994,213323,"6864,650","0,516","31,076",N
IV Q 2003,PLN,195849,17300,12315,6412,6117,23417,446881,176948,"6774,990","0,946","26,118",N
I Q 2004,PLN,152064,7605,5197,3198,7070,14675,438684,183715,"6786,640","0,471","27,070",N
II Q 2004,PLN,210590,10721,-910,3355,6379,17100,459356,191697,"6786,640","0,494","28,246",N
III Q 2004,PLN,160259,9454,3720,4530,6355,15809,439383,197059,"6841,300","0,662","28,804",N
IV Q 2002,PLN,156232,7387,378,-1306,4081,11468,381100,168229,"6734,613","-0,194","24,980",N
I Q 2003,PLN,102170,1218,-415,-551,5999,7217,340683,167664,"6734,613","-0,082","24,896",N
II Q 2003,PLN,132758,4992,1178,-341,6723,11715,371166,166841,"6734,613","-0,051","24,774",N
III Q 2003,PLN,151629,7572,4973,3034,6717,14289,375822,171277,"6758,913","0,449","25,341",N
IV Q 2001,PLN,193379,23830,27156,14727,3709,27539,395978,140530,"0,000",,,N
I Q 2002,PLN,144998,5495,5068,3029,5128,10623,360944,156506,"0,000",,,N
II Q 2002,PLN,125889,6988,5809,5660,4858,11846,364859,166902,"6734,613","0,840","24,783",N
III Q 2002,PLN,107632,3606,3259,1749,3914,7520,354496,169294,"6734,613","0,260","25,138",N
IV Q 2000,PLN,0,0,0,0,0,0,266768,115490,"0,000",,,N
I Q 2001,PLN,90897,4380,3658,3384,2944,7324,218614,122544,"0,000",,,N
II Q 2001,PLN,120163,7186,5487,5197,3327,10513,304717,127930,"0,000",,,N
III Q 2001,PLN,120111,8070,7351,4359,3372,11442,359429,132327,"0,000",,,N
IV Q 1998,PLN,0,0,0,0,0,0,192836,71548,"0,000",,,N
II Q 1999,PLN,0,0,0,0,0,0,149632,73362,"0,000",,,N
IV Q 1999,PLN,0,0,0,0,0,0,222863,89276,"0,000",,,N
II Q 2000,PLN,0,0,0,0,0,0,185290,97448,"0,000",,,N
 Q 0000,PLN,227582,18914,4907,2343,2013,20927,484668,198618,"6864,650","0,341","28,933",N
II Q 1998,,0,0,0,0,0,0,110484,66388,"0,000",,,N
