kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
II Q 2003,PLN,20533,687,912,571,993,1680,50365,39509,"3000,092","0,190","13,169",N
III Q 2003,PLN,13590,-176,-111,-135,914,738,48835,39374,"3000,092","-0,045","13,124",N
IV Q 2003,PLN,16865,1300,1327,988,907,2207,51375,40359,"3000,092","0,329","13,453",N
I Q 2004,PLN,12225,-47,-158,-200,930,883,45888,40159,"3000,092","-0,067","13,386",N
II Q 2002,PLN,22679,2360,2118,1480,1170,3530,50843,34630,"3000,092","0,493","11,543",N
III Q 2002,PLN,25681,3011,2344,1620,1012,4023,60800,36250,"3000,092","0,540","12,083",N
IV Q 2002,PLN,37367,4084,3849,2668,944,5028,56977,38918,"3000,092","0,889","12,972",N
I Q 2003,PLN,27043,3533,3458,2420,942,4475,55136,41338,"3000,092","0,807","13,779",N
 Q 0000,PLN,37367,4084,3849,2668,2013,6097,56977,38918,"3000,092","0,889","12,972",N
IV Q 2000,PLN,16902,1103,1773,1261,223,1326,42990,31133,"3000,092","0,420","10,377",N
IV Q 2001,PLN,24450,1648,2049,1482,786,2434,49490,32062,"3000,092","0,494","10,687",N
I Q 2002,,27324,2600,2418,1688,1150,3750,50701,33750,"3000,092","0,563","11,250",N
