kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,1804,-6423,-6590,-6011,938,-5485,11744,11180,"1188,305","-5,059","9,408",N
I Q 2023,PLN,1938,-1087,-1118,-1054,825,-262,11489,10224,"1188,305","-0,887","8,604",N
II Q 2023,PLN,1823,-787,-826,-731,859,72,11153,9881,"1188,305","-0,615","8,315",N
III Q 2023,PLN,1451,-1072,-1082,-1147,843,-229,9497,8459,"1188,305","-0,965","7,118",N
IV Q 2021,PLN,3351,444,420,452,1218,1662,21523,19277,"1188,305","0,381","16,222",N
I Q 2022,PLN,1671,-1155,-1150,-1170,914,-241,21324,15887,"1188,305","-0,984","13,370",N
II Q 2022,PLN,2447,214,319,217,862,1076,19437,17723,"1188,305","0,183","14,914",N
III Q 2022,PLN,2239,-754,-658,-661,979,225,18436,17005,"1188,305","-0,556","14,311",N
I Q 2021,PLN,1519,-760,-734,-734,1221,461,0,0,"1161,989","-0,631","0,000",N
III Q 2021,PLN,2358,218,274,238,835,1053,21943,18745,"1188,305","0,200","15,775",N
