kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,EUR,0,0,5912000,2731000,2064000,0,895327000,63641000,"1940777,908","32,791","1,063",N
II Q 2023,EUR,0,0,5859000,3204000,2314000,0,843506000,61881000,"1940777,908","31,885","1,192",N
III Q 2023,EUR,0,0,5956000,3168000,2322000,0,825644000,62726000,"1784663,080","35,147","1,301",N
IV Q 2023,EUR,0,0,5844000,2349000,2810000,0,784974000,64079000,"1784663,080","35,905","1,575",N
I Q 2022,EUR,0,0,4983000,630000,274000,0,949854000,61669000,"2184404,611","28,231","0,125",N
II Q 2022,EUR,0,0,4774000,2481000,2010000,0,945756000,62200000,"2184404,611","28,475","0,920",N
III Q 2022,EUR,0,0,4851000,2066000,1709000,0,942803000,62989000,"2022218,890","31,148","0,845",N
IV Q 2022,EUR,0,0,5539000,2111000,2464000,0,857773000,63339000,"1935269,741","32,729","1,273",N
I Q 2021,EUR,0,0,4479000,1207000,887000,0,942165000,60659000,"2243550,408","27,037","0,395",N
II Q 2021,EUR,0,0,4403000,1371000,1035000,0,950046000,61356000,"2243550,408","27,348","0,461",N
III Q 2021,EUR,0,0,4300000,1430000,1058000,0,948584000,62186000,"2243550,408","27,718","0,472",N
IV Q 2021,EUR,0,0,2645000,-2228000,-883000,0,917227000,62185000,"2177593,299","28,557","-0,405",N
I Q 2020,EUR,0,0,3117000,-2512000,-2657000,0,872753000,60820000,"2237261,803","27,185","-1,188",N
II Q 2020,EUR,0,0,4076000,505000,428000,0,892735000,60748000,"2237261,803","27,153","0,191",N
III Q 2020,EUR,0,0,4211000,782000,680000,0,903353000,60646000,"2237261,803","27,107","0,304",N
IV Q 2020,EUR,0,0,4366000,-322000,-300000,0,931456000,59507000,"2237261,803","26,598","-0,134",N
I Q 2019,EUR,0,0,4858000,1664000,1176000,0,848128000,58187000,"2230176,665","26,091","0,527",N
II Q 2019,EUR,0,0,4206000,814000,1916000,0,832611000,59471000,"2230176,665","26,666","0,859",N
III Q 2019,EUR,0,0,4744000,1545000,1181000,0,863544000,60453000,"2230176,665","27,107","0,530",N
IV Q 2019,EUR,0,0,4184000,-958000,-832000,0,855647000,61416000,"2230176,665","27,539","-0,373",N
I Q 2018,EUR,0,0,5121000,1389000,1113000,0,823978000,56950000,"2226657,313","25,576","0,500",N
II Q 2018,EUR,0,0,4940000,1212000,1026000,0,823908000,55461000,"2230176,665","24,868","0,460",N
III Q 2018,EUR,0,0,3967000,47000,30000,0,834057000,54309000,"2230176,665","24,352","0,013",N
IV Q 2018,EUR,0,0,5031000,1086000,1992000,0,832172000,56389000,"2230176,665","25,285","0,893",N
I Q 2017,EUR,0,0,5175000,1055000,908000,0,881085000,52723000,"2224911,123","23,697","0,408",N
II Q 2017,EUR,0,0,4999000,1338000,946000,0,827128000,55161000,"2225945,295","24,781","0,425",N
III Q 2017,EUR,0,0,4715000,926000,2821000,0,827099000,57705000,"2225945,295","25,924","1,267",N
IV Q 2017,EUR,0,0,4754000,830000,802000,0,836790000,59331000,"2225945,295","26,654","0,360",N
I Q 2016,EUR,0,0,4656000,288000,407000,0,892203000,50431000,"5981652,148","8,431","0,068",N
II Q 2016,EUR,0,0,5263000,837000,917000,0,891477000,50123000,"6180343,073","8,110","0,148",N
III Q 2016,EUR,0,0,4827000,638000,448000,0,874527000,51237000,"6180343,073","8,290","0,072",N
IV Q 2016,EUR,0,0,3520000,-12365000,-13296000,0,859533000,39336000,"6180343,073","6,365","-2,151",N
I Q 2015,EUR,0,0,5744000,1080000,577000,0,900650000,51331000,"5865778,463","8,751","0,098",N
II Q 2015,EUR,0,0,5753000,1043000,583000,0,875126000,50194000,"5969658,488","8,408","0,098",N
III Q 2015,EUR,0,0,5352000,802000,555000,0,873506000,50238000,"5969658,488","8,416","0,093",N
IV Q 2015,EUR,0,0,4680000,-644000,168000,0,860433000,50086000,"5969658,488","8,390","0,028",N
I Q 2014,EUR,0,0,5651000,1275000,787000,0,839854000,47460000,"5791633,617","8,195","0,136",N
II Q 2014,EUR,0,0,5782000,1171000,474000,0,836679000,48938000,"5865778,463","8,343","0,081",N
III Q 2014,EUR,0,0,5604000,1285000,790000,0,855793000,51356000,"5865778,463","8,755","0,135",N
IV Q 2014,EUR,0,0,5599000,360000,238000,0,844217000,49390000,"5865778,463","8,420","0,041",N
I Q 2013,EUR,0,0,5805000,955000,547000,0,892859000,62250000,"5791633,617","10,748","0,094",N
II Q 2013,EUR,0,0,6080000,881000,461000,0,870091000,61195000,"5791633,617","10,566","0,080",N
III Q 2013,EUR,0,0,5641000,526000,302000,0,864782000,61179000,"5791633,617","10,563","0,052",N
IV Q 2013,EUR,0,0,6699000,-7582000,-5833000,0,825919000,46722000,"5791633,617","8,067","-1,007",N
I Q 2012,EUR,0,0,7085000,1876000,1031000,0,919743000,61764000,"5780248,579","10,685","0,178",N
II Q 2012,EUR,0,0,6244000,600000,277000,0,954950000,61031000,"5789536,030","10,542","0,048",N
III Q 2012,EUR,0,0,6267000,760000,447000,0,949769000,62456000,"5789536,030","10,788","0,077",N
IV Q 2012,EUR,0,0,5549000,-2901000,-426000,0,926838000,61579000,"5789536,030","10,636","-0,074",N
I Q 2011,EUR,0,0,7012000,1486000,825000,0,910977000,64688000,"19297581,923","3,352","0,043",N
II Q 2011,EUR,0,0,6437000,1087000,525000,0,918772000,64725000,"19298490,693","3,354","0,027",N
III Q 2011,EUR,0,0,5125000,-1054000,-1284000,0,0,0,"19298490,693","0,000","-0,067",N
IV Q 2011,EUR,0,0,5926000,581000,214000,0,913567000,51480000,"1929849,069","26,676","0,111",N
I Q 2010,EUR,0,0,6814000,1020000,564000,0,948867000,65288000,"19297581,923","3,383","0,029",N
II Q 2010,EUR,0,0,6480000,749000,362000,0,954644000,64428000,"19297581,923","3,339","0,019",N
III Q 2010,EUR,0,0,6426000,885000,383000,0,0,0,"19297581,923","0,000","0,020",N
IV Q 2010,EUR,0,0,6318000,121000,550000,0,929488000,64224000,"19297581,923","3,328","0,029",N
I Q 2009,EUR,0,0,6529000,922000,512000,0,1028294000,57258000,"13364489,452","4,284","0,038",N
II Q 2009,EUR,0,0,7703000,1007000,554000,0,0,0,"16779739,028","0,000","0,033",N
III Q 2009,EUR,0,0,6912000,751000,460000,0,0,0,"16779739,028","0,000","0,027",N
IV Q 2009,EUR,0,0,6660000,620000,433000,0,928760000,59689000,"16779739,028","3,557","0,026",N
I Q 2008,EUR,0,0,6634000,1757000,1139000,0,1044690000,57995000,"13364489,452","4,339","0,085",N
II Q 2008,EUR,0,0,7774000,2773000,2000000,0,1059767000,55707000,"13364489,452","4,168","0,150",N
III Q 2008,EUR,0,0,6386000,1086000,594000,0,0,0,"13364489,452","0,000","0,044",N
