kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,108706,36808,35952,29849,969,37777,272767,150898,"12000,000","2,487","12,575",N
I Q 2023,PLN,80262,35259,39438,32551,818,36077,326074,183445,"12000,000","2,713","15,287",N
II Q 2023,PLN,88114,35763,35599,27221,794,36557,368511,180701,"12000,000","2,268","15,058",N
III Q 2023,PLN,82297,31901,33604,26217,905,32806,400443,206884,"12000,000","2,185","17,240",N
IV Q 2021,PLN,56688,11582,11422,7323,603,12185,132579,68929,"12000,000","0,610","5,744",N
I Q 2022,PLN,55749,18758,18609,16244,609,19367,158661,85142,"12000,000","1,354","7,095",N
II Q 2022,PLN,77322,33431,32853,26468,602,34033,196972,106556,"12000,000","2,206","8,880",N
III Q 2022,PLN,58829,19518,19236,14780,664,20182,222021,121280,"12000,000","1,232","10,107",N
IV Q 2020,PLN,45128,3588,3406,2575,697,4285,115422,64066,"12000,000","0,215","5,339",N
I Q 2021,PLN,43002,3321,3301,2501,644,3965,128377,66625,"12000,000","0,208","5,552",N
II Q 2021,PLN,46912,300,-22,-413,689,989,127239,61756,"12000,000","-0,034","5,146",N
III Q 2021,PLN,48999,2254,1714,661,712,2966,128787,62443,"12000,000","0,055","5,204",N
IV Q 2019,PLN,43302,6485,6521,4361,462,6947,106729,55346,"12000,000","0,363","4,612",N
I Q 2020,PLN,36848,5400,5238,4043,431,5831,110460,59450,"12000,000","0,337","4,954",N
II Q 2020,PLN,31754,74,7,62,561,635,109439,59528,"12000,000","0,005","4,961",N
III Q 2020,PLN,36408,2909,2558,2087,520,3429,111898,61469,"12000,000","0,174","5,122",N
IV Q 2018,PLN,29128,5035,4595,3588,692,5727,94443,41015,"12000,000","0,299","3,418",N
I Q 2019,PLN,31073,4842,4662,4191,477,5319,97061,42944,"12000,000","0,349","3,579",N
II Q 2019,PLN,33018,5490,5176,4639,664,6154,97058,47177,"12000,000","0,387","3,931",N
III Q 2019,PLN,34384,5725,5635,4121,518,6243,98838,51216,"12000,000","0,343","4,268",N
IV Q 2017,PLN,25972,355,124,-302,587,942,71590,26365,"12000,000","-0,025","2,197",N
I Q 2018,PLN,26128,2628,2403,1828,864,3492,84041,35353,"12000,000","0,152","2,946",N
II Q 2018,PLN,27119,2478,2344,1851,998,3476,81840,36313,"12000,000","0,154","3,026",N
III Q 2018,PLN,22821,1580,1373,985,783,2363,80086,37477,"12000,000","0,082","3,123",N
IV Q 2016,PLN,27467,4537,4427,3460,525,5062,65295,31687,"12000,000","0,288","2,641",N
I Q 2017,PLN,24288,3542,3552,2981,553,4095,68456,34236,"12000,000","0,248","2,853",N
II Q 2017,PLN,23681,1836,1733,1261,545,2381,68953,27525,"12000,000","0,105","2,294",N
