kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,112505,-3707,-3376,-4069,4070,363,425896,246328,"91187,500","-0,045","2,701",N
II Q 2023,PLN,80528,-12418,-12433,-11949,4078,-8340,421673,227996,"91187,500","-0,131","2,500",N
III Q 2023,PLN,112290,2224,2208,1391,3995,6219,417078,229311,"91187,500","0,015","2,515",N
IV Q 2023,PLN,220098,17995,17609,13256,3994,21989,482624,242432,"91187,500","0,145","2,659",N
I Q 2022,PLN,95929,-1658,-1472,-1343,3448,1790,430001,251749,"91187,500","-0,015","2,761",N
II Q 2022,PLN,142872,5198,5761,4384,3422,8620,429572,246555,"91187,500","0,048","2,704",N
III Q 2022,PLN,150047,2766,3311,2200,3187,5953,421842,248696,"91187,500","0,024","2,727",N
IV Q 2022,PLN,176823,5533,4701,1207,5773,11306,480201,250396,"91187,500","0,013","2,746",N
I Q 2021,PLN,102555,3460,4026,3282,2932,6392,386561,245922,"91187,500","0,036","2,697",N
II Q 2021,PLN,99114,2109,2141,16,3201,5310,394423,245938,"91187,500","0,000","2,697",N
III Q 2021,PLN,128801,3139,3178,2002,3234,6373,430018,242240,"91187,500","0,022","2,657",N
IV Q 2021,PLN,171738,13701,13946,10902,3528,17229,455825,253092,"91187,500","0,120","2,776",N
I Q 2020,PLN,85352,1875,2003,1441,3196,5071,372430,233583,"91187,500","0,016","2,562",N
II Q 2020,PLN,88765,441,453,171,2851,3292,378517,231930,"91187,500","0,002","2,543",N
III Q 2020,PLN,92956,-1913,-1655,-1457,2896,983,376291,230473,"91187,500","-0,016","2,527",N
IV Q 2020,PLN,191429,16732,16665,12167,3045,19777,445543,242640,"91187,500","0,133","2,661",N
I Q 2019,PLN,62322,-1405,-1330,-1216,3587,2182,335605,225070,"91187,500","-0,013","2,468",N
II Q 2019,PLN,93146,3123,3312,2516,3748,6871,364324,227586,"91187,500","0,028","2,496",N
III Q 2019,PLN,109476,4833,4766,3316,4187,9020,376964,230902,"91187,500","0,036","2,532",N
IV Q 2019,PLN,150035,964,1117,1240,3782,4746,395932,232142,"91187,500","0,014","2,546",N
I Q 2018,PLN,53529,-2148,-1806,-1717,3298,1150,279213,218176,"91187,500","-0,019","2,393",N
II Q 2018,PLN,63946,-694,183,9,3491,2797,313755,218185,"91187,500","0,000","2,393",N
III Q 2018,PLN,75826,507,541,181,3269,3776,327355,218363,"91187,500","0,002","2,395",N
IV Q 2018,PLN,126507,9941,10254,8349,4090,14031,361254,226295,"91187,500","0,092","2,482",N
I Q 2017,PLN,58355,2117,2190,1346,3358,5475,278621,211750,"91187,500","0,015","2,322",N
II Q 2017,PLN,54506,4618,4886,3737,3322,7940,267260,215476,"91187,500","0,041","2,363",N
III Q 2017,PLN,49071,-2277,-1839,-1767,3407,1130,272349,213709,"91187,500","-0,019","2,344",N
IV Q 2017,PLN,85493,7793,7825,6184,3507,11300,296060,219893,"91187,500","0,068","2,411",N
I Q 2016,PLN,44646,-743,-315,-547,3512,2769,277865,216388,"91187,500","-0,006","2,373",N
II Q 2016,PLN,48379,-2295,-1412,-1734,3567,1272,279177,208274,"91187,500","-0,019","2,284",N
III Q 2016,PLN,46406,629,1033,562,3576,4205,269991,208837,"91187,500","0,006","2,290",N
IV Q 2016,PLN,69858,2411,2579,1567,3615,6026,271176,210404,"91187,500","0,017","2,307",N
I Q 2015,PLN,115816,13410,13338,9935,3409,16819,385151,202392,"91187,500","0,109","2,220",N
II Q 2015,PLN,90867,1113,797,370,3639,4752,344366,200614,"91187,500","0,004","2,200",N
III Q 2015,PLN,120614,8926,9151,6967,4624,13550,325040,208788,"91187,500","0,076","2,290",N
IV Q 2015,PLN,123566,9152,8779,7960,3917,13069,304262,216924,"91187,500","0,087","2,379",N
I Q 2014,PLN,85125,4686,4369,3672,3084,7770,353660,184633,"91187,500","0,040","2,025",N
II Q 2014,PLN,88427,2500,2154,1406,3953,6453,367333,185126,"91187,500","0,015","2,030",N
III Q 2014,PLN,88669,3071,2843,1941,3258,6329,367625,187068,"91187,500","0,021","2,051",N
IV Q 2014,PLN,110302,8682,8463,5663,3691,12373,328481,192381,"91187,500","0,062","2,110",N
I Q 2013,PLN,77678,4057,4533,3190,3756,7813,328970,180414,"91187,500","0,035","1,978",N
II Q 2013,PLN,78329,7353,6813,4993,3448,10801,355218,182001,"91187,500","0,055","1,996",N
III Q 2013,PLN,105860,4049,2436,1498,3688,7737,333349,183257,"91187,500","0,016","2,010",N
IV Q 2013,PLN,110006,3299,-173,-2296,3383,6682,340164,180960,"91187,500","-0,025","1,984",N
I Q 2012,PLN,40205,163,723,516,2652,2815,248591,172310,"91187,500","0,006","1,890",N
II Q 2012,PLN,62181,1585,1561,1155,2429,4014,244358,170304,"91187,500","0,013","1,868",N
III Q 2012,PLN,66302,3376,2683,1886,2110,5486,325425,172190,"91187,500","0,021","1,888",N
IV Q 2012,PLN,118438,6827,7158,5033,3776,10603,364752,177223,"91187,500","0,055","1,944",N
I Q 2011,PLN,46682,3798,4506,3562,2840,6638,243291,163014,"91187,500","0,039","1,788",N
II Q 2011,PLN,66134,4924,4084,2995,2979,7903,237359,162443,"91187,500","0,033","1,781",N
III Q 2011,PLN,71039,239,1088,1291,2791,3030,0,0,"91187,500","0,014","0,000",N
IV Q 2011,PLN,88721,12048,11282,8485,3930,15978,0,0,"91187,500","0,093","0,000",N
I Q 2010,PLN,40978,-930,-82,57,3021,2091,200926,152427,"91187,500","0,001","1,672",N
II Q 2010,PLN,60382,1920,2383,1284,3058,4978,222707,153180,"91187,500","0,014","1,680",N
III Q 2010,PLN,88441,2921,3975,3033,3289,6210,0,0,"91187,500","0,033","0,000",N
IV Q 2010,PLN,104616,4645,3534,2993,4220,8865,269192,159694,"91187,500","0,033","1,751",N
I Q 2009,PLN,28376,-1898,-2560,-2614,2369,471,205366,152230,"91187,500","-0,029","1,669",N
II Q 2009,PLN,63264,2730,3655,2855,2553,5283,223949,152408,"91187,500","0,031","1,671",N
III Q 2009,PLN,39749,-3863,-2290,-1530,2872,-991,0,0,"91187,500","-0,017","0,000",N
IV Q 2009,PLN,112668,3368,3647,2271,3166,6534,247187,152287,"91187,500","0,025","1,670",N
I Q 2008,PLN,53615,1700,2482,1918,1619,3319,218628,152041,"91187,500","0,021","1,667",N
II Q 2008,PLN,162773,3682,4416,3028,2090,5772,367168,145950,"91187,500","0,033","1,601",N
III Q 2008,PLN,80707,4766,4172,3189,2154,6920,0,0,"91187,500","0,035","0,000",N
IV Q 2008,PLN,109459,9678,7060,5704,2261,11939,232516,154844,"91187,500","0,063","1,698",N
I Q 2007,PLN,64666,2650,2679,1782,1581,4231,191840,125699,"91187,500","0,020","1,378",N
II Q 2007,PLN,124654,514,835,406,1967,2481,289590,122457,"91187,500","0,004","1,343",N
III Q 2007,PLN,55976,5575,6378,5433,1869,7444,0,0,"91187,500","0,060","0,000",N
IV Q 2007,PLN,155217,26893,28019,22252,1928,28821,288833,150122,"91187,500","0,244","1,646",N
IV Q 2005,PLN,142840,12754,13588,11566,1758,14512,231753,97831,"4000,000","2,892","24,458",N
I Q 2006,PLN,26147,-451,32,-54,1378,927,135413,98227,"4000,000","-0,014","24,557",N
II Q 2006,PLN,70008,64319,64286,964,1356,65675,141797,93447,"4000,000","0,241","23,362",N
IV Q 2006,PLN,72301,8810,8896,8054,1573,10383,172065,119656,"91187,500","0,088","1,312",N
