kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,216696,58511,59064,50307,3262,61773,4114323,1506069,"117383,635","0,429","12,830",N
I Q 2023,PLN,531596,347388,367012,302814,3746,351134,4514440,1808373,"117383,635","2,580","15,406",N
II Q 2023,PLN,287211,129868,145038,118183,3984,133852,4662942,1352880,"117383,635","1,007","11,525",N
III Q 2023,PLN,275715,110755,144530,121127,4196,114951,4403363,1477085,"117383,635","1,032","12,583",N
IV Q 2021,PLN,181803,82852,84245,68519,2324,85176,3147743,915560,"117383,635","0,584","7,800",N
I Q 2022,PLN,439793,308768,308647,252639,2867,311635,3626672,1169316,"117383,635","2,152","9,961",N
II Q 2022,PLN,396404,259660,277000,226931,2788,262448,3678167,1221474,"117383,635","1,933","10,406",N
III Q 2022,PLN,391287,258743,290547,236219,3080,261823,4176511,1462363,"117383,635","2,012","12,458",N
IV Q 2020,PLN,139923,56346,57074,40231,2106,58452,2283526,888305,"117383,635","0,343","7,568",N
I Q 2021,PLN,186692,99795,107959,89051,1952,101747,2813364,977662,"117383,635","0,759","8,329",N
II Q 2021,PLN,54992,-21082,-29936,-24045,2361,-18721,2720700,741613,"117383,635","-0,205","6,318",N
III Q 2021,PLN,200000,115258,128188,104305,2284,117542,2979417,847234,"117383,635","0,889","7,218",N
IV Q 2019,PLN,89044,42247,41083,37038,1720,43967,1138900,490744,"117383,635","0,316","4,181",N
I Q 2020,PLN,306593,234135,222274,175969,1861,235996,1506293,690132,"117383,635","1,499","5,879",N
II Q 2020,PLN,211486,145773,139942,117490,1954,147727,1776845,778045,"117383,635","1,001","6,628",N
III Q 2020,PLN,139625,79492,79407,68397,1832,81324,1942981,846590,"117383,635","0,583","7,212",N
IV Q 2018,PLN,42680,1924,4252,3973,794,2718,970074,455156,"117383,635","0,034","3,878",N
I Q 2019,PLN,40884,-208,1071,763,1788,1580,1022614,455500,"117383,635","0,007","3,880",N
II Q 2019,PLN,47885,5401,6042,4393,1450,6851,1027568,437852,"117383,635","0,037","3,730",N
III Q 2019,PLN,60922,17972,21240,15507,1795,19767,1106757,456671,"117383,635","0,132","3,890",N
IV Q 2017,PLN,75265,37226,37582,32273,1482,38708,897704,400342,"117383,635","0,275","3,411",N
I Q 2018,PLN,113726,72694,73743,59487,1479,74173,919848,458337,"117383,635","0,507","3,905",N
II Q 2018,PLN,84131,42450,48264,40915,775,43225,979385,499290,"117383,635","0,349","4,253",N
III Q 2018,PLN,47587,-1259,-1588,-2904,883,-376,972007,489072,"117383,635","-0,025","4,166",N
IV Q 2016,PLN,93925,55070,62970,50422,1319,56389,796753,355893,"117383,635","0,430","3,032",N
I Q 2017,PLN,58702,22153,13731,10640,1330,23483,848354,361210,"117383,635","0,091","3,077",N
II Q 2017,PLN,66592,30553,23068,18718,1691,32244,862908,340965,"117383,635","0,159","2,905",N
III Q 2017,PLN,73086,38338,40304,31342,1551,39889,901898,372422,"117383,635","0,267","3,173",N
IV Q 2015,PLN,55817,15519,20686,16504,1467,16986,727119,374049,"117383,635","0,141","3,187",N
I Q 2016,PLN,82759,42301,39765,31859,1389,43690,717308,313759,"117383,635","0,271","2,673",N
II Q 2016,PLN,31033,-23680,-14797,-8812,1388,-22292,671269,307132,"117383,635","-0,075","2,616",N
III Q 2016,PLN,42783,8424,5344,4238,1327,9751,693644,306757,"117383,635","0,036","2,613",N
IV Q 2014,PLN,0,0,0,0,0,0,658317,335711,"117383,635","0,000","2,860",N
I Q 2015,PLN,95218,63962,61780,49842,1454,65416,699430,384524,"117383,635","0,425","3,276",N
II Q 2015,PLN,34197,639,2747,1750,1416,2055,644595,308472,"117383,635","0,015","2,628",N
III Q 2015,PLN,95193,60950,63155,50939,1467,62417,697788,356202,"117383,635","0,434","3,035",N
IV Q 2013,PLN,0,0,0,0,0,0,556981,256542,"117383,635","0,000","2,186",N
