kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,1106871,-41604,-78487,-78364,16889,-24715,4539455,723696,"50823,547","-1,542","14,239",N
I Q 2023,PLN,1151605,-391322,-413645,-375797,13332,-377990,5082639,348400,"50823,547","-7,394","6,855",N
II Q 2023,PLN,305607,248159,262201,221149,15864,264023,4530614,564258,"50823,547","4,351","11,102",N
III Q 2023,PLN,819918,413347,455266,376220,-15926,397421,3176955,911031,"50823,547","7,402","17,925",N
IV Q 2021,PLN,847063,-596539,-596014,-423209,18728,-577811,3311762,524627,"50823,547","-8,327","10,323",N
I Q 2022,PLN,996286,118230,126635,103670,10769,128999,3789012,627556,"50823,547","2,040","12,348",N
II Q 2022,PLN,960077,57856,54547,49097,11870,69726,3537356,644885,"50823,547","0,966","12,689",N
III Q 2022,PLN,1137001,216796,215373,129092,9909,226705,4023275,732245,"50823,547","2,540","14,408",N
IV Q 2020,PLN,601780,-10634,-14680,25035,32267,21633,2878628,951214,"50823,547","0,493","18,716",N
I Q 2021,PLN,462414,-8076,-9988,-7229,32915,24839,3004201,943984,"50823,547","-0,142","18,574",N
II Q 2021,PLN,523304,23676,20431,27996,33738,57414,2802440,969359,"50823,547","0,551","19,073",N
III Q 2021,PLN,618428,68317,67048,86221,33753,102070,3187798,1055337,"50823,547","1,696","20,765",N
IV Q 2019,PLN,720750,-551634,-560621,-517770,40104,-511530,3118246,1174147,"50823,547","-10,188","23,102",N
I Q 2020,PLN,524074,-4368,-5648,-10346,37302,32934,3316790,1163715,"50823,547","-0,204","22,897",N
II Q 2020,PLN,526387,-300055,-308815,-247168,41422,-258633,2451598,916551,"50823,547","-4,863","18,034",N
III Q 2020,PLN,554733,28125,26088,10086,42262,70387,2591417,926596,"50823,547","0,198","18,232",N
IV Q 2018,PLN,681414,-443641,-458361,-398109,47957,-395684,3871297,1683859,"50823,547","-7,833","33,131",N
I Q 2019,PLN,695131,27605,28118,13280,46547,74152,3982759,1630231,"50823,547","0,261","32,076",N
II Q 2019,PLN,710899,38739,33254,24631,49774,88513,3496920,1659772,"50823,547","0,485","32,658",N
III Q 2019,PLN,751140,61701,59357,34680,46976,108677,3667098,1694012,"50823,547","0,682","33,331",N
IV Q 2017,PLN,629986,52331,46041,13875,44788,97119,4459380,2211047,"50823,547","0,273","43,504",N
I Q 2018,PLN,465786,1349,-7538,-15083,48074,49423,4454577,2248611,"50823,547","-0,297","44,243",N
II Q 2018,PLN,517054,-25986,-37057,-36174,47308,21322,4134380,2110949,"50823,547","-0,712","41,535",N
III Q 2018,PLN,640570,-8984,-12492,-10830,49673,40689,4210064,2100071,"50823,547","-0,213","41,321",N
IV Q 2016,PLN,651171,59706,45408,31466,55969,115675,4801300,2143658,"50823,547","0,619","42,178",N
I Q 2017,PLN,599647,72330,71364,55314,49265,121595,4680349,2201201,"50823,547","1,088","43,311",N
II Q 2017,PLN,577909,74973,63133,48058,48522,123495,4411390,2184753,"50823,547","0,946","42,987",N
III Q 2017,PLN,635533,90458,78095,65996,53117,143575,4423945,2250886,"50823,547","1,299","44,288",N
IV Q 2015,PLN,693032,-1849677,-1859717,-1902265,106671,-1743006,4974381,1884823,"50823,547","-37,429","37,086",N
I Q 2016,PLN,680042,114386,102641,73951,57734,172120,4954545,1959949,"50823,547","1,455","38,564",N
II Q 2016,PLN,687478,104594,75336,64453,45701,150295,4678077,2025706,"50823,547","1,268","39,858",N
III Q 2016,PLN,686020,92747,84493,77804,48425,141172,4702469,2106053,"50823,547","1,531","41,439",N
IV Q 2014,PLN,708674,28114,8054,15055,83429,111543,6867688,3819717,"50823,547","0,296","75,156",N
I Q 2015,PLN,755194,37836,41754,34915,91994,129830,6891853,3855281,"50823,547","0,687","75,856",N
II Q 2015,PLN,752328,-4179,-22440,-19812,91349,87170,6764225,3776495,"50823,547","-0,390","74,306",N
