kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
II Q 2019,PLN,8675,2715,2432,2357,196,2911,26478,2447,"11977,088","0,197","0,204",N
III Q 2019,PLN,6430,-155,7043,6944,207,52,24518,5850,"11977,088","0,580","0,488",N
IV Q 2019,PLN,7298,25,-370,-259,183,208,24909,6012,"11477,089","-0,023","0,524",N
I Q 2020,PLN,6687,363,450,327,201,564,25994,6338,"12327,088","0,027","0,514",N
II Q 2018,PLN,8128,-70,-79,1083,145,75,24885,-1570,"8722,500","0,124","-0,180",N
III Q 2018,PLN,8756,1402,1282,1243,141,1543,26223,-327,"8722,500","0,143","-0,037",N
IV Q 2018,PLN,8630,968,1470,1797,178,1146,26157,4776,"8722,500","0,206","0,548",N
I Q 2019,PLN,10686,292,-128,-147,165,457,28343,6028,"8722,500","-0,017","0,691",N
II Q 2017,PLN,15109,-6442,-6995,-3296,469,-5973,52135,2796,"8722,500","-0,378","0,321",N
III Q 2017,PLN,11768,-1499,-1370,-949,424,-1075,49622,2588,"8722,500","-0,109","0,297",N
IV Q 2017,PLN,-9007,8749,5825,-3690,605,9354,21685,-2531,"8722,500","-0,423","-0,290",N
I Q 2018,PLN,6443,-3,-90,-123,145,142,23257,-2653,"8722,500","-0,014","-0,304",N
II Q 2016,PLN,20316,-878,-913,-1232,519,-359,64494,18612,"8722,500","-0,141","2,134",N
III Q 2016,PLN,13474,-3952,-4380,-2668,505,-3447,57623,15739,"8722,500","-0,306","1,804",N
IV Q 2016,PLN,-26329,737,-329,-9480,500,1237,55070,12461,"8722,500","-1,087","1,429",N
I Q 2017,PLN,4957,-2738,-3331,-6351,395,-2343,50698,6077,"8722,500","-0,728","0,697",N
II Q 2015,PLN,23350,1801,1989,1005,425,2226,71500,26367,"8722,500","0,115","3,023",N
III Q 2015,PLN,26580,-570,-628,-397,501,-69,73867,26097,"8722,500","-0,046","2,992",N
IV Q 2015,PLN,22431,-4124,-4190,-5148,800,-3324,65821,23034,"8722,500","-0,590","2,641",N
I Q 2016,PLN,12141,-4822,-4947,-4399,493,-4329,58308,19549,"8722,500","-0,504","2,241",N
II Q 2014,PLN,25977,1210,1146,993,411,1621,63348,25231,"8722,500","0,114","2,893",N
III Q 2014,PLN,25675,1034,988,775,463,1497,62474,26010,"8722,500","0,089","2,982",N
IV Q 2014,PLN,28689,393,779,227,449,842,61762,26580,"8722,500","0,026","3,047",N
I Q 2015,PLN,18116,-1129,-1459,-1452,448,-681,60635,25086,"8722,500","-0,166","2,876",N
II Q 2013,PLN,31047,1073,1097,952,477,1550,64674,22683,"7540,100","0,126","3,008",N
III Q 2013,PLN,34944,662,480,457,462,1124,67044,23050,"7540,100","0,061","3,057",N
IV Q 2013,PLN,28032,1061,906,311,454,1515,65685,24518,"7540,100","0,041","3,252",N
I Q 2014,PLN,27347,-99,-135,-22,419,320,64909,25389,"8722,500","-0,003","2,911",N
II Q 2012,PLN,33479,873,162,381,505,1378,74477,21386,"6900,000","0,055","3,099",N
III Q 2012,PLN,31695,445,209,-302,515,960,65804,19140,"6900,000","-0,044","2,774",N
IV Q 2012,PLN,43410,1318,1243,907,516,1834,74478,21386,"7042,500","0,129","3,037",N
I Q 2013,PLN,18927,-683,-844,-848,446,-237,66453,20527,"7042,500","-0,120","2,915",N
II Q 2011,PLN,25514,-1007,-596,-125,538,-469,54816,20923,"6580,000","-0,019","3,180",N
III Q 2011,PLN,25317,-2314,-1519,-1385,548,-1766,0,0,"6580,000","-0,210","0,000",N
IV Q 2011,PLN,34551,-97,-726,-506,540,443,56654,18634,"6580,000","-0,077","2,832",N
I Q 2012,PLN,16229,-228,-593,-557,487,259,52098,18049,"6580,000","-0,085","2,743",N
II Q 2010,PLN,36172,377,726,851,966,1343,76873,36092,"0,000",,,N
III Q 2010,PLN,22334,-5111,-5569,-4757,1018,-4093,0,0,"0,000",,,N
IV Q 2010,PLN,32292,-2643,-3100,-2003,-233,-2876,72530,23553,"6580,000","-0,304","3,579",N
I Q 2011,PLN,15259,-2647,-4842,-4776,490,-2157,47540,20698,"6580,000","-0,726","3,146",N
II Q 2009,PLN,5796,-210,23,-24,256,46,22004,17409,"0,000",,,N
III Q 2009,PLN,11578,791,751,559,338,1129,0,0,"0,000",,,N
IV Q 2009,PLN,10686,-697,-1000,-781,570,-127,51100,27748,"0,000",,,N
I Q 2010,PLN,11539,351,-43,-385,877,1228,65652,35045,"0,000",,,N
III Q 2008,PLN,8440,560,516,534,0,560,0,0,"6300,000","0,085","0,000",N
IV Q 2008,PLN,10141,374,319,746,212,586,22520,16402,"0,000",,,N
I Q 2009,PLN,9423,989,1301,1031,176,1165,22224,17433,"0,000",,,N
