kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,292155,6240,7298,5543,3587,9827,674694,179381,"23030,083","0,241","7,789",N
I Q 2023,PLN,249287,1913,2010,1112,3555,5468,620403,180493,"23030,083","0,048","7,837",N
II Q 2023,PLN,292420,4060,3728,3029,3784,7844,648088,181823,"23030,083","0,132","7,895",N
III Q 2023,PLN,358951,7246,7809,5947,3711,10957,766362,187770,"23030,083","0,258","8,153",N
IV Q 2021,PLN,258423,7623,9395,7766,3454,11077,577507,166192,"23030,083","0,337","7,216",N
I Q 2022,PLN,153599,3604,4909,3759,3346,6950,558883,169951,"23030,083","0,163","7,380",N
II Q 2022,PLN,219625,5327,6895,5526,3361,8688,556227,172481,"23030,083","0,240","7,489",N
III Q 2022,PLN,256041,2964,3005,1564,3471,6435,591339,174045,"23030,083","0,068","7,557",N
IV Q 2020,PLN,290594,5480,5743,1332,3312,8792,524973,154494,"23030,083","0,058","6,708",N
I Q 2021,PLN,150875,-287,-599,-717,3058,2771,467317,153777,"23030,083","-0,031","6,677",N
II Q 2021,PLN,211540,2158,2143,1445,3085,5243,531258,155283,"23030,083","0,063","6,743",N
III Q 2021,PLN,230612,4670,4425,3271,3296,7966,533671,158554,"23030,083","0,142","6,885",N
IV Q 2019,PLN,247957,686,24,-222,3389,4075,554637,150291,"23030,083","-0,010","6,526",N
I Q 2020,PLN,152324,-163,-628,-730,3345,3182,473303,149561,"23030,083","-0,032","6,494",N
II Q 2020,PLN,230095,2548,2248,1681,3346,5894,499202,151182,"23030,083","0,073","6,565",N
III Q 2020,PLN,228345,2755,2648,1977,3303,6058,539149,153159,"23030,083","0,086","6,650",N
IV Q 2018,PLN,276870,-79441,-79503,-64602,2857,-76584,629562,146622,"23030,083","-2,805","6,367",N
I Q 2019,PLN,194827,-738,-774,-876,3046,2308,540467,145748,"23030,083","-0,038","6,329",N
II Q 2019,PLN,284980,3351,3396,2033,3306,6657,584034,147758,"23030,083","0,088","6,416",N
III Q 2019,PLN,268451,4571,4107,2818,3429,8000,587353,150576,"23030,083","0,122","6,538",N
IV Q 2017,PLN,182411,13288,14887,12017,2536,15824,502252,209510,"23030,083","0,522","9,097",N
I Q 2018,PLN,125903,-2335,-2280,-1942,2545,210,449491,207568,"23030,083","-0,084","9,013",N
II Q 2018,PLN,193209,3799,3801,3080,2673,6472,478271,210645,"23030,083","0,134","9,147",N
III Q 2018,PLN,236743,87,678,670,2832,2919,548405,211296,"23030,083","0,029","9,175",N
IV Q 2016,PLN,122403,7740,8160,6467,2410,10150,363373,209296,"23030,083","0,281","9,088",N
I Q 2017,PLN,33167,-9198,-9616,-7940,2377,-6821,321642,201356,"23030,083","-0,345","8,743",N
II Q 2017,PLN,74676,-6327,-7882,-6620,2405,-3922,344707,194686,"23030,083","-0,287","8,454",N
III Q 2017,PLN,125616,3878,3506,2853,2515,6393,389995,197539,"23030,083","0,124","8,577",N
IV Q 2015,PLN,157791,11835,12304,10228,2307,14142,423545,215955,"23030,083","0,444","9,377",N
I Q 2016,PLN,34575,-4260,-4164,-3269,2377,-1883,360204,212686,"23030,083","-0,142","9,235",N
II Q 2016,PLN,93199,1649,2667,2019,2370,4019,378513,207205,"23030,083","0,088","8,997",N
III Q 2016,PLN,92840,-4975,-5372,-4408,2421,-2554,381186,202797,"23030,083","-0,191","8,806",N
IV Q 2014,PLN,177695,10214,10610,8417,2316,12530,410694,201450,"23030,083","0,365","8,747",N
I Q 2015,PLN,65406,464,388,18,2230,2694,376686,199145,"23030,083","0,001","8,647",N
II Q 2015,PLN,143024,4701,4619,2998,2368,7069,415982,201952,"23030,083","0,130","8,769",N
III Q 2015,PLN,175901,5568,5143,3962,2358,7926,458620,205894,"23030,083","0,172","8,940",N
IV Q 2013,PLN,115413,-4359,-5199,88,1811,-2548,398907,191396,"23030,083","0,004","8,311",N
I Q 2014,PLN,108349,-2378,-2271,-1735,2021,-357,388270,189722,"23030,083","-0,075","8,238",N
II Q 2014,PLN,181485,2624,2606,1843,2118,4742,445104,191031,"23030,083","0,080","8,295",N
III Q 2014,PLN,176601,3531,3156,2134,2227,5758,457340,193165,"23030,083","0,093","8,388",N
IV Q 2012,PLN,141945,-2505,-2608,-2881,1961,-544,468251,178664,"22000,000","-0,131","8,121",N
I Q 2013,PLN,52957,-4816,-4368,-3863,1836,-2980,377688,175822,"22000,000","-0,176","7,992",N
II Q 2013,PLN,104101,14136,15017,10862,1919,16055,399426,185226,"22000,000","0,494","8,419",N
III Q 2013,PLN,138076,2015,2022,262,1975,3990,461328,184650,"22000,000","0,012","8,393",N
IV Q 2011,PLN,135599,14114,13390,10230,970,15084,426472,176412,"22000,000","0,465","8,019",N
I Q 2012,PLN,76814,-578,-790,-492,1752,1174,438999,176300,"22000,000","-0,022","8,014",N
II Q 2012,PLN,157089,4402,6122,4614,1750,6152,477280,181080,"22000,000","0,210","8,231",N
III Q 2012,PLN,142292,1530,879,356,1789,3319,0,0,"22000,000","0,016","0,000",N
IV Q 2010,PLN,155156,11939,11880,9934,1422,13361,418995,155147,"22000,000","0,452","7,052",N
I Q 2011,PLN,45964,-3340,-3607,-2679,1719,-1621,340974,152469,"22000,000","-0,122","6,930",N
II Q 2011,PLN,161032,8957,9287,7179,2139,11096,391323,159647,"22000,000","0,326","7,257",N
III Q 2011,PLN,182746,8965,8255,6534,2039,11004,0,0,"22000,000","0,297","0,000",N
III Q 2009,PLN,91419,7403,9276,7343,0,7403,0,0,"16000,000","0,459","0,000",N
IV Q 2009,PLN,54021,5694,6720,5307,490,6184,162166,51480,"16000,000","0,332","3,218",N
I Q 2010,PLN,28783,-5158,-5532,-4096,1825,-3333,0,0,"16000,000","-0,256","0,000",N
III Q 2010,PLN,145650,9151,7822,5800,1796,10947,0,0,"16000,000","0,363","0,000",N
