<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP,D,19980602,000000,9.70025,9.70025,9.70025,9.70025,631408.7399825468,0
ACP,D,19980603,000000,10.6573,10.6573,10.6573,10.6573,242050.56402552628,0
ACP,D,19980604,000000,11.6143,11.6143,11.6143,11.6143,716860.4671154971,0
ACP,D,19980605,000000,11.7543,11.7543,11.7543,11.7543,275520.17724552454,0
ACP,D,19980608,000000,11.7058,11.7058,11.7058,11.7058,154985.63279393368,0
ACP,D,19980609,000000,11.2274,11.2274,11.2274,11.2274,107054.01643488908,0
ACP,D,19980610,000000,10.3197,10.3197,10.3197,10.3197,213878.5119614348,0
ACP,D,19980615,000000,9.70025,9.70025,9.70025,9.70025,353620.67757124815,0
ACP,D,19980616,000000,10.037,10.037,10.037,10.037,292523.30472694413,0
ACP,D,19980617,000000,10.9895,10.9895,10.9895,10.9895,180003.4118033632,0
ACP,D,19980618,000000,11.1789,11.1789,11.1789,11.1789,155680.75325920223,0
ACP,D,19980619,000000,11.0855,11.0855,11.0855,11.0855,212935.2903238141,0
ACP,D,19980622,000000,11.3746,11.3746,11.3746,11.3746,304760.04801176605,0
ACP,D,19980623,000000,11.7058,11.7058,11.7058,11.7058,292819.49599437776,0
ACP,D,19980624,000000,11.7058,11.7058,11.7058,11.7058,104104.12628432331,0
ACP,D,19980625,000000,11.7058,11.7058,11.7058,11.7058,118867.78547433528,0
ACP,D,19980626,000000,12.0865,12.0865,12.0865,12.0865,432452.3659335515,0
ACP,D,19980629,000000,12.3271,12.3271,12.3271,12.3271,196770.46063620102,0
ACP,D,19980630,000000,12.4241,12.4241,12.4241,12.4241,176312.49700586023,0
ACP,D,19980701,000000,13.0444,13.0444,13.0444,13.0444,228874.9709299093,0
ACP,D,19980702,000000,13.2833,13.2833,13.2833,13.2833,194252.28838466213,0
ACP,D,19980703,000000,13.6199,13.6199,13.6199,13.6199,204238.63381101238,0
ACP,D,19980706,000000,14.0948,14.0948,14.0948,14.0948,233706.93252889087,0
ACP,D,19980707,000000,14.48,14.48,14.48,14.48,452077.4965536177,0
ACP,D,19980708,000000,14.3326,14.3326,14.3326,14.3326,140683.20133402132,0
ACP,D,19980709,000000,13.6199,13.6199,13.6199,13.6199,314117.943331938,0
ACP,D,19980710,000000,13.6199,13.6199,13.6199,13.6199,136325.5829456161,0
ACP,D,19980713,000000,14.5724,14.5724,14.5724,14.5724,55922.22283951377,0
ACP,D,19980714,000000,15.6712,15.6712,15.6712,15.6712,278532.36592835496,0
ACP,D,19980715,000000,15.6712,15.6712,15.6712,15.6712,167749.181211239,0
ACP,D,19980716,000000,15.5276,15.5276,15.5276,15.5276,107233.26133473821,0
ACP,D,19980717,000000,15.9101,15.9101,15.9101,15.9101,185949.0962861634,0
ACP,D,19980720,000000,15.5276,16.6274,15.5276,16.4855,164334.78446045445,0
ACP,D,19980721,000000,16.6274,16.6274,16.1489,16.2467,240108.37995825865,0
ACP,D,19980722,000000,15.9101,15.9101,15.5276,15.6712,203062.61239492914,0
ACP,D,19980723,000000,15.7692,16.6274,15.7692,16.3886,186561.15204174575,0
ACP,D,19980724,000000,16.007,16.4855,16.007,16.2467,173977.94148099603,0
ACP,D,19980727,000000,16.1489,16.1489,15.2897,15.4361,156529.9806200728,0
ACP,D,19980728,000000,15.5276,15.5276,15.0509,15.1982,223154.43552862693,0
ACP,D,19980729,000000,14.8121,15.1982,14.48,15.1982,246379.7655395652,0
ACP,D,19980730,000000,15.2897,15.6712,15.0509,15.1982,121166.27342788837,0
ACP,D,19980731,000000,15.6712,15.6712,15.2897,15.4361,130152.56346788528,0
ACP,D,19980803,000000,15.0509,15.2897,14.9567,15.1982,406403.9287499895,0
ACP,D,19980804,000000,15.2897,16.007,15.2897,16.007,145398.21656541835,0
ACP,D,19980805,000000,15.5276,16.007,15.5276,15.7692,212125.40940437384,0
ACP,D,19980806,000000,16.2467,16.6274,15.9101,16.007,206422.36131039378,0
ACP,D,19980807,000000,16.4855,17.2038,16.2467,17.2038,261588.25810908078,0
ACP,D,19980810,000000,16.7244,17.2038,16.7244,16.9632,191012.76470690113,0
ACP,D,19980811,000000,16.3886,16.3886,15.1982,15.4361,315515.83495941985,0
ACP,D,19980812,000000,16.2467,16.3886,15.6712,16.007,290470.7320323304,0
ACP,D,19980813,000000,15.2897,15.2897,14.7188,15.0509,339328.0827216934,0
ACP,D,19980814,000000,15.5276,16.007,15.5276,15.9101,128668.32826059803,0
ACP,D,19980817,000000,15.0509,15.2897,14.9567,15.1982,123918.33841459626,0
ACP,D,19980818,000000,15.7692,16.007,15.7692,15.7692,152781.13911713075,0
ACP,D,19980819,000000,16.3886,16.3886,15.7692,16.2467,216026.17188950506,0
ACP,D,19980820,000000,16.1489,16.2467,16.007,16.1489,301249.47107081854,0
ACP,D,19980821,000000,15.1982,15.4361,15.0509,15.4361,216382.47577579052,0
ACP,D,19980824,000000,15.7692,15.7692,15.4361,15.4361,112357.0423743278,0
ACP,D,19980825,000000,16.007,16.1489,15.9101,15.9101,191557.05714668692,0
ACP,D,19980826,000000,15.4361,15.4361,15.0509,15.0509,98043.68134735142,0
ACP,D,19980827,000000,14.48,14.48,13.3811,13.3811,148939.39629414494,0
ACP,D,19980828,000000,13.0444,13.7626,12.566,13.3811,200124.7447681337,0
ACP,D,19980831,000000,13.6199,13.6199,13.3811,13.5211,257654.7069227576,0
ACP,D,19980901,000000,12.4241,13.1414,12.4241,12.9026,168774.37460183943,0
ACP,D,19980902,000000,13.6199,14.2403,13.6199,14.0006,250648.85443475225,0
ACP,D,19980903,000000,13.3811,13.3811,12.8038,12.8038,119173.81335212647,0
ACP,D,19980904,000000,13.3811,13.8587,13.3811,13.7626,258476.61036596823,0
ACP,D,19980907,000000,14.48,14.7188,14.0006,14.2403,215254.5444547887,0
ACP,D,19980908,000000,14.48,14.9567,14.3326,14.9567,228884.8075402669,0
ACP,D,19980909,000000,14.3326,14.3326,13.8587,14.0006,157898.36241648195,0
ACP,D,19980910,000000,14.0948,14.3326,13.8587,13.8587,288067.32023496315,0
ACP,D,19980911,000000,13.6199,13.7626,13.6199,13.6199,184338.07810093407,0
ACP,D,19980914,000000,14.2403,14.3326,14.0006,14.2403,100927.99409553337,0
ACP,D,19980915,000000,14.2403,14.2403,13.7626,13.7626,69075.95680100282,0
ACP,D,19980916,000000,13.8587,13.8587,13.7626,13.7626,105153.36472246454,0
ACP,D,19980917,000000,13.1414,13.1414,12.6638,12.6638,132748.3356455784,0
ACP,D,19980918,000000,12.6638,13.1414,12.6638,13.1414,72989.8347666108,0
ACP,D,19980921,000000,12.9026,12.9026,12.6638,12.6638,292532.0483805953,0
ACP,D,19980922,000000,13.3811,13.8587,13.3811,13.6199,132134.09397658324,0
ACP,D,19980923,000000,14.2403,14.48,14.2403,14.3326,228967.87224995304,0
ACP,D,19980924,000000,15.2897,15.2897,14.8121,14.8121,156018.47688147894,0
ACP,D,19980925,000000,14.5724,14.7188,14.3326,14.5724,173448.95043509983,0
ACP,D,19980928,000000,15.0509,15.2897,14.9567,15.2897,110917.61839200281,0
ACP,D,19980929,000000,15.9101,16.2467,15.7692,16.1489,230459.7581541851,0
ACP,D,19980930,000000,15.9101,15.9101,15.2897,15.7692,157817.48362020857,0
ACP,D,19981001,000000,15.0509,15.0509,14.5724,14.8121,84837.48546395532,0
ACP,D,19981002,000000,14.3326,15.0509,14.3326,14.9567,95021.65605416345,0
ACP,D,19981005,000000,14.9567,15.2897,14.8121,14.8121,54859.8689208958,0
ACP,D,19981006,000000,15.0509,15.1982,15.0509,15.1982,77034.86753698646,0
ACP,D,19981007,000000,15.5276,15.5276,15.2897,15.2897,153156.02326742496,0
ACP,D,19981008,000000,15.6712,15.6712,15.1982,15.1982,129048.67719442422,0
ACP,D,19981009,000000,15.5276,15.5276,15.1982,15.5276,148991.858216052,0
ACP,D,19981012,000000,16.1489,16.1489,15.9101,16.007,102692.02621965828,0
ACP,D,19981013,000000,15.7692,15.7692,15.6712,15.6712,54658.76488691873,0
ACP,D,19981014,000000,15.9101,15.9101,15.4361,15.9101,27812.46930768688,0
ACP,D,19981015,000000,16.2467,16.2467,15.7692,15.7692,68235.47309378345,0
ACP,D,19981016,000000,16.2467,16.4855,16.007,16.4855,47167.63962127304,0
ACP,D,19981019,000000,16.4855,16.4855,16.007,16.007,12295.762946967321,0
ACP,D,19981020,000000,16.4855,16.867,16.4855,16.867,182628.693812129,0
ACP,D,19981021,000000,16.7244,17.105,16.6274,17.105,65675.76848740145,0
ACP,D,19981022,000000,17.105,18.1553,17.105,17.8232,63801.34773593043,0
ACP,D,19981023,000000,17.9202,18.633,17.9202,17.9202,102018.76488851766,0
ACP,D,19981026,000000,17.9202,18.3008,17.6814,18.063,101510.54002004302,0
ACP,D,19981027,000000,18.1553,18.1553,17.6814,18.063,83098.59134407755,0
ACP,D,19981028,000000,18.063,18.5405,18.063,18.5405,105141.34219869415,0
ACP,D,19981029,000000,18.1553,18.633,18.1553,18.3942,44887.7319317287,0
ACP,D,19981030,000000,18.3942,19.0199,18.3942,18.633,36794.38752085822,0
ACP,D,19981102,000000,19.1115,20.3073,19.1115,19.8288,63769.651991444916,0
ACP,D,19981103,000000,19.5909,19.5909,19.3511,19.5909,101811.10311430221,0
ACP,D,19981104,000000,19.9715,20.4509,19.9715,20.4509,40002.215454133686,0
ACP,D,19981105,000000,20.547,20.547,19.7328,20.0676,122775.10569970489,0
ACP,D,19981106,000000,21.0264,21.0264,19.8288,20.3073,143077.86947773735,0
ACP,D,19981109,000000,20.547,20.547,19.8288,20.2103,61513.789349441315,0
ACP,D,19981110,000000,20.0676,20.3073,20.0676,20.0676,136515.75741252917,0
ACP,D,19981112,000000,20.4509,20.4509,20.3073,20.4509,89621.35696785542,0
ACP,D,19981113,000000,20.4509,20.6888,20.3073,20.547,87963.341644251,0
ACP,D,19981116,000000,19.8288,20.7849,19.8288,20.3073,36607.49192406431,0
ACP,D,19981117,000000,19.5909,19.5909,19.0199,19.1115,32238.943968595115,0
ACP,D,19981118,000000,19.1115,19.1115,18.633,18.8736,81800.1587768778,0
ACP,D,19981119,000000,19.0199,19.0199,18.633,18.7793,36333.15979075864,0
ACP,D,19981120,000000,19.1115,19.1115,18.8736,19.1115,19618.572879827858,0
ACP,D,19981123,000000,19.2579,19.2579,18.8736,19.1115,38407.59161950032,0
ACP,D,19981124,000000,19.3511,19.3511,18.7793,18.8736,51877.19006913813,0
ACP,D,19981125,000000,18.633,18.7793,18.3942,18.7793,15634.745685010448,0
ACP,D,19981126,000000,18.633,18.7793,18.633,18.7793,24268.010708841102,0
ACP,D,19981127,000000,18.633,18.633,18.3008,18.3942,16030.396012726196,0
ACP,D,19981130,000000,18.3942,18.5405,18.3942,18.5405,52327.488232173724,0
ACP,D,19981201,000000,17.8232,17.8232,17.6814,17.8232,44078.943968994856,0
ACP,D,19981202,000000,17.9202,18.3008,17.9202,18.3008,72572.32530476712,0
ACP,D,19981203,000000,18.3942,19.3511,18.3942,19.3511,87120.67202361886,0
ACP,D,19981204,000000,19.5909,20.0676,19.5909,20.0676,64823.26225641172,0
ACP,D,19981207,000000,20.2103,20.2103,20.0676,20.2103,48981.94775389222,0
ACP,D,19981208,000000,20.2103,20.3073,20.0676,20.2103,56906.976831977554,0
ACP,D,19981209,000000,20.2103,20.3073,20.2103,20.2103,40461.25727082047,0
ACP,D,19981210,000000,20.4509,20.4509,20.2103,20.2103,59760.68679238037,0
ACP,D,19981211,000000,20.0676,20.0676,19.8288,19.8288,30623.55395654021,0
ACP,D,19981214,000000,19.8288,20.0676,19.8288,19.9715,38598.85904311982,0
ACP,D,19981215,000000,20.2103,20.2103,20.0676,20.2103,8258.380873536453,0
ACP,D,19981216,000000,20.4509,20.4509,20.2103,20.4509,27683.500416332026,0
ACP,D,19981217,000000,20.0676,20.0676,19.7328,19.8288,16939.73599244858,0
ACP,D,19981218,000000,20.0676,20.4509,20.0676,20.4509,31609.40090571039,0
ACP,D,19981221,000000,20.547,20.7849,20.547,20.6888,41199.0030476385,0
ACP,D,19981222,000000,20.9276,21.7429,20.9276,21.504,48605.97064689161,0
ACP,D,19981223,000000,21.2644,21.8856,21.2644,21.8856,41251.46496954557,0
ACP,D,19981228,000000,22.1244,23.4117,22.1244,22.6944,28482.4517687083,0
ACP,D,19981229,000000,21.9825,21.9825,21.2644,21.4062,20988.04763294342,0
ACP,D,19981230,000000,21.504,21.6459,21.504,21.6459,24987.176221650392,0
ACP,D,19981231,000000,21.7429,21.9825,21.7429,21.9825,5939.126742561815,0
ACP,D,19990104,000000,22.2168,22.6944,22.2168,22.3632,16796.55866391056,0
ACP,D,19990105,000000,22.6944,23.4117,22.6944,22.9342,76281.82036627887,0
ACP,D,19990106,000000,23.4117,26.2783,23.4117,26.2783,138753.03979052405,0
ACP,D,19990107,000000,25.7073,26.6634,24.99,25.5656,132220.43755638858,0
ACP,D,19990108,000000,25.4676,25.4676,24.99,25.2288,93888.25994962968,0
ACP,D,19990111,000000,25.0861,25.0861,24.3688,24.6085,36885.10292748917,0
ACP,D,19990112,000000,24.3688,24.3688,23.6515,23.6515,74328.70673194726,0
ACP,D,19990113,000000,23.8902,23.8902,22.2168,22.6944,73611.72713255076,0
ACP,D,19990114,000000,22.9342,24.3688,22.9342,23.8902,118507.10976122423,0
ACP,D,19990115,000000,23.8902,24.13,23.4117,24.13,80966.23280989681,0
ACP,D,19990118,000000,25.8043,26.2783,25.8043,25.8043,120217.5870067357,0
ACP,D,19990119,000000,25.8043,26.2783,25.8043,26.0431,90351.45204772867,0
ACP,D,19990120,000000,26.5161,27.8556,26.5161,27.8556,78667.74485634374,0
ACP,D,19990121,000000,29.1485,29.6279,28.4302,29.1485,97781.37173781612,0
ACP,D,19990122,000000,29.1485,29.6279,28.9097,29.3873,196554.0552083344,0
ACP,D,19990125,000000,29.8658,31.057,29.8658,30.9628,107204.84446037188,0
ACP,D,19990126,000000,31.2958,31.2958,30.5776,30.8183,88842.07883619428,0
ACP,D,19990127,000000,30.9628,30.9628,29.8658,30.4861,25518.353180959377,0
ACP,D,19990128,000000,29.8658,31.057,29.8658,30.8183,75007.43284661985,0
ACP,D,19990129,000000,31.057,31.057,30.8183,30.8183,55909.10735903701,0
ACP,D,19990201,000000,31.057,31.5364,30.5776,31.2958,47098.783348770026,0
ACP,D,19990202,000000,31.2958,31.2958,30.5776,30.5776,60432.85516681459,0
ACP,D,19990203,000000,28.8109,30.2473,28.8109,29.8658,43099.65476006305,0
ACP,D,19990204,000000,29.8658,30.3397,29.8658,30.1046,43065.77310216474,0
ACP,D,19990205,000000,29.1485,29.1485,28.6708,28.6708,63736.86329025301,0
ACP,D,19990208,000000,28.6708,28.9097,28.1914,28.6708,25803.61488132902,0
ACP,D,19990209,000000,28.4302,28.4302,27.3826,27.7129,36290.53447920915,0
ACP,D,19990210,000000,26.2783,26.5161,25.5656,26.5161,167501.08003888684,0
ACP,D,19990211,000000,26.7568,27.9526,26.7568,27.4741,66786.2125011009,0
ACP,D,19990212,000000,27.7129,28.3332,27.6205,27.7129,49282.51084815142,0
ACP,D,19990215,000000,27.4741,28.3332,27.4741,28.1914,14748.357796122404,0
ACP,D,19990216,000000,27.7129,27.8556,27.4741,27.8556,60534.50014050952,0
ACP,D,19990217,000000,27.4741,27.4741,26.9965,27.2353,46573.071172993026,0
ACP,D,19990218,000000,27.4741,27.4741,26.9965,26.9965,45592.68900735483,0
ACP,D,19990219,000000,27.4741,27.4741,26.7568,26.9032,61592.48223230191,0
ACP,D,19990222,000000,27.4741,27.4741,26.9032,26.9965,22861.37542770804,0
ACP,D,19990223,000000,27.4741,27.4741,26.7568,26.9032,25494.308133418643,0
ACP,D,19990224,000000,26.2783,29.3873,25.9452,26.0431,55453.34441246942,0
ACP,D,19990225,000000,25.5656,25.5656,23.8902,24.032,145069.23659679282,0
ACP,D,19990226,000000,24.13,25.0861,24.13,24.8481,169092.425003401,0
ACP,D,19990301,000000,24.8481,24.8481,24.3688,24.6085,89272.70377851474,0
ACP,D,19990302,000000,25.0861,26.0431,25.0861,26.0431,115734.27859709482,0
ACP,D,19990303,000000,25.9452,25.9452,25.5656,25.7073,62801.29234957709,0
ACP,D,19990304,000000,25.7073,25.7073,25.0861,25.0861,67988.4648781377,0
ACP,D,19990305,000000,25.3258,25.3258,24.8481,25.3258,54058.73165510673,0
ACP,D,19990308,000000,25.3258,25.7073,24.8481,25.5656,97566.0592666559,0
ACP,D,19990309,000000,25.8043,26.4246,25.8043,25.9452,211041.1963516279,0
ACP,D,19990310,000000,26.5161,26.7568,26.2783,26.5161,131255.35678463997,0
ACP,D,19990311,000000,27.3826,27.3826,26.5161,26.9965,81831.85452136332,0
ACP,D,19990312,000000,27.9526,27.9526,27.4741,27.7129,108066.0943450128,0
ACP,D,19990315,000000,28.1914,28.4302,27.8556,28.0944,133526.52082053313,0
ACP,D,19990316,000000,28.4302,28.6708,28.0944,28.6708,45897.623928439614,0
ACP,D,19990317,000000,28.4302,28.6708,28.3332,28.3332,55236.9389846028,0
ACP,D,19990318,000000,28.1914,28.1914,27.7129,27.7129,44992.65577554282,0
ACP,D,19990319,000000,27.7129,28.572,27.7129,28.572,27181.833288095757,0
ACP,D,19990322,000000,28.9097,30.3397,28.9097,29.6279,40085.280163819865,0
ACP,D,19990323,000000,30.1046,30.1046,28.9097,29.1485,36010.73756237149,0
ACP,D,19990324,000000,28.1914,29.3873,28.1914,29.1485,31667.327611149438,0
ACP,D,19990325,000000,28.6708,28.6708,28.4302,28.6708,25452.775778575553,0
ACP,D,19990326,000000,29.3873,29.3873,28.4302,28.4302,24957.66639057767,0
ACP,D,19990329,000000,27.4741,28.4302,27.4741,28.4302,38011.94129178458,0
ACP,D,19990330,000000,28.6708,28.6708,28.0944,28.0944,43966.36942823595,0
ACP,D,19990331,000000,27.8556,28.4302,27.8556,28.4302,21114.83061088548,0
ACP,D,19990401,000000,27.9526,28.8109,27.9526,28.572,21124.667221243057,0
ACP,D,19990406,000000,28.9097,29.2893,28.8109,28.9097,29433.324103273775,0
ACP,D,19990407,000000,29.1485,29.1485,28.6708,29.0505,52202.89116764446,0
ACP,D,19990408,000000,29.1485,29.1485,28.8109,28.8109,88477.03129625766,0
ACP,D,19990409,000000,29.1485,29.1485,28.6708,29.1485,41507.21683884248,0
ACP,D,19990412,000000,29.1485,29.1485,28.4302,28.572,20383.642574305824,0
ACP,D,19990413,000000,28.9097,28.9097,28.3332,28.4302,59659.041818685444,0
ACP,D,19990414,000000,28.4302,29.1485,28.4302,28.4302,17959.46459951707,0
ACP,D,19990415,000000,28.4302,28.4302,28.1914,28.1914,20498.403028477518,0
ACP,D,19990416,000000,28.4302,28.8109,28.4302,28.6708,16624.964461006217,0
ACP,D,19990419,000000,29.1485,29.8658,29.1485,29.8658,21741.09480365102,0
ACP,D,19990420,000000,28.6708,28.8109,28.6708,28.6708,48722.91701447611,0
ACP,D,19990421,000000,29.3873,29.6279,29.2893,29.6279,24047.23345414889,0
ACP,D,19990422,000000,29.6279,29.8658,29.6279,29.7688,50497.87870566499,0
ACP,D,19990423,000000,29.8658,30.1046,29.7688,29.7688,54098.07809653702,0
ACP,D,19990426,000000,29.6279,29.6279,29.529,29.529,43572.90501393299,0
ACP,D,19990427,000000,29.8658,30.3397,29.8658,29.8658,58756.25957920144,0
ACP,D,19990428,000000,29.6279,29.6279,28.9097,29.1485,8452.927167275135,0
ACP,D,19990429,000000,28.9097,29.1485,28.9097,29.1485,63946.710977881245,0
ACP,D,19990430,000000,29.0505,29.3873,29.0505,29.2893,20094.009047110598,0
ACP,D,19990504,000000,29.3873,29.529,29.3873,29.3873,16995.47678447483,0
ACP,D,19990505,000000,28.9097,29.1485,28.8109,29.1485,24369.655682536035,0
ACP,D,19990506,000000,29.3873,29.3873,28.9097,28.9097,47092.22560853164,0
ACP,D,19990507,000000,28.8109,28.9097,28.8109,28.9097,54571.32835040696,0
ACP,D,19990510,000000,28.1914,30.5776,28.0944,28.0944,36587.818703349156,0
ACP,D,19990511,000000,28.6708,28.6708,28.4302,28.6708,34676.23742386064,0
ACP,D,19990512,000000,28.1914,28.4302,28.1914,28.1914,65652.81639656711,0
ACP,D,19990513,000000,27.9526,27.9526,27.7129,27.9526,54996.488509195435,0
ACP,D,19990514,000000,28.1914,28.1914,27.3826,27.7129,63342.305919243656,0
ACP,D,19990517,000000,27.4741,27.6205,27.4741,27.6205,41318.135328635784,0
ACP,D,19990518,000000,27.7129,27.7129,27.4741,27.4741,35624.92384501332,0
ACP,D,19990519,000000,27.9526,28.4302,27.9526,28.4302,66444.1170519986,0
ACP,D,19990520,000000,27.7129,27.9526,27.7129,27.8556,99509.33629062993,0
ACP,D,19990521,000000,27.4741,28.1914,27.4741,28.0944,76098.20363960415,0
ACP,D,19990524,000000,27.9526,27.9526,27.9526,27.9526,12292.48407684813,0
ACP,D,19990525,000000,27.6205,27.7129,27.3826,27.6205,17861.09849594133,0
ACP,D,19990526,000000,27.6205,27.9526,27.6205,27.8556,12645.50909301439,0
ACP,D,19990527,000000,27.9526,28.1914,27.9526,28.1914,14627.039601712326,0
ACP,D,19990528,000000,27.7129,27.9526,27.6205,27.9526,7761.085572125773,0
ACP,D,19990531,000000,27.4741,27.7129,27.4741,27.7129,7926.122034791734,0
ACP,D,19990601,000000,27.7129,28.1914,27.7129,28.0944,8746.932521295954,0
ACP,D,19990602,000000,28.1914,28.1914,27.9526,27.9526,5464.783531985476,0
