<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALE,D,20201012,000000,65,72.1,60,70,59867551,0
ALE,D,20201013,000000,72,80,71.08,80,18452974,0
ALE,D,20201014,000000,84,90.3,71.25,75.96,16731591,0
ALE,D,20201015,000000,76,80,71.52,79.22,6235974,0
ALE,D,20201016,000000,80,85.44,79.25,81.45,15480831,0
ALE,D,20201019,000000,81.45,83.62,79.8,83.4,3205087,0
ALE,D,20201020,000000,83.45,85.6,83.33,85,3048042,0
ALE,D,20201021,000000,85.99,85.99,82.12,84.17,2734889,0
ALE,D,20201022,000000,83.84,89,83.72,85.37,5133134,0
ALE,D,20201023,000000,86.37,89,85.43,89,30874654,0
ALE,D,20201026,000000,89,92.86,85.5,91.7,2752483,0
ALE,D,20201027,000000,91.6,98.78,90.4,94.64,3996495,0
ALE,D,20201028,000000,94.64,96.55,82.1,87.67,4158058,0
ALE,D,20201029,000000,88,90.37,84.63,85.94,1854893,0
ALE,D,20201030,000000,85,86.8,80,80.45,1850831,0
ALE,D,20201102,000000,81.2,85.44,81.18,84.17,2942285,0
ALE,D,20201103,000000,85.4,85.5,82.12,83.69,1908419,0
ALE,D,20201104,000000,83,87.2,82.5,86.59,2026196,0
ALE,D,20201105,000000,88.3,89.6,86.7,87.56,1296652,0
ALE,D,20201106,000000,88,93,87.87,92.13,2860026,0
ALE,D,20201109,000000,94,95.3,84.6,90.61,4577919,0
ALE,D,20201110,000000,89,89,82.62,82.75,4475543,0
ALE,D,20201112,000000,84.41,84.6,79.45,79.5,4993858,0
ALE,D,20201113,000000,79.95,80.36,74.7,75.88,3626856,0
ALE,D,20201116,000000,76.05,76.48,72.11,72.39,2730979,0
ALE,D,20201117,000000,71.2,71.44,67.4,67.89,4080037,0
ALE,D,20201118,000000,67.8,69.99,65.3,67.3,3151660,0
ALE,D,20201119,000000,67.67,71.9,67.45,71.9,2647711,0
ALE,D,20201120,000000,73.29,79.45,72.74,78.32,3325301,0
ALE,D,20201123,000000,79.6,81.62,75,76.6,2947478,0
ALE,D,20201124,000000,76.6,79.2,73.46,78.27,2364059,0
ALE,D,20201125,000000,75.5,79.34,75.02,79.34,2028319,0
ALE,D,20201126,000000,77,77.32,74,74.2,1938984,0
ALE,D,20201127,000000,72.68,76,70.7,75,1889733,0
ALE,D,20201130,000000,75,77.6,74.32,77.07,3324698,0
ALE,D,20201201,000000,78.5,78.5,75.01,75.01,1038188,0
ALE,D,20201202,000000,74.2,75.87,74,75.2,1106902,0
ALE,D,20201203,000000,75.6,76.4,74.8,74.8,1437814,0
