<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMB,D,20050622,000000,4.48147,4.48147,4.31749,4.3899,93366.55091963273,0
AMB,D,20050623,000000,4.31749,4.3416,4.17772,4.24527,44657.74228094049,0
AMB,D,20050624,000000,4.20183,4.22107,4.15343,4.22107,5902.577160096009,0
AMB,D,20050627,000000,4.20183,4.24527,4.20183,4.24527,42758.22530576018,0
AMB,D,20050628,000000,4.29339,4.29339,4.29339,4.29339,28516.75771412732,0
AMB,D,20050629,000000,4.31749,4.3416,4.31749,4.31749,9464.85339442382,0
AMB,D,20050630,000000,4.26938,4.36589,4.26938,4.29339,12705.270060871573,0
AMB,D,20050701,000000,4.29339,4.43344,4.29339,4.43344,17791.742282751395,0
AMB,D,20050704,000000,4.4141,4.43344,4.4141,4.43344,10109.663579565547,0
AMB,D,20050705,000000,4.43344,4.55396,4.43344,4.50566,108735.07252353439,0
AMB,D,20050706,000000,4.48147,4.52977,4.48147,4.50566,73135.22221729351,0
AMB,D,20050707,000000,4.43344,4.50566,4.43344,4.50566,24242.02623293436,0
AMB,D,20050708,000000,4.50566,4.52977,4.50566,4.50566,96581.87345028116,0
AMB,D,20050711,000000,4.43344,4.43344,4.43344,4.43344,7135.46296248205,0
AMB,D,20050712,000000,4.43344,4.48147,4.43344,4.43344,8923.692900633134,0
AMB,D,20050713,000000,4.48147,4.48147,4.43344,4.45745,6927.07253039733,0
AMB,D,20050714,000000,4.48147,4.48147,4.45745,4.48147,61254.78548969885,0
AMB,D,20050715,000000,4.48147,4.50566,4.48147,4.50566,11131.976851101688,0
AMB,D,20050718,000000,4.50566,4.50566,4.45745,4.50566,78712.66666136142,0
AMB,D,20050719,000000,4.45745,4.50566,4.43344,4.48147,12127.01388807104,0
AMB,D,20050720,000000,4.50566,4.52977,4.48147,4.50566,17093.470677860183,0
AMB,D,20050721,000000,4.50566,4.55396,4.43344,4.55396,161021.4320879159,0
AMB,D,20050722,000000,4.55396,4.57807,4.50566,4.50566,26414.3055537753,0
AMB,D,20050725,000000,4.52977,4.52977,4.52977,4.52977,7431.137345178173,0
AMB,D,20050726,000000,4.52977,4.52977,4.50566,4.50566,77876.92283425704,0
AMB,D,20050727,000000,4.50566,4.57807,4.50566,4.57807,115393.74690580175,0
AMB,D,20050728,000000,4.52977,4.52977,4.50566,4.50566,27422.435183336773,0
AMB,D,20050729,000000,4.55396,4.55396,4.52977,4.52977,558.6172839129679,0
AMB,D,20050801,000000,4.55396,4.55396,4.45745,4.50566,3967.0555552881856,0
AMB,D,20050802,000000,4.48147,4.52977,4.48147,4.52977,1165.2407406622065,0
AMB,D,20050803,000000,4.52977,4.55396,4.45745,4.55396,2785.4490738863415,0
AMB,D,20050804,000000,4.45745,4.52977,4.45745,4.52977,896.8425925321476,0
AMB,D,20050805,000000,4.50566,4.55396,4.50566,4.55396,22267.226850351406,0
AMB,D,20050808,000000,4.55396,4.55396,4.50566,4.55396,2508.3225306951426,0
AMB,D,20050809,000000,4.50566,4.50566,4.50566,4.50566,1782.7746912378702,0
AMB,D,20050810,000000,4.50566,4.50566,4.50566,4.50566,1885.3333332062666,0
AMB,D,20050811,000000,4.50566,4.50566,4.50566,4.50566,8895.325616684428,0
AMB,D,20050812,000000,4.50566,4.50566,4.50566,4.50566,70657.44906931164,0
AMB,D,20050816,000000,4.50566,4.52977,4.50566,4.52977,8640.020061146079,0
AMB,D,20050817,000000,4.52977,4.64552,4.52977,4.64552,156907.08486596507,0
AMB,D,20050818,000000,4.66973,4.88191,4.66973,4.71803,105190.2530793306,0
AMB,D,20050819,000000,4.81436,4.85789,4.74204,4.83864,14914.645060723185,0
AMB,D,20050822,000000,4.83864,5.28711,4.83864,5.28711,152521.06634774836,0
AMB,D,20050823,000000,5.28711,5.28711,5.05082,5.07017,36506.512343218565,0
AMB,D,20050824,000000,5.00252,5.07017,4.97841,5.00252,25364.71604767278,0
AMB,D,20050825,000000,4.97841,5.07017,4.95432,5.02663,11747.32870291186,0
AMB,D,20050826,000000,4.95432,5.05082,4.95432,4.97841,8101.041666120676,0
AMB,D,20050829,000000,4.76633,5.00252,4.76633,4.95432,33593.410491563045,0
AMB,D,20050830,000000,4.97841,5.02663,4.95432,5.00252,20358.981480109338,0
AMB,D,20050831,000000,5.00252,5.02663,4.95432,4.95432,70787.28394584639,0
AMB,D,20050901,000000,4.95432,4.97841,4.79025,4.97841,97594.36727737299,0
AMB,D,20050902,000000,4.88191,4.97841,4.85789,4.85789,25312.345677306355,0
AMB,D,20050905,000000,4.85789,5.05082,4.85789,5.00252,127024.33332477303,0
AMB,D,20050906,000000,5.00252,5.00252,4.83864,4.83864,75547.53240231579,0
