<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC,D,19970908,000000,43.044,43.044,43.044,43.044,191968.66207465,0
AMC,D,19970909,000000,44.3881,44.3881,44.3881,44.3881,115707.64138274,0
AMC,D,19970910,000000,45.7322,45.7322,45.7322,45.7322,56501.020691328,0
AMC,D,19970911,000000,44.7268,44.7268,44.7268,44.7268,77999.062071275,0
AMC,D,19970912,000000,44.0533,44.0533,44.0533,44.0533,49799.393104923,0
AMC,D,19970915,000000,44.0533,44.0533,44.0533,44.0533,188009.3241435,0
AMC,D,19970916,000000,46.0699,46.0699,46.0699,46.0699,47412.468966921,0
AMC,D,19970917,000000,46.0699,46.0699,46.0699,46.0699,65646.179312288,0
AMC,D,19970918,000000,46.4067,46.4067,46.4067,46.4067,66660.910346801,0
AMC,D,19970919,000000,46.4067,46.4067,46.4067,46.4067,211740.19310972,0
AMC,D,19970922,000000,47.0792,47.0792,47.0792,47.0792,52795.365518804,0
AMC,D,19970923,000000,47.0792,47.0792,47.0792,47.0792,20019.972414386,0
AMC,D,19970924,000000,45.7322,45.7322,45.7322,45.7322,16735.724138426,0
AMC,D,19970925,000000,45.7322,45.7322,45.7322,45.7322,54989.40689818,0
AMC,D,19970926,000000,46.0699,46.0699,46.0699,46.0699,123882.09655539,0
AMC,D,19970929,000000,45.7322,45.7322,45.7322,45.7322,11346.53793137,0
AMC,D,19970930,000000,46.4067,46.4067,46.4067,46.4067,42206.731035732,0
AMC,D,19971001,000000,46.4067,46.4067,46.4067,46.4067,29001.600000859,0
AMC,D,19971002,000000,47.0792,47.0792,47.0792,47.0792,14264.937931457,0
AMC,D,19971003,000000,44.7268,44.7268,44.7268,44.7268,7792.8827588514,0
AMC,D,19971006,000000,45.0607,45.0607,45.0607,45.0607,39512.662070135,0
AMC,D,19971007,000000,45.7322,45.7322,45.7322,45.7322,40799.944828794,0
AMC,D,19971008,000000,46.7415,46.7415,46.7415,46.7415,35511.3931045,0
AMC,D,19971009,000000,47.0792,47.0792,47.0792,47.0792,69143.227588254,0
AMC,D,19971010,000000,47.415,47.415,47.415,47.415,74647.724140141,0
AMC,D,19971013,000000,48.7601,48.7601,48.7601,48.7601,41408.993104674,0
AMC,D,19971014,000000,51.1144,51.1144,51.1144,51.1144,44994.096553056,0
AMC,D,19971015,000000,51.7879,51.7879,51.7879,51.7879,39426.703449443,0
AMC,D,19971016,000000,51.7879,51.7879,51.7879,51.7879,91624.55172685,0
AMC,D,19971017,000000,50.7786,50.7786,50.7786,50.7786,29872.717242264,0
AMC,D,19971020,000000,51.1144,51.1144,51.1144,51.1144,94926.620692465,0
AMC,D,19971021,000000,51.1144,51.1144,51.1144,51.1144,75209.600002227,0
