<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AML,D,20140717,000000,18.9732,19.1854,18.4786,19.0823,212637.86698015,0
AML,D,20140718,000000,19.1091,19.2181,19.0269,19.2181,40563.55868245,0
AML,D,20140721,000000,19.1854,19.2885,19.1368,19.1913,36371.482098633,0
AML,D,20140722,000000,19.2441,19.2441,18.9188,18.9188,21119.002033072,0
AML,D,20140723,000000,18.9732,19.0269,18.9732,19.0269,1018.5016792548,0
AML,D,20140724,000000,19.1636,19.1636,17.9402,18.5431,8039.4845665765,0
AML,D,20140725,000000,18.5976,18.7016,18.5976,18.7016,6441.3671775819,0
AML,D,20140728,000000,18.9188,19.1368,18.7553,19.1368,11004.350110637,0
AML,D,20140729,000000,19.1368,19.1368,19.0269,19.1259,3760.3463638059,0
AML,D,20140730,000000,19.1301,19.1301,18.809,19.0269,5406.1687494869,0
AML,D,20140731,000000,18.892,19.0555,18.892,19.0269,60977.71938948,0
AML,D,20140801,000000,19.0269,19.0269,18.4845,18.4845,5022.1435261613,0
AML,D,20140804,000000,18.7016,19.0269,18.4845,18.4845,10728.853754773,0
AML,D,20140805,000000,18.4895,18.7234,18.4895,18.7234,5245.1643856703,0
AML,D,20140806,000000,18.7184,19.0169,18.4895,19.0169,2865.8776759358,0
AML,D,20140807,000000,18.7553,19.0269,18.4845,18.7553,10301.894034429,0
AML,D,20140808,000000,18.7553,18.9188,18.5557,18.9188,2826.5210536695,0
AML,D,20140811,000000,18.7016,18.9188,18.7016,18.9188,7506.3812286059,0
AML,D,20140812,000000,18.9188,18.9456,18.7603,18.9188,16602.531471786,0
AML,D,20140813,000000,18.809,18.9188,18.809,18.9188,6852.8227740021,0
AML,D,20140814,000000,18.5926,18.9188,18.549,18.9129,8057.3739403339,0
AML,D,20140818,000000,18.9129,18.9188,18.9129,18.9188,125737.25239128,0
AML,D,20140819,000000,18.9188,18.9188,18.5976,18.9188,15151.106947602,0
AML,D,20140820,000000,18.9188,18.9565,18.7116,18.9188,99173.917611368,0
AML,D,20140821,000000,19.0228,19.7455,18.9247,19.6525,225416.84296752,0
AML,D,20140822,000000,19.7078,19.9794,19.6852,19.6852,38425.182205982,0
AML,D,20140825,000000,19.8151,19.8151,19.5057,19.5719,7970.3123213812,0
AML,D,20140826,000000,19.4839,19.951,19.4839,19.951,36209.285109899,0
AML,D,20140827,000000,19.9678,20.5497,19.9678,20.4892,72487.742464993,0
AML,D,20140828,000000,20.5497,20.9244,19.8479,20.2729,36333.318101283,0
AML,D,20140829,000000,20.2628,20.8213,20.0063,20.4968,29846.631176849,0
AML,D,20140901,000000,20.5497,20.8707,20.4968,20.6519,55037.254677106,0
AML,D,20140902,000000,20.8213,21.4736,20.6519,21.4736,142176.39424941,0
AML,D,20140903,000000,21.6648,22.2895,21.5827,21.7998,119078.82747877,0
AML,D,20140904,000000,21.7998,21.7998,21.3655,21.6917,46306.047658576,0
AML,D,20140905,000000,21.6917,22.2618,21.6422,22.1537,63620.576205907,0
AML,D,20140908,000000,21.9633,22.1428,21.9633,22.126,26689.753021127,0
AML,D,20140909,000000,22.0991,22.0991,21.6917,21.7454,9257.1546069969,0
AML,D,20140910,000000,21.638,21.638,21.3102,21.4736,18293.673604319,0
AML,D,20140911,000000,21.3102,21.5223,21.3102,21.4795,106737.544836,0
AML,D,20140912,000000,21.5022,22.0991,21.4954,22.0991,14807.63097146,0
AML,D,20140915,000000,22.126,22.126,21.6917,22.012,41925.536337847,0
AML,D,20140916,000000,22.012,22.012,21.7193,21.7889,22241.262080119,0
AML,D,20140917,000000,21.7889,21.9633,21.7454,21.9566,16437.949233218,0
AML,D,20140918,000000,21.9566,22.017,21.8594,21.8987,24122.031574481,0
AML,D,20140919,000000,21.9088,22.1537,21.9088,22.0732,98791.08501296,0
AML,D,20140922,000000,22.0732,22.2895,22.0732,22.1696,16368.776988023,0
AML,D,20140923,000000,22.0446,22.0446,21.7511,21.8393,31255.121204016,0
AML,D,20140924,000000,21.8393,21.8393,21.773,21.773,10991.231236548,0
AML,D,20140925,000000,21.7998,22.017,21.7454,21.8266,32247.385135093,0
AML,D,20140926,000000,21.773,21.7998,21.7454,21.7948,13347.858072856,0
AML,D,20140929,000000,21.7454,21.8552,21.7454,21.8552,3195.042153072,0
AML,D,20140930,000000,21.7511,22.126,21.7454,22.126,13969.215654697,0
