<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APN,D,20090525,000000,5.20988,5.20988,4.75929,4.83194,303368.7301004,0
APN,D,20090526,000000,5.01353,5.01353,4.52663,4.63568,59244.408094937,0
APN,D,20090527,000000,4.64296,4.64296,4.28704,4.35959,48219.54369509,0
APN,D,20090528,000000,4.36696,4.36696,4.20703,4.25063,25282.44511491,0
APN,D,20090529,000000,4.21422,4.50496,4.10517,4.38152,44666.81016075,0
APN,D,20090601,000000,4.53409,4.53409,4.35959,4.44689,10893.6030998,0
APN,D,20090602,000000,4.35959,4.49767,4.30142,4.48311,30549.169178795,0
APN,D,20090603,000000,4.46855,4.46855,4.35959,4.42504,4687.4386570637,0
APN,D,20090604,000000,4.42504,4.52663,4.40319,4.40319,8597.0727510368,0
APN,D,20090605,000000,4.40319,4.44689,4.38152,4.44689,1825.7253552044,0
APN,D,20090608,000000,4.43951,4.46855,4.35959,4.44689,7932.087817739,0
APN,D,20090609,000000,4.44689,4.44689,4.37416,4.43223,2516.7455876852,0
APN,D,20090610,000000,4.43223,4.51953,4.43223,4.46855,9549.5307794798,0
APN,D,20090612,000000,4.46127,4.51225,4.45407,4.45407,3272.8540681234,0
APN,D,20090615,000000,4.41766,4.54128,4.41766,4.54128,1324.5458459326,0
APN,D,20090616,000000,4.41766,4.50496,4.3961,4.50496,2422.367628147,0
APN,D,20090617,000000,4.49049,4.51225,4.46855,4.46855,9401.9974174431,0
APN,D,20090618,000000,4.41766,4.48311,4.41766,4.48311,402.46233320311,0
APN,D,20090619,000000,4.41766,4.50496,4.41048,4.43223,4073.4395179992,0
APN,D,20090622,000000,4.38862,4.46855,4.30142,4.35959,13808.471804157,0
APN,D,20090623,000000,4.35959,4.41048,4.30142,4.41048,492.50107621082,0
APN,D,20090624,000000,4.46855,4.46855,4.46127,4.46855,5506.4657771941,0
APN,D,20090625,000000,4.48311,4.48311,4.35959,4.35959,2582.9186397752,0
APN,D,20090626,000000,4.44689,4.44689,4.35959,4.35959,241.91132157492,0
APN,D,20090629,000000,4.41048,4.41048,4.41048,4.41048,277.70985795147,0
APN,D,20090630,000000,4.37416,4.37416,4.37416,4.37416,964.3908739018,0
APN,D,20090701,000000,4.30879,4.40319,4.22887,4.35959,5789.5996558087,0
APN,D,20090702,000000,4.40319,4.43223,4.28704,4.28704,14703.435213571,0
APN,D,20090703,000000,4.34521,4.34521,4.34521,4.34521,412.22557039672,0
APN,D,20090706,000000,4.35959,4.35959,4.35959,4.35959,2064.3822643815,0
APN,D,20090707,000000,4.32336,4.35959,4.32336,4.35959,906.89625487278,0
APN,D,20090709,000000,4.27247,4.3524,4.21422,4.21422,12047.83469691,0
APN,D,20090710,000000,4.21422,4.3524,4.21422,4.3524,3142.6775722087,0
APN,D,20090713,000000,4.3524,4.3524,4.21422,4.3524,1741.1106328598,0
APN,D,20090715,000000,4.3524,4.3524,4.15624,4.28704,2453.8269479931,0
APN,D,20090716,000000,4.31617,4.31617,4.25063,4.31617,4788.3254413977,0
APN,D,20090717,000000,4.25801,4.3524,4.25801,4.3524,573.86138615754,0
APN,D,20090720,000000,4.22159,4.22159,4.22159,4.22159,1797.5204477562,0
APN,D,20090721,000000,4.27247,4.3524,4.27247,4.27957,3472.458028526,0
APN,D,20090722,000000,4.27957,4.42504,4.27957,4.42504,573.86138615754,0
APN,D,20090723,000000,4.3961,4.41048,4.3961,4.3961,2753.232888597,0
APN,D,20090724,000000,4.42504,4.47574,4.3961,4.3961,5045.4240208293,0
APN,D,20090727,000000,4.42504,4.42504,4.33064,4.33064,2513.4911752874,0
APN,D,20090728,000000,4.33064,4.36696,4.33064,4.36696,257.09857943164,0
APN,D,20090729,000000,4.33064,4.35959,4.32336,4.33064,2307.378390089,0
APN,D,20090730,000000,4.38862,4.41766,4.33064,4.33792,9163.340508266,0
APN,D,20090731,000000,4.3961,4.3961,4.34521,4.35959,4163.4782610069,0
APN,D,20090803,000000,4.35959,4.3961,4.34521,4.38862,1569.7115799054,0
APN,D,20090804,000000,4.36696,4.38152,4.35959,4.36696,6940.5768405216,0
APN,D,20090805,000000,4.36696,4.3961,4.33792,4.38152,12333.13818379,0
APN,D,20090806,000000,4.38152,4.38152,4.29423,4.35959,1124.94188553,0
APN,D,20090807,000000,4.40319,4.40319,4.21422,4.36696,9068.9625487278,0
APN,D,20090810,000000,4.3524,4.3524,4.25063,4.25063,1339.7331037893,0
APN,D,20090811,000000,4.2651,4.2651,4.25063,4.25063,893.87860528131,0
APN,D,20090812,000000,4.22159,4.61402,4.21422,4.58479,47055.548860785,0
